Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
1102;1;52;13;10;1;;0;;;;;1102;;;;1234567890123;;0;;;;;10;1;;;;;;;;Coffret bougie parfumée 50h pivoine céleste Quintessence - Bougies la Française;;Avec la bougie parfumée pivoine céleste, saisissez l’intensité du parfum d’un cœur de larges pétales vaporeux. Véritable interprétation printanière, les effluves de cette bougiecréeront une ambiance empreinte de féminité et de légèreté. ;bougie-olivier1;;;1;;2013-01-01;1;../import/1.jpg,../import/2.jpg;0;Hauteur:,Largeur:,Profondeur:,Diamètre:,Poids:,Durée de combustion:de 1 heure à 4 heures,Collection:Quintessence,Parfum:Pivoine,Thème:;0;;0;0;0;0;0;1
1103;;53;13;;;;;;;;;1103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104;;54;13;;;;;;;;;1104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1105;;55;13;;;;;;;;;1105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1106;;56;13;;;;;;;;;1106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1107;;57;13;;;;;;;;;1107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1108;;58;13;;;;;;;;;1108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1109;;59;13;;;;;;;;;1109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;;60;13;;;;;;;;;1110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1111;;61;13;;;;;;;;;1111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1112;;62;13;;;;;;;;;1112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1113;;63;13;;;;;;;;;1113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114;;64;13;;;;;;;;;1114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115;;65;13;;;;;;;;;1115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1116;;66;13;;;;;;;;;1116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1117;;67;13;;;;;;;;;1117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1118;;68;13;;;;;;;;;1118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1119;;69;13;;;;;;;;;1119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1120;;70;13;;;;;;;;;1120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1121;;71;13;;;;;;;;;1121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1122;;72;13;;;;;;;;;1122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1123;;73;13;;;;;;;;;1123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1124;;74;13;;;;;;;;;1124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1125;;75;13;;;;;;;;;1125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;;76;13;;;;;;;;;1126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1127;;77;13;;;;;;;;;1127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128;;78;13;;;;;;;;;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1129;;79;13;;;;;;;;;1129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1130;;80;13;;;;;;;;;1130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1131;;81;13;;;;;;;;;1131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1132;;82;13;;;;;;;;;1132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1133;;83;13;;;;;;;;;1133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1134;;84;13;;;;;;;;;1134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135;;85;13;;;;;;;;;1135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1136;;86;13;;;;;;;;;1136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;;87;13;;;;;;;;;1137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1138;;88;13;;;;;;;;;1138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1139;;89;13;;;;;;;;;1139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1140;;90;13;;;;;;;;;1140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141;;91;13;;;;;;;;;1141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1142;;92;13;;;;;;;;;1142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1143;;93;13;;;;;;;;;1143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1144;;94;13;;;;;;;;;1144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1145;;95;13;;;;;;;;;1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1146;;96;13;;;;;;;;;1146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1147;;97;13;;;;;;;;;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1148;;98;13;;;;;;;;;1148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149;;99;13;;;;;;;;;1149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1150;;100;13;;;;;;;;;1150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1151;;101;13;;;;;;;;;1151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1152;;102;13;;;;;;;;;1152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
