Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2391270;1;Bougie parfumée 40h figue millénaire;12,11,41,47,42;12,5;1;;0;;;;;2391270;;;;3023673912705;;0;;;;;50;1;;;;;;<p>Succombez aux délicieuses senteurs de la <strong>bougie parfumée figue millénaire</strong>. Evoquant la douceur olfactive d’un été en Provence, les fragrances de cette <strong>bougie senteur figue</strong> se parent de tonalités ensoleillées. Revêtue d’élégants motifs floraux, cette <strong>bougie en verre</strong> s’intégrera parfaitement dans une décoration de charme classique. <br/><br/> Dans une envolée de notes, les premiers accords de cette <strong>bougie fruitée</strong> se montrent pétillants. De cette brise vivifiante, s’évadent les arômes d’un cœur de figues délicieusement juteuses. Evoluant vers des notes d’une extrême gourmandise, le sillage de cette <strong>bougie parfumée à la figue</strong> ne vous laissera pas indifférent ! <br/><br/> Cette <strong>bougie parfumée</strong> se décline également en <a href="/2390080-coffret-bougie-parfumee-50h-figue-millenaire" >coffret bougie parfumée figue millénaire</a> prêt à offrir. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Figue millénaire. </p>;;Bougie parfumée 40h figue Quintessence;Bougie parfumée 40h figue Quintessence;Succombez aux senteurs de la bougie parfumée figue millénaire. Le sillage extrêmement gourmand de cette bougie parfumée à la figue ne vous laissera pas indifférent !;bougie-parfumee-40h-figue-millenaire;;;1;;2014-01-01;1;../import/charme/quintessence/bougie-verre/2391270_1.jpg;0;Hauteur : 90, Diamètre : 76, Poids : 180, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Fruitée, Parfum : Figue millénaire;0;;0;0;0;0;0;1
2390080;1;Coffret bougie parfumée 50h figue millénaire;12,11,41,47,42;24,17;1;;0;;;;;2390080;;;;3023673900801;;0;;;;;50;1;;;;;;<p>Le <strong>coffret bougie parfumée figue millénaire</strong> diffusera des senteurs sucrées et délicates dans votre intérieur. Emblème du bassin méditerranéen, cette <strong>bougie fruitée</strong> se pare de fragrances ensoleillées. Présentée dans un élégant coffret, cette <strong>bougie senteur figue</strong> sera le cadeau idéal pour partager vos moments de plaisirs olfactifs. <br/><br/> Composé autour de la figue, le parfum de cette <strong>bougie en verre</strong> évoque la douceur olfactive d’un été en Provence. Dans un souffle pétillant, les premières notes de cette <strong>bougie parfumée</strong> virevoltent autour d’effluves rafraîchissants. Le cœur fruité de délicieuses figues juteuses se réveille, doucement enveloppé d’un élégant fond boisé et vanillé… Résolument gourmand ! <br/><br/> Découvrez toute notre sélection de <a href="/47-bougies-fruitees" >bougies parfumées fruitées</a>. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Figue millénaire. </p>;;Coffret bougie parfumée 50h figue Quintessence;Coffret bougie parfumée 50h figue Quintessence;Le coffret bougie parfumée figue millénaire diffusera des senteurs sucrées. Cette bougie fruitée sera le cadeau idéal pour partager vos moments de plaisirs olfactifs.;coffret-bougie-parfumee-50h-figue-millenaire;;;1;;2014-01-01;1;../import/charme/quintessence/coffret/2390080_1.jpg,../import/charme/quintessence/coffret/2390080_2.jpg,../import/charme/quintessence/coffret/2390-all_3.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Fruitée, Parfum : Figue millénaire;0;;0;0;0;0;0;1
2391980;1;Diffuseur de parfum à tiges 100ml figue millénaire;12,11,50,51,56;24,17;1;;0;;;;;2391980;;;;3023673919803;;0;;;;;50;1;;;;;;<p>Laissez-vous séduire par les effluves sucrés du <strong>diffuseur de parfum figue millénaire</strong>. Révélant la douceur du parfum d’un été en Provence, ce <strong>diffuseur d’ambiance à la figue</strong> dévoilera des senteurs aux tonalités ensoleillées. <br/><br/> Les premières notes de ce <strong>parfum d’intérieur</strong> rappellent la caresse d’une brise rafraîchissante. Le cœur de ce <strong>parfum d’ambiance</strong> délivre peu à peu les effluves juteux et fruités d’une délicieuse figue mûrie au soleil. Ces accords s’entrelacent dans un fond boisé, chaud et subtilement vanillé. <br/><br/> Les tiges en bois fournies avec la <strong>senteur d’intérieur</strong> permettent une diffusion permanente du parfum pendant plusieurs semaines. Le flacon, classique et raffiné, apportera une pointe de charme dans votre décoration intérieure. <br/><br/> Ce parfum vous plaît ? Découvrez aussi toute notre collection de <a href="/51-diffuseurs-fruites" >diffuseurs d’ambiance fruités</a>. <br/><br/> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Figue millénaire. </p>;;Diffuseur de parfum figue Quintessence;Diffuseur de parfum figue Quintessence;Laissez-vous séduire par le diffuseur de parfum figue millénaire. Révélant un parfum de Provence, ce diffuseur d’ambiance à la figue dévoile des senteurs ensoleillées.;diffuseur-de-parfum-a-tiges-100ml-figue-millenaire;;;1;;2014-01-01;1;../import/charme/quintessence/diffuseur/2391980_1.jpg/,../import/charme/quintessence/diffuseur/2391980_2.jpg,../import/charme/quintessence/diffuseur/2391-all_3.jpg;0;Hauteur : 65, Diamètre : 70, Contenance : 100, Durée de diffusion : 4 , Type de produit : Diffuseurs parfumés, Collection : Quintessence, Famille olfactive : Fruitée, Parfum : Figue millénaire;0;;0;0;0;0;0;1
2390190;1;Recharge diffuseur de parfum 150ml figue millénaire;12,11,62,60,86;9,17;1;;0;;;;;2390190;;;;3023673901907;;0;;;;;50;1;;;;;;<p>La <strong>recharge de diffuseur de parfum figue millénaire</strong> prolongera vos moments de plaisirs olfactifs. Placé dans son diffuseur, le <strong>parfum d’intérieur</strong> libérera les effluves sucrés d’une délicieuse figue mûrie sous le soleil de Provence. <br/><br/> Les premières notes rafraîchissantes de ce <strong>parfum d’ambiance</strong> évoquent la douceur d’une brise caressant les feuilles du figuier. Une fragrance délicieusement fruitée se mêle doucement au cœur de ce <strong>parfum d’intérieur senteur figue</strong>… Pour s’évanouir dans un fond d’une extrême gourmandise. <br/><br/> Ce <strong>parfum d’ambiance</strong> s’utilise avec le <a href="/2391980-diffuseur-de-parfum-a-tiges-100ml-figue-millenaire" >diffuseur de parfum figue millénaire</a> et la <a href="/2389300-recharge-de-16-batonnets" >recharge de 16 bâtonnets</a>. <br/><br/> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Figue millénaire. </p>;;Recharge de diffuseur figue Quintessence;Recharge diffuseur de parfum figue Quintessence;La recharge de diffuseur de parfum figue prolongera votre plaisir olfactif. Dans son diffuseur, le parfum d’intérieur libérera une délicieuse senteur fruitée.;recharge-diffuseur-de-parfum-150ml-figue-millenaire;;;1;;2014-01-01;1;../import/charme/quintessence/recharges/2390190_1.jpg;0;Hauteur : 138, Diamètre : 43, Contenance : 150, Durée de diffusion : 6 , Type de produit : Recharges de diffuseurs, Collection : Quintessence, Famille olfactive : Fruitée, Parfum : Figue millénaire;0;;0;0;0;0;0;1
2391190;1;Bougie parfumée lys royal 40h;12,11,41,43;12,5;1;;0;;;;;2391190;;;;3023673911906;;0;;;;;50;1;;;;;;<p>Symbole de pureté, le lys dévoile toute sa splendeur dans la <strong>bougie parfumée lys royal</strong>. Fleur d’histoire au parfum suave et intense, cette <strong>bougie florale</strong> vous envoûtera dans un sillage de douceur et de raffinement. Habillée d’élégants motifs floraux, cette <strong>bougie lys</strong> ajoutera une pointe de charme à votre décoration intérieure. <br/><br/> Dans une somptueuse mélodie olfactive, la fragrance de cette <strong>bougie en verre</strong> révèle une précieuse composition florale dans laquelle règne la fleur de lys. Au parfum vert et fruité, se mêlent un somptueux bouquet de fleurs, tandis que de dernières notes chyprées libèrent l’extrême douceur de leurs accords. <br/><br/> Pour le plaisir d’offrir, cette <strong>bougie parfumée</strong> se décline également en <a href="/2389990-coffret-bougie-parfumee-50h-lys-royal" >coffret bougie parfumée lys royal</a>.<br/><br/> Bougie fabriquée en France. Parfum de Grasse : Lys royal. </p>;;Bougie parfumée lys 40h Quintessence;Bougie parfumée lys 40h Quintessence;Le lys se dévoile dans la bougie parfumée lys royal. Fleur d’histoire au parfum suave, cette bougie florale vous envoûtera dans une senteur de douceur.;bougie-parfumee-lys-royal-40h;;;1;;2014-01-01;1;../import/charme/quintessence/bougie-verre/2391190_1.jpg;0;Hauteur : 90, Diamètre : 76, Poids : 180, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Florale, Parfum : Lys royal;0;;0;0;0;0;0;1
2389990;1;Coffret bougie parfumée 50h lys royal;12,11,41,43;24,17;1;;0;;;;;2389990;;;;3023673899907;;0;;;;;50;1;;;;;;<p>Grand classique dédié à la splendeur du lys, le <strong>coffret bougie parfumée lys royal</strong> délivrera des senteurs précieuses et enivrantes. Symbole de pureté, cette <strong>bougie florale</strong> vous offrira une caresse olfactive empreinte de délicatesse et de raffinement. <br/><br/> Composé autour du lys, les premières notes de cette <stong>bougie parfumée</strong>dévoilent des accords verts et fruités. Une somptueuse mélodie florale se dégage peu à peu de cette <strong>bougie senteur lys</strong>. L’harmonie de ces accords s’achève en une facette chyprée. <br/><br/> Prête à offrir, cette <strong>bougie en verre</strong> se présente dans un élégant coffret au charme intemporel. <br/><br/> Cette bougie vous plaît ? Découvrez également notre sélection de <a href="/43-bougies-florales" >bougies parfumées florales</a>. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Lys royal. </p>;;Coffret bougie parfumée 50h lys Quintessence;Coffret bougie parfumée 50h lys Quintessence;Grand classique dédié au lys, le coffret bougie parfumée lys royal délivre des senteurs enivrantes. Prête à offrir, cette bougie florale vous offre un parfum délicat.;coffret-bougie-parfumee-50h-lys-royal;;;1;;2014-01-01;1;../import/charme/quintessence/coffret/2389990_1.jpg,../import/charme/quintessence/coffret/2389990_2.jpg,../import/charme/quintessence/coffret/2390-all_3.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Florale, Parfum : Lys royal;0;;0;0;0;0;0;1
2391890;1;Diffuseur de parfum à tiges 100ml lys royal;12,11,50,52;24,17;1;;0;;;;;2391890;;;;3023673918905;;0;;;;;50;1;;;;;;<p>Laissez-vous envoûter par les effluves du <strong>diffuseur de parfum lys royal</strong>. L’intensité et la douceur de ce <strong>parfum d’intérieur</strong> résonnent dans une incroyable harmonie olfactive, pour laisser place à une atmosphère d’une extrême tendresse. <br/><br/> Parfum d’une nouvelle romance, ce <strong>bouquet parfumé</strong> exhale des premiers accords verts et fruités. En cœur, une somptueuse composition florale est sublimée par la pureté du lys… Pour enfin laisser place à un fond chypré, oscillant entre mousse et musc. <br/><br/> Les tiges en bois fournies avec le <strong>diffuseur  senteur lys</strong> permettent une diffusion permanente de la senteur pendant plusieurs semaines.Le flacon, sobre et élégant, apportera une pointe de charme dans votre décoration intérieure. <br/><br/> Cette parfum vous plaît ? Découvrez également notre sélection de <a href="/52-diffuseurs-floraux" >parfums d’intérieur floraux</a>. <br/><br/> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Lys royal. </p>;;Diffuseur de parfum lys Quintessence;Diffuseur de parfum lys Quintessence;Laissez-vous envoûter par la senteur du diffuseur de parfum lys royal. Parfum d’une nouvelle romance, ce bouquet parfumé exhale une incroyable harmonie florale. ;diffuseur-de-parfum-a-tiges-100ml-lys-royal;;;1;;2014-01-01;1;../import/charme/quintessence/diffuseur/2391890_1.jpg,../import/charme/quintessence/diffuseur/2391890_2.jpg,../import/charme/quintessence/diffuseur/2391-all_3.jpg;0;Hauteur : 65, Diamètre : 70, Contenance : 100, Durée de diffusion : 4 , Type de produit : Diffuseurs parfumés, Collection : Quintessence, Famille olfactive : Florale, Parfum : Lys royal;0;;0;0;0;0;0;1
2390120;1;Recharge diffuseur de parfum 150ml lys royal;12,11,62,61;9,17;1;;0;;;;;2390120;;;;3023673901204;;0;;;;;50;1;;;;;;<p>Placée dans son diffuseur en verre, la <strong>recharge de diffuseur de parfum lys royal</strong> enveloppera votre intérieur d’une ambiance empreinte de tendresse et de raffinement. <br/><br/> L’intensité et la douceur du <strong>parfum de lys</strong> sont sublimées dans cette fragrance intemporelle. Le départ vert et fruité de ce <strong>parfum d’ambiance</strong> dévoile un somptueux cœur floral. Les notes chyprées prennent progressivement leur place dans cet accord pour révéler l’extrême pureté du lys. <br/><br/> Florales, fruitées, boisées ou orientales, découvrez toute notre collection de <a href="/64-recharges-diffuseurs" >recharges de diffuseurs</a>… Et créez une ambiance qui vous ressemble. <br/><br/> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Lys royal. </p>;;Recharge de diffuseur lys Quintessence;Recharge diffuseur de parfum lys Quintessence;L’intensité du parfum de lys est sublimée dans cette senteur intemporelle. Placée dans son diffuseur, la recharge de parfum lys royal vous invite dans une ambiance de raffinement.;recharge-diffuseur-de-parfum-150ml-lys-royal;;;1;;2014-01-01;1;../import/charme/quintessence/recharges/2390120_1.jpg;0;Hauteur : 138, Diamètre : 43, Contenance : 150, Durée de diffusion : 6 , Type de produit : Recharges de diffuseurs, Collection : Quintessence, Famille olfactive : Florale, Parfum : Lys royal;0;;0;0;0;0;0;1
2391280;1;Bougie parfumée mimosa solaire 40h;12,11,41,43,88;12,5;1;;0;;;;;2391280;;;;3023673912804;;0;;;;;50;1;;;;;;<p>Empreinte d’une extrême douceur, la <strong>bougie parfumée mimosa solaire</strong> vous plongera dans une ambiance pleine de charme. Incontournable parfum des amateurs de notes sensibles et délicates, cette <strong>bougie florale</strong> délivre une mélodie olfactive placée sous le signe de la tendresse. D’élégants motifs floraux habillent gracieusement cette <strong>bougie parfumée</strong> pour la transformer en accessoire de décoration raffiné. <br/><br/> Les premières notes de cette <strong>bougie parfumée mimosa</strong>, dévoilent la fraîcheur d’une facette anisée. De sublimes senteurs poudrées viennent parfaire la légèreté de cette harmonie florale. Dominée par l’éclat du mimosa, la fragrance de cette <strong>bougie en verre</strong> libère la chaleur d’un rayon du « Soleil d’hiver ». <br/><br/> Découvrez toute la douceur de nos mélodies olfactives avec nos <a href="/43-bougies-florales" >bougies parfumées florales</a> prêt à offrir. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Mimosa solaire. </p>;;Bougie parfumée mimosa 40h Quintessence;Bougie parfumée mimosa 40h Quintessence;La bougie parfumée mimosa solaire vous plonge dans une ambiance de charme. Au parfum incontournable, cette bougie florale délivre une senteur placée sous le signe de la tendresse.;bougie-parfumee-mimosa-solaire-40h;;;1;;2014-01-01;1;../import/charme/quintessence/bougie-verre/2391280_1.jpg;0;Hauteur : 90, Diamètre : 76, Poids : 180, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Florale, Parfum : Mimosa solaire;0;;0;0;0;0;0;1
2389950;1;Coffret bougie parfumée 50h mimosa solaire;12,11,41,43,88;24,17;1;;0;;;;;2389950;;;;3023673899501;;0;;;;;50;1;;;;;;<p>Symbole de sensibilité et de délicatesse, le <strong>coffret bougie parfumée mimosa solaire</strong> embaumera votre intérieur d’une extrême douceur. Véritable invitation à la tendresse, le parfum de cette <strong>bougie florale<strong> se pare d’accents de lumière. Idée cadeau raffinée au parfum intemporel, cette <strong>bougie en verre</strong> s’habille d’un élégant coffret aux motifs floraux. <br/><br/>Petite fleur jaune aux reflets dorés, le « Soleil d’hiver » libère ses effluves en toute discrétion. La fraîcheur anisée des premiers accords se mêle harmonieusement à la subtilité des notes florales. Rehaussée par l’éclat olfactif des pétales de mimosa, la senteur de cette <strong>bougie parfumée</strong> glisse doucement vers de somptueuses tonalités poudrées, chaudes et solaires… <br/><br/>Découvrez également toute la collection de <a href="/12-quintessence" >bougies parfumée et parfums d’ambiance Quintessence</a>. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Mimosa solaire. </p>;;Coffret bougie parfumée 50h mimosa Quintessence;Coffret bougie parfumée 50h mimosa Quintessence;Le coffret bougie parfumée mimosa solaire embaume votre intérieur d’une extrême douceur. Idée cadeau raffinée, cette bougie florale s’habille d’un élégant coffret.;coffret-bougie-parfumee-50h-mimosa-solaire;;;1;;2014-01-01;1;../import/charme/quintessence/coffret/2389950_1.jpg,../import/charme/quintessence/coffret/2389950_2.jpg,../import/charme/quintessence/coffret/2390-all_3.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Florale, Parfum : Mimosa solaire;0;;0;0;0;0;0;1
