Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2439130;1;Photophore verre rose;75,72;5,83;1;;0;;;;;2439130;;;;3023674391301;;0;;;;;50;1;;;;;;<p>Pour que la transparence se fasse couleur, glissez dans votre décoration intérieure le <strong>photophore en verre rose</strong>. Avec ses reflets roses intenses extrêmement séduisants, ce <strong>photophore</strong> accueillera une bougie chauffe-plat ou un lumignon pour vous plonger dans une ambiance éclatante et pleine de féminité. Parsemez votre intérieur de <strong>photophores roses</strong> tels des pétales de fleurs pour offrir un tapis vitaminé à toutes vos bougies… qui verront alors la vie en rose ! <br/><br/> Ces <strong>photophores cylindriques</strong> en verre épais vous offrent une qualité remarquable. Dotés d’éclats transparents aux reflets colorés, ces photophores sont un support idéal pour vos lumignons mais aussi un véritable écrin pour vos bougies ! <br/><br/> Illuminez votre <strong>photophores en verre</strong> avec notre gamme de <a href="/70-bougies-chauffe-plat" >bougies chauffe-plat</a>. Pour une décoration encore plus pop, mixez les couleurs en complétant ce photophore rose avec le <a href="/2439120-photophore-verre-bleu" >photophore en verre bleu</a>. </p>;;Photophore bougies chauffe-plat verre rose;Photophore bougies chauffe-plat verre rose;Avec ses reflets roses intenses extrêmement séduisants, ce photophore en verre accueille vos bougies chauffe-plat pour une ambiance éclatante et pleine de féminité.;photophore-verre-rose;;;1;;2013-01-01;;../import/couleur/anniversaire/2439130_1.jpg;0;Hauteur : 55, Diamètre : 80, Poids : 530, Durée de combustion : -, Type de produit : Photophores, Collection : Photophore, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2439120;1;Photophore verre bleu;75,72;5,83;1;;0;;;;;2439120;;;;3023674391202;;0;;;;;50;1;;;;;;<p>Retrouvez les reflets d’un ciel d’azur dans un écrin de verre avec le <strong>photophore en verre bleu</strong>. Pourvu d’une tonalité bleu intense, ce <strong>photophore</strong> accueillera une bougie chauffe-plat ou un lumignon pour animer votre intérieur de touches estivales vivifiantes. Déposer quelques <strong>photophores bleus</strong> dans votre salon, chambre ou salle à manger, sera comme semer des extraits de soleils dans des échantillons de ciel ! <br/><br/> Ces <strong>photophores cylindriques</strong> en verre épais vous offrent une qualité remarquable. Dotés d’éclats transparents aux reflets colorés, ces photophores sont un support idéal pour vos lumignons mais aussi un véritable écrin pour vos bougies ! <br/><br/> Créez une ambiance lumineuse en associant ces <strong>photophores en verre</strong> avec notre gamme de <a href="/70-bougies-chauffe-plat" >bougies chauffe-plat</a>. Pour une décoration encore plus dense, mixez les couleurs en complétant ce photophore bleu avec tous nos <a href="/75-verreries-colorees" >photophores colorés</a>. </p>;;Photophore bougies chauffe-plat verre bleu;Photophore bougies chauffe-plat verre bleu;D’une tonalité bleu intense, ce photophore en verre accueille vos bougies chauffe-plat ou un lumignons pour animer votre intérieur de touches estivales vivifiantes.;photophore-verre-bleu;;;1;;2013-01-01;;../import/couleur/anniversaire/2439120_1.jpg;0;Hauteur : 55, Diamètre : 80, Poids : 530, Durée de combustion : -, Type de produit : Photophores, Collection : Photophore, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2439110;1;Photophore verre vert;75,72;5,83;1;;0;;;;;2439110;;;;3023674391103;;0;;;;;50;1;;;;;;<p>Des petits éclats de jardin envahissent la maison avec le <strong>photophore en verre vert</strong>. Au coloris frais et nature, ce <strong>photophore</strong> accueillera une bougie chauffe-plat ou un lumignon pour une décoration pleine de vitalité. Placez quelques <strong>photophores verts</strong> sur vos plus beaux meubles et regardez pousser, dans votre séjour, comme des petites touffes de couleur vitaminées… Un supplément d’oxygène pour faire respirer tout votre intérieur ! <br/><br/> Ces <strong>photophores cylindriques</strong> en verre épais vous offrent une qualité remarquable. Dotés d’éclats transparents aux reflets colorés, ces photophores sont un support idéal pour vos lumignons mais aussi un véritable écrin pour vos bougies ! <br/><br/> Ces <strong>photophores en verre</strong> s’utilisent avec nos <a href="/70-bougies-chauffe-plat" >bougies chauffe-plat</a>. Pour une décoration encore plus peps, mixez les couleurs en complétant ce photophore vert avec toute notre gamme de <a href="/75-verreries-colorees" >photophores colorés</a>. </p>;;Photophore bougies chauffe-plat verre vert;Photophore bougies chauffe-plat verre vert;Des petits éclats de jardin envahissent la maison avec le photophore en verre. Vert et nature, ce petit photophore vous offrira une décoration pleine de vitalité.;photophore-verre-vert;;;1;;2013-01-01;;../import/couleur/anniversaire/2439110_1.jpg;0;Hauteur : 55, Diamètre : 80, Poids : 530, Durée de combustion : -, Type de produit : Photophores, Collection : Photophore, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2253400;1;Lot de 50 bougies chauffe-plat plastique transparent 4h blanc;70,69;10;1;;0;;;;;2253400;;;;3023672534007;;0;;;;;50;1;;;;;;<p>Pour une ambiance délicieusement tamisée, parsemez vos <strong>bougies chauffe-plat blancs</strong> dans tout votre intérieur. En toute simplicité, ces <strong>petites bougies</strong> se disposent dans vos bougeoirs, lanternes ou photophores pour illuminer votre maison. <br/><br/> Dotées d’une coque en plastique transparent, ces <strong>bougies chauffe-plat</strong> vous assurent une décoration sans fausse note. Placées dans un photophore ou bougeoir en verre transparent, ces <strong>bougies blanches</strong> s’illuminent en toute discrétion. Le godet en plastique disparaît pour laisser la flamme s’exprimer d’une lumière plus intense. <br/><br/> Indispensables, ces <strong>bougies chauffe-plat</strong> sont proposées en lot de 50 pour en avoir toujours une sous la main ! <br/><br/> Pour une déco pop ultra tendance, ces <strong>bougies chauffe-plat</strong> s’associent avec les <a href="/2439120-photophore-verre-bleu" >photophores en verre bleus</a>, <a href="/2439130-photophore-verre-rose" >photophores roses</a> ou <a href="/2439110-photophore-verre-vert>photophores verts</a>. </p>;;Bougies chauffe-plat plastique transparent;Bougies chauffe-plat plastique transparent;Pour une ambiance tamisée, pensez aux bougies chauffe-plat. Dotées d’une coque en plastique transparent, ces petites bougies assurent une décoration sans fausse note.;lot-de-50-bougies-chauffe-plat-plastique-transparent-4h-blanc;;;1;;2013-01-01;;../import/couleur/accessoires/2253400_1.jpg;0;Hauteur : 20, Diamètre : 35, Poids : , Durée de combustion : +/- 4, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies chauffe-plat, Collection : Accessoires, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2135936;1;Lot de 50 bougies chauffe-plat aluminium 4h blanc;70,69;7,5;1;;0;;;;;2135936;;;;3023671359366;;0;;;;;50;1;;;;;;<p>Parsemez vos <strong>bougies chauffe-plat blancs</strong> dans votre salon, chambre ou salle de bain pour illuminer votre soirée d’une ambiance romantique et feutrée. En toute simplicité, ces <strong>petites bougies</strong> se disposent dans vos bougeoirs, lanternes ou photophores pour un effet tamisé assuré. <br/><br/> Indispensables, ces <strong>bougies chauffe-plat</strong> sont proposées en lot de 50 pour les avoir toujours à disposition ! <br/><br/> Adoptez la nouvelle touche couleur pop, et insérez ces <strong>bougies chauffe-plat</strong> dans les <a href="/2439120-photophore-verre-bleu" >photophores en verre bleus</a>, <a href="/2439130-photophore-verre-rose" >photophores roses</a> ou <a href="/2439110-photophore-verre-vert>photophores verts</a>. </p>;;Bougies chauffe-plat aluminium;Bougies chauffe-plat aluminium;Nos bougies chauffe-plat se disposent dans vos bougeoirs, lanternes ou photophores. Ces petites bougies sont proposées en lot de 50 pour en avoir toujours une sous la main.;lot-de-50-bougies-chauffe-plat-aluminium-4h-blanc;;;1;;2013-01-01;;../import/couleur/accessoires/2135936_1.jpg;0;Hauteur : 20, Diamètre : 35, Poids : , Durée de combustion : +/- 4, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies chauffe-plat, Collection : Accessoires, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2025300;1;Pince pour bougie chauffe-plat;76,72;5;1;;0;;;;;2025300;;;;3023671359366;;0;;;;;50;1;;;;;;<p>Très astucieuse, la <strong>pince pour bougies chauffe-plat</strong> est l’accessoire indispensable pour déposer votre bougie chauffe plat ou lumignon dans son photophore. Très simple d’utilisation, cette <strong>pince pour bougies</strong> vous permettra d’éviter les risques de brûlure lorsque vous glissez votre bougie chauffe-plat dans son contenant. Pratique, cet <strong>accessoire pour bougies</strong> vous évitera de renverser la cire encore liquéfiée lors du retrait de votre bougie de son photophore. Le seul risque que vous courrez est de ne plus pouvoir vous en passer ! <br/><br/> Découvrez également <a href="/76-petits-accessoires" >tous les accessoires</a> pour allumer vos bougies parfumées ou décoratives en toute simplicité. </p>;;Accessoire pince pour bougie chauffe-plat;Accessoire pince pour bougie chauffe-plat;La pince pour bougies chauffe-plat est l’accessoire indispensable pour déposer votre bougie chauffe plat ou lumignon dans son photophore en toute sécurité.;pince-pour-bougie-chauffe-plat;;;1;;2013-01-01;;../import/couleur/accessoires/2025300_1.jpg;0;, Type de produit : Accessoire, Collection : Accessoires, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2256100;1;Coffret 8 bougies longues trouvées vintage 7h;25,24,38,37;11,67;1;;0;;;;;2256100;;;;3,02E+012;;0;;;;;50;1;;;;;;<p>Dans un design exclusif, les <strong>bougies longues trouées</strong> s’inspirent des charmes du passé pour le plus grand plaisir des adeptes de la décoration rétro. Inventées en 1900, ces <strong>bougies vintage<strong> se présentent dans un étui à l’ancienne signé Bougies la Française.<br/><br/>Ces <strong>bougies blanches</strong> sont perforées de 5 petits trous sur toute leur longueur et adoptent un pied cannelé. Les trous permettent à la cire liquide d’être récupérée. La cire de la bougie se solidifie et peut à nouveau être brûlée. Ce système garantit que la <strong>bougie ne coule pas</strong>. Le pied cannelé permet à ces bougies de s’adapter à tous les types de bougeoirs <br/><br/>Récompensées d’une médaille d’or à Nantes en 1924, ces <strong>bougies originales</strong> vous offrent une <strong>qualité haut de gamme</strong> et apporteront une touche d’authenticité à la décoration de votre table.<br/><br/>Retrouvez également ces bougies en <a href="/2256200-coffret-20-bougies-longues-trouees-vintage-7h" >coffret de 20 bougies longues trouées vintage</a>.Bougies fabriquées en France.</p>;;Coffret 8 bougies longues trouées vintage 7h;Coffret 8 bougies longues trouées vintage 7h;Dans un design exclusif, les bougies longues trouées s’inspirent des charmes du passé pour le plus grand plaisir des adeptes de la décoration rétro. Inventées en 1900, ces bougies vintage se présentent dans un étui à l’ancienne.;coffret-8-bougies-longues-trouvees-vintage-7h;;;1;;2013-01-01;;../import/authentique/ciergerie/2256100_1.jpg,../import/authentique/ciergerie/2256100_2256200_2.jpg,../import/authentique/ambiances/2-ambiance-retro-5.jpg,../import/authentique/ambiances/2-ambiance-retro3-5.jpg;0;Hauteur : 225, Diamètre : 21, Poids : 464, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies trouées, Collection : Cieregerie et accessoires d'antan, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2256200;1;Coffret 20 bougies longues trouvées vintage 7h;25,24,38,37;24,17;1;;0;;;;;2256200;;;;3,02E+012;;0;;;;;50;1;;;;;;<p>Semblant sortir tout droit d’une brocante, ces <strong>bougies longues trouées</strong> se présentent dans un étui à l’ancienne signé Bougies la Française. Inventées en 1900, ces <strong>bougies vintage</strong> se parent d’un design exclusif pour adopter un look résolument rétro.<br/><br/>Ces <strong>bougies blanches</strong> sont perforées de 5 petits trous sur toute leur longueur et adoptent un pied cannelé. Les trous permettent à la cire liquide d’être récupérée. La cire de la bougie se solidifie et peut à nouveau être brûlée. Ce système garantit que la <strong>bougie ne coule pas</strong>. Le pied cannelé permet à ces bougies de s’adapter à tous les types de bougeoirs.<br/><br/>Récompensé d’une médaille d’or à Nantes en 1924, ce système vous offre des <strong>bougies classiques d’une qualité haut de gamme</strong>. Apportant une véritable touche d’authenticité, ces bougies longues seront du plus bel effet sur votre table.<br/><br/>Retrouvez également ces bougies en <a href="/2256100-coffret-8-bougies-longues-trouees-vintage-7h" >coffret de 8 bougies longues trouées vintage</a>. <br/><br/>Bougies fabriquées en France.</p>;;Coffret 20 bougies longues trouées vintage 7h;Coffret 20 bougies longues trouées vintage 7h;Ces bougies longues trouées se présentent dans un étui à l’ancienne signé Bougies la Française. Inventées en 1900, ces bougies vintage se parent d’un design exclusif pour un look résolument rétro.;coffret-20-bougies-longues-trouvees-vintage-7h;;;1;;2013-01-01;;../import/authentique/ciergerie/2256200_1.jpg,../import/authentique/ciergerie/2256100_2256200_2.jpg,../import/authentique/ambiances/2-ambiance-retro-5.jpg,../import/authentique/ambiances/2-ambiance-retro3-5.jpg;0;Hauteur : 225, Diamètre : 21, Poids : 1160, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougie déco, Collection : Cieregerie et accessoires d'antan, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2796200;1;Taille bougie en métal;25,24,76,72;4,17;1;;0;;;;;2796200;;;;3023677962003;;0;;;;;50;1;;;;;;<p>Très astucieux, le <strong>taille bougie en métal</strong> est l’accessoire indispensable des bougies longues, bougies flambeaux et bougeoirs. Sur le principe d’un taille crayon, le <strong>taille bougie<strong> permet d’adapter la largeur de la base de votre bougie au diamètre du bougeoir. <br/><br/>Très simple d’utilisation, le <strong>taille bougie en métal</strong> ôtera en un tour de main le surplus de cire. Il ne vous restera plus qu’à déposer la bougie dans son bougeoir pour profiter de l’intimité de sa flamme. <br/><br/>Découvrez également <a href="/72-accessoires" >tous les accessoires</a> pour allumer vos bougies parfumées ou décoratives en toute simplicité. <br/><br/> </p>;;Accessoire bougies - Taille bougie en métal;Accessoire bougies - Taille bougie en métal;Le taille bougie en métal est l’accessoire indispensable des bougies longues, bougies flambeaux et bougeoirs. Sur le principe d’un taille crayon, le taille bougie permet d’adapter votre bougie au diamètre du bougeoir.;taille-bougie-en-metal;;;1;;2013-01-01;;../import/authentique/ciergerie/2796200_1.jpg;;Hauteur : 45, Diamètre : 50, Poids : 19, Durée de combustion : -, Type de produit : Accessoires, Collection : Cieregerie et accessoires d'antan, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2797700;1;Allume bougie rat de cave;25,24,76,72;5;1;;0;;;;;2797700;;;;3023677977007;;0;;;;;50;1;;;;;;<p>Sous ses airs résolument vintage, l’<strong>allume bougie « rat de cave » </strong> est un accessoire très astucieux. Dans la simplicité d’un geste d’antan, allumez vos bougies parfumées ou décoratives en toute sécurité. <br/><br/>Cet <strong>allume bougie</strong> est une longue mèche de 2,30m imprégnée de cire et enroulée dans un tube en carton pour plus de praticité. Il vous suffit de suivre seulement 3 étapes pour <strong>allumer aisément des centaines de bougies</strong>, y compris les chauffe-plats les plus inaccessibles déposés dans des verres profonds et allongés. Tirez sur la mèche selon vos besoins, allumez-la et passez la flamme sur toutes les bougies à allumer. <br/><br/>S’inspirant des charmes du passé, cet <strong>allume bougie vintage</strong> s’habille d’une étiquette à l’ancienne pour le plus grand plaisir des amateurs de décoration rétro. <br/><br/>Découvrez également <a href="/72-accessoires" >tous les accessoires</a> pour allumer vos bougies parfumées ou décoratives en toute simplicité. <br/><br/> </p>;;Accessoire bougies - Allume bougie rat de cave;Accessoire bougies - Allume bougie rat de cave;L’allume bougie « rat de cave » est un accessoire très astucieux. Dans la simplicité d’un geste d’antan, allumez vos bougies parfumées ou décoratives en toute sécurité. ;allume-bougie-rat-de-cave;;;1;;2013-01-01;;../import/authentique/ciergerie/2797700_1.jpg;;Longueur : 2300, Diamètre : , Poids : 25, Durée de combustion : -, Type de produit : Accessoires, Collection : Cieregerie et accessoires d'antan, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
