Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2531500;1;Bougie ronde Ø6cm 7h or;81,78,36,34;3,33;1;;0;;;;;2531500;;;;3023675315009;;0;;;;;50;1;;;;;;<p>Couleur de Noël par excellence, l’or transforme les formes les plus simples en objet de désir… Incontournable pour les fêtes de fin d’année, la <strong>bougie ronde or</strong> est l’accessoire idéal pour ajouter de l’éclat à votre soirée. <br/><br/> Créez un décor raffiné et étincelant, avec cette <strong>bougie boule</strong>. Accumulez les <strong>bougies or</strong>, mixez les tailles et les formes, et parsemez votre intérieur de somptueuses notes dorées. <br/><br/>Allumées, les <strong>bougies dorées</strong> ont la couleur des flammes… Cette <b>bougie de fête</b> vous offre d’une durée de combustion longue durée pour illuminer vos plus belles soirées. <br/><br/>Pour une décoration encore plus élégante, mixez les couleurs avec la <a href="/2291300-bougie-ronde-10cm-30h-blanc-nacre.html" >bougie ronde Ø10cm blanc nacre</a>.<br/><br/> </p>;;Bougie décorative ronde Ø6cm 7h or;Bougie décorative ronde Ø6cm 7h or;Incontournable pour les fêtes de fin d’année, la bougie ronde or ajoutera de l’éclat à votre soirée. Accumulez les bougies or et parsemez votre intérieur de somptueuses notes dorées.;bougie-ronde-6cm-7h-or;;;1;;2013-01-01;1;../import/colorama-noel/or/2-531-500-1.jpg,../import/etincelant/ambiances/2-510-230-5.jpg,../import/etincelant/ambiances/2-510-110-5.jpg;0;Hauteur : 60, Diamètre : 60, Poids : 100, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2531600;1;Bougie ronde Ø8cm 23h or;81,78,36,34;5,83;1;;0;;;;;2531600;;;;3023675316006;;0;;;;;50;1;;;;;;<p>L’or s’unie à votre décoration et vous apporte l’éclat de somptueuses <strong>bougies dorées</strong>. Le décor s’illumine et vous empote dans l’ambiance d’une soirée élégante et raffinée. <br/><br/> Avec cette <strong>bougie ronde or</strong> créez une ambiance précieuse et étincelante. Accumulez les <strong>bougies couleur or</strong>, mixez les tailles et les formes... Votre soirée brille de mille feux ! <br/><br/> Allumées, les <strong>bougies décoratives dorées</strong> ont la couleur des flammes… Cette <b>bougie décorative</b> vous offre une durée de combustion longue durée pour illuminer vos plus belles soirées. <br/><br/> Pour une décoration encore plus élégante, mixez les couleurs avec la <a href="/2291300-bougie-ronde-10cm-30h-blanc-nacre.html" >bougie ronde Ø10cm blanc-nacre</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm 23h or;Bougie décorative ronde Ø8cm 23h or;Avec cette bougie ronde or créez une ambiance précieuse et étincelante. L’or s’unie à votre décoration et vous apporte l’éclat de somptueuses bougies dorées.;bougie-ronde-8cm-23h-or;;;1;;2013-01-01;1;../import/colorama-noel/or/2-531-600-1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2548500;1;Bougie ronde Ø8cm 23h argent;81,78,36,34;5,83;1;;0;;;;;2548500;;;;3023675485009;;0;;;;;50;1;;;;;;<p>A l’occasion des fêtes de fin d’année, misez sur les accessoires pour ajouter de belles tonalités argentées ! Disposée en petites touches, la <strong>bougie ronde argent</strong> sera le détail déco qui illuminera votre réveillon. <br/><br/>Cette <strong>bougie argentée</strong> plongera votre intérieur dans une ambiance chic et festive. N’hésitez pas à marier ces <strong>bougies décoratives</strong> avec des bougies aux nuances dorées pour faire scintiller votre soirée ! <br/><br/>Allumées, ces <strong>bougies de Noël</strong> seront du plus bel effet… Cette <b>bougie décorative</b> se pare d’une durée de combustion longue durée pour émerveiller toujours plus vos invités. <br/><br/>Pour une décoration encore plus luxueuse, mixez l’argent et le doré avec la <a href="/2531600-bougie-ronde-8cm-23h-or.html" >bougie ronde Ø8cm or</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm 23h argent;Bougie décorative ronde Ø8cm 23h argent;Disposée en petites touches, la bougie ronde argent sera le détail déco qui illuminera votre réveillon. Cette bougie argentée plongera votre intérieur dans une ambiance chic et festive.;bougie-ronde-8cm-23h-argent;;;1;;2013-01-01;1;../import/colorama-noel/argent/2-548-500-1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2291100;1;Bougie ronde Ø8cm 23h blanc nacre;81,78,36,34;5,83;1;;0;;;;;2291100;;;;3023672911006;;0;;;;;50;1;;;;;;<p>A l’approche de Noël, une féérie de lumières s’immisce dans votre intérieur. Ajoutée dans votre décoration, la <strong>bougie ronde blanc nacre</strong> laisse planer une sensation évanescente de magie blanche… <br/><br/>D’une élégance subtile et éblouissante, la <strong>bougie blanc nacré</strong> tempère votre décor. N’hésitez pas à accumuler les <strong>bougies couleur nacre</strong>. Comme dans un rêve éveillé, ces <strong>bougies décoratives</strong> accrochent la lumière pour vous plonger dans une ambiance d’une douceur immaculée. <br/><br/>Allumées, ces <strong>bougies de Noël</strong> éblouiront votre soirée d’une lueur cristalline et raffinée. Cette <b>bougie décorative</b> vous offre une durée de combustion longue durée pour émerveiller toujours plus vos invités. <br/><br/>Pour une décoration encore plus féérique, mixez le blanc nacre et le doré avec la <a href="/2529300-bougie-ronde-10cm-30h-or.html" >bougie ronde Ø10cm or</a>. </p>;;Bougie décorative ronde Ø8cm 23h blanc nacre;Bougie décorative ronde Ø8cm 23h blanc nacre;A l’approche de Noël, la bougie ronde blanc nacre laisse planer une sensation de magie blanche… N’hésitez pas à accumuler les bougies couleur nacre pour une ambiance élégante et raffinée.;bougie-ronde-8cm-23h-blanc-nacre;;;1;;2013-01-01;1;../import/colorama-noel/blanc/2-291-100-1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2240286;1;Bougie ronde Ø8cm 23h vert Noël;105,78,36,34;4,17;1;;0;;;;;2240286;;;;3023672402863;;0;;;;;50;1;;;;;;<p>Associez le vert à la saison de l’hiver ! Vêtue d’une couleur verdoyante, cette <strong>bougie décorative</strong> s’inspire des couleurs traditionnelles de Noël. Chaleureuses et accueillantes, nos <strong>bougies rondes</strong> s’habillent d’un vert profond pour colorer vos journées et illuminer vos plus belles soirées… <br/><br/>Simplement déposée sur un angle de votre table de salon, cette <strong>bougie déco</strong> apportera l’esprit féérique de Noël à votre décoration de fêtes. Pour un effet encore plus festif, associez cette <strong>bougie de Noël</strong> à la <a href="/2240287-bougie-ronde-8cm-23h-rouge-noel.html" >bougie ronde Ø8cm rouge Noël</a>.Cette <strong>bougie ronde vert Noël</strong> vous offre une durée de combustion longue durée pour vous plonger dans l’ambiance d’une soirée joyeuse et chaleureuse. <br/><br/>Pour une décoration scintillante, associez cette <strong>bougie vert Noël</strong> à la <a href="/2531500-bougie-ronde-6cm-7h-or.html" >bougie ronde Ø6cm or</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm 23h vert Noël;Bougie décorative ronde Ø8cm 23h vert Noël;D’une couleur verdoyante, cette bougie décorative s’inspire des couleurs de Noël. Cette bougie ronde verte apportera l’esprit féérique de Noël à votre décoration de fêtes.;bougie-ronde-8cm-23h-vert-noel;;;1;;2013-01-01;1;../import/colorama-noel/vert-noel/2-240-286-1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2529300;1;Bougie ronde Ø10cm 30h or;81,78,36,34;9,17;1;;0;;;;;2529300;;;;3023675293000;;0;;;;;50;1;;;;;;<p>Couleur du luxe par excellence, l’or s’impose en note majeure pendant les fêtes de fin d’année. Incontournable à Noël, la <strong>bougie ronde or</strong> devient la touche finale d’une décoration festive raffinée. <br/><br/>Enrobée d’une précieuse robe dorée, la <strong>bougie boule or</strong> fait étinceler votre décor. Simplement déposée sur votre table basse, cette <strong>bougie dorée</strong> se présente tel un trésor. Accumulez les <strong>bougies couleur or</strong> et éblouissez vos invités. <br/><br/> Allumées, les <strong>bougies de Noël</strong> auront encore plus de prestance… Cette <b>bougie décorative</b> se dote d’une durée de combustion longue durée pour illuminer vos plus belles soirées. <br/><br/> Pour une décoration encore plus élégante, mixez les formes et couleurs avec toute notre sélection de <a href="/36-bougies-de-fete" >bougies de fêtes</a>.<br/><br/> </p>;;Bougie décorative ronde Ø10cm 30h or;Bougie décorative ronde Ø10cm 30h or;Incontournable à Noël, la bougie ronde or devient la touche finale d’une décoration festive raffinée. Enrobée d’une précieuse robe dorée, la bougie boule or fait étinceler votre décor.;bougie-ronde-10cm-30h-or;;;1;;2013-01-01;1;../import/colorama-noel/or/2-529-300-1.jpg,../import/etincelant/ambiances/2-510-110-5.jpg;0;Hauteur : 100, Diamètre : 100, Poids : 447, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2551200;1;Bougie ronde Ø10cm 30h argent;81,78,36,34;9,17;1;;0;;;;;2551200;;;;3023675512002;;0;;;;;50;1;;;;;;<p>Pour les fêtes de fin d’année, habillez votre intérieur d’une somptueuse robe de lumière. Disposée en petites touches, la <strong>bougie ronde argent</strong> rendra votre décoration étincelante ! <br/><br/>Couleur festive par excellence, la <strong>bougie argentée</strong> sera la touche finale de votre décoration chic et brillante. Accumulez les <strong>bougies argent</strong>, associez-les aux bougies aux nuances dorées et faites scintiller votre soirée ! <br/><br/>Allumez la flamme de ces <strong>bougies de Noël</strong> et profitez d’une soirée unique à la lueur de vos plus belles bougies… Cette <b>bougie décorative</b> vous offre une durée de combustion longue durée pour émerveiller toujours plus vos invités. <br/><br/>Pour une décoration encore plus luxueuse, mixez l’argent et le doré avec la <a href="/2529300-bougie-ronde-10cm-30h-or.html" >bougie ronde Ø10cm or</a>.<br/><br/> </p>;;Bougie décorative ronde Ø10cm 30h argent;Bougie décorative ronde Ø10cm 30h argent;La bougie ronde argent rendra votre décoration étincelante ! Couleur festive par excellence, cette bougie argentée sera la touche finale de votre décoration chic et brillante.;bougie-ronde-10cm-30h-argent;;;1;;2013-01-01;1;../import/colorama-noel/argent/2-551-200-1.jpg;0;Hauteur : 100, Diamètre : 100, Poids : 447, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2291300;1;Bougie ronde Ø10cm 30h blanc nacre;81,78,36,34;9,17;1;;0;;;;;2291300;;;;3023672913000;;0;;;;;50;1;;;;;;<p>Pour les fêtes, la <strong>bougie ronde</strong> s’enrobe d’une magnifique robe nacrée ! Entre les décorations à paillettes, dorures et guirlandes lumineuses, la <strong>bougie ronde blanc nacre</strong> adoucira votre décor. <br/><br/> D’une douceur immaculée, la <strong>bougie nacrée</strong> habillera votre intérieur d’une élégance subtile et éblouissante. Accumulez les <strong>bougies couleur blanc nacré</strong> et dressez le décor d’un rêve éveillé… Ces <strong>bougies décoratives</strong> accrochent la lumière et vous plongent dans une ambiance féérique. <br/><br/> Allumées, ces <strong>bougies de Noël</strong> allient la lumière de petites flammes à la délicatesse du blanc nacré… Votre habitat se fait étincelant, la magie opère ! Cette <b>bougie décorative</b> se pare d’une durée de combustion longue durée pour illuminer votre soirée d’exception. <br/><br/> Pour une décoration encore plus scintillante, découvrez toute notre sélection de <a href="/36-bougies-de-fete" >bougies de fêtes</a>.<br/><br/> </p>;;Bougie décorative ronde Ø10cm 30h blanc nacre;Bougie décorative ronde Ø10cm 30h blanc nacre;Pour les fêtes, la bougie ronde s’enrobe d’une magnifique robe nacrée ! Accumulez les bougies couleur blanc nacré et dressez le décor d’un rêve éveillé…;bougie-ronde-10cm-30h-blanc-nacre;;;1;;2013-01-01;1;../import/colorama-noel/blanc/2-291-300-1.jpg;0;Hauteur : 100, Diamètre : 100, Poids : 447, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies rondes;0;;0;0;0;0;0;1
2573500;1;Bougie cylindrique 50h or;81,78,36,34;10,83;1;;0;;;;;2573500;;;;3023675735005;;0;;;;;50;1;;;;;;<p>Avec cette <strong>bougie cylindrique</strong>, l’or s’invite dans votre décor. Cette <strong>bougie de Noël</strong> s’enrobe dans un vêtement doré et devient précieuse à l’excellence. Objet de convoitise, la <strong>bougie cylindrique or</strong> s’illumine pour vous offrir le luxe d’un soir ! <br/><br/> Allumez cette <strong>bougie dorée</strong> et laissez la féérie s’installer. D’une durée de combustion longue durée, cette <stroong>bougie déco</strong> vous offrira le chic d’une soirée toute en lumière. <br/><br/> Eblouissez votre intérieur d’un souffle empreint de magie en associant cette <strong>bougie couleur or</strong> aux <a href="/2230687-bougie-cylindrique-75h-rouge-noel.html" >bougies cylindriques rouges</a> et <a href="/2230686-bougie-cylindrique-75h-vert-noel.html" >bougies cylindriques vert Noël</a>. </p>;;Bougie cylindrique 50h or;Bougie cylindrique 50h or;Avec cette bougie cylindrique, l’or s’invite dans votre décor. Cette bougie de Noël s’enrobe dans un vêtement doré et devient précieuse à l’excellence.;bougie-cylindrique-50h-or;;;1;;2013-01-01;1;../import/colorama-noel/or/2-573-500-1.jpg;0;Hauteur : 100, Diamètre : 70, Poids : 348, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies cylindriques;0;;0;0;0;0;0;1
2573600;1;Bougie cylindrique 50h argent;81,78,36,34;10,83;1;;0;;;;;2573600;;;;3023675736002;;0;;;;;50;1;;;;;;<p>A l’approche de Noël, l’argent arrive sur les devants de la scène ! Cette <strong>bougie cylindrique</strong> s’enrobe d’une tenue argentée pour faire la part belle à vos festivités. Au coloris éclatant, la <strong>bougie cylindrique argent</strong> fera briller votre soirée. <br/><br/>Pour votre réveillon, parsemez votre intérieur de <strong>bougies argent</strong>. Associez les formes, les tailles et les couleurs pour éblouir vos invités ! Avec sa durée de combustion longue durée, cette <strong>bougie déco</strong> vous offrira sa lueur tamisée pendant environ 50h. <br/><br/>Pour une décoration de Noël encore plus scintillante, associez cette <stroong>bougie argentée</strong> à toute notre collection de <a href="/36-bougies-de-fete" >bougies de fêtes</a>. </p>;;Bougie cylindrique 50h argent;Bougie cylindrique 50h argent;Cette bougie cylindrique s’enrobe d’une tenue argentée pour faire la part belle à vos festivités. Au coloris éclatant, la bougie cylindrique argent fera briller votre soirée.;bougie-cylindrique-50h-argent;;;1;;2013-01-01;1;../import/colorama-noel/argent/2-573-600-1.jpg;0;Hauteur : 100, Diamètre : 70, Poids : 348, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Collection : Colorama Noël, Parfum : Type de produit : Bougies cylindriques;0;;0;0;0;0;0;1
