reference;quantity;id_shop
2230384;-35;1
2230325;-35;1
2230501;-19;1
2230552;-25;1
2230518;-23;1
2230502;-12;1
2230549;-23;1
2230531;-24;1
2230556;-23;1
2230514;-18;1
2230526;-25;1
2230584;-25;1
2230525;-25;1
2230601;-25;1
2230652;-30;1
2230618;-30;1
2230602;-14;1
2230649;-30;1
2230631;-29;1
2230656;-29;1
2230614;-23;1
2230626;-30;1
2230684;-29;1
2230625;-30;1
2240252;-30;1
2240218;-28;1
2240202;-23;1
2240249;-30;1
2240231;-30;1
2240256;-28;1
2240214;-24;1
2240226;-29;1
2240284;-30;1
2240225;-30;1
2240201;-19;1
2256200;-31;1
2391920;-30;1
2388925;-30;1
2388955;-30;1
2391840;-2;1
2388945;-30;1
2391930;-29;1
2391980;-29;1
2388965;-29;1
2391890;-28;1
2391850;-28;1
2391900;-28;1
2388915;-28;1
2388935;-29;1
2391860;-29;1
2391950;-29;1
2391405;-30;1
2391425;-30;1
2391465;-30;1
2391455;-30;1
2391475;-29;1
2391415;-29;1
2135936;-8;1
2439130;-34;1
2439110;-35;1
2025300;-29;1
2797300;-13;1
2202001;-6;1
