Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2600327;1;Bougie cylindrique Tie and Dye 60h jaune;109,105,67,65;13,25;1;;0;;;;;2600327;;;;3023676003271;;0;;;;;20;1;;;;;;<p>Cet été, laissez place aux couleurs acidulées ! Après avoir conquis la Mode et le textile, la <strong>tendance Tie and Dye</strong> s’unit à nos <strong>bougies décoratives</strong>. <br/><br/>Pour donner du pep’s à votre salon, il n’est pas nécessaire de changer vos meubles… Quelques <strong>bougies cylindriques Tie and Dye</strong> suffisent pour insuffler du style à votre pièce ! <br/><br/>Cette <strong>bougie jaune dégradé</strong> s’empare de couleurs solaires et lumineuses  pour irradier votre intérieur. Une couleur pop qui se délave, du jaune fluo qui réveille en un instant votre décoration… <br/><br/>Et pour une déco encore plus estivale, n’hésitez pas à mixer cette <strong>bougie jaune</strong> avec les bougies bleues et orange de notre <a href="/109-tie-and-dye">collection Tie and Dye</a>. <br/><br/>Bougie décorative fabriquée en France. Bougie artisanale fabriquée à la main. </p>;;Bougie cylindrique Tie and Dye jaune;Bougie cylindrique Tie and Dye jaune;La tendance Tie and Dye s’unit à nos bougies décoratives. Cette bougie jaune dégradé s’empare de couleurs solaires et lumineuses  pour irradier votre intérieur.;;;;1;;2015-04-01;1;;0;Hauteur:150,Diamètre:70,Poids:180,Durée de combustion:+/- 60,Tranche de combustion:55 à 75 heures,Type de produit:Bougies cylindriques,Collection:Tie and Dye;0;;0;0;0;0;0;1
2600326;1;Bougie cylindrique Tie and Dye 60h bleu;109,105,67,65;13,25;1;;0;;;;;2600326;;;;3023676003264;;0;;;;;20;1;;;;;;<p>Du bleu cyan au bleu lagon, les couleurs marines inspirent nos <strong>bougies décoratives</strong> ! <br/><br/>Dans un jeu de teintes délavées, cette <strong>bougie cylindrique bleue</strong> contourne l’uniformité pour donner un nouveau souffle à votre déco… Les couleurs de l’océan se dégradent pour un style seventies modernisé ultra tendance… Place à l’effet <strong>Tie and Dye</strong> ! <br/><br/>Pour un intérieur encore plus vitaminé, associez cette <strong>bougie bleue</strong> avec toutes nos <a href="/109-tie-and-dye">bougies Tie and Dye</a>… L’été sera placé sous le signe de la tonicité ! <br/><br/>Bougie décorative fabriquée en France. Bougie artisanale fabriquée à la main. </p>;;Bougie cylindrique Tie and Dye bleu;Bougie cylindrique Tie and Dye bleu;Dans un jeu de teintes délavées, cette bougie cylindrique bleue contourne l’uniformité pour donner un nouveau souffle à votre déco… Place à l’effet Tie and Dye !;;;;1;;2015-04-01;1;;0;Hauteur:150,Diamètre:70,Poids:180,Durée de combustion:+/- 60,Tranche de combustion:55 à 75 heures,Type de produit:Bougies cylindriques,Collection:Tie and Dye;0;;0;0;0;0;0;1
2600325;1;Bougie cylindrique Tie and Dye 60h rose;109,105,67,65;13,25;1;;0;;;;;2600325;;;;3023676003257;;0;;;;;20;1;;;;;;<p>Osez les couleurs flashy et redonnez du pep’s à votre quotidien ! Vêtue de couleurs qui se dégradent, cette <strong>bougie cylindrique</strong> adopte le style <strong>Tie and Dye</strong>. Et pour retrouver cet effet « Dipped » ultra tendance, cette <strong>bougie rose</strong> nécessite 4 trempages successifs… Un rendu audacieux pour une <strong>bougie déco 100% artisanale</strong> !<br/><br/>Du rose dragée, au rose fuchsia, cette <strong>bougie décorative</strong> révèle 4 teintes toniques et féminines. Du pastel au fluo dilué pour une touche seventies totalement revisitée… Un bel effet graphique frais et lumineux qui se joue des contrastes pour sublimer votre espace !<br/><br/>Pour une décoration encore plus pêchue, accordez cette <strong>bougie rose</strong> à la <a href="/2600326-bougie-cylindrique-tie-and-dye-60h-bleu">bougie Tie and Dye bleue</a>.<br/><br/>Bougie décorative fabriquée en France. Bougie artisanale fabriquée à la main. </p>;;Bougie cylindrique Tie and Dye rose;Bougie cylindrique Tie and Dye rose;Cette bougie cylindrique rose adopte le style Tie and Dye. Un bel effet graphique frais et lumineux qui se joue des contrastes pour sublimer votre espace !;;;;1;;2015-04-01;1;;0;Hauteur:150,Diamètre:70,Poids:180,Durée de combustion:+/- 60,Tranche de combustion:55 à 75 heures,Type de produit:Bougies cylindriques,Collection:Tie and Dye;0;;0;0;0;0;0;1
2600328;1;Bougie cylindrique Tie and Dye 60h orange;109,105,67,65;13,25;1;;0;;;;;2600328;;;;3023676003288;;0;;;;;20;1;;;;;;<p>Comme un clin d’œil aux belles journées d’été, cette <strong>bougie cylindrique</strong> se pare d’un dégradé de couleurs vitaminées. <br/><br/>Teintes lumineuses et fluo diluées, le style « hippie-seventies » se réinvente… Après s’être emparé de nos textiles, le <strong>Tie and Dye</strong> fait la surprise en s’installant sur nos <strong>bougies décoratives</strong> ! <br/><br/>Disposée ici et là, cette <strong>bougie cylindrique orange</strong> devient l’astuce déco qui donnera du pep’s à votre intérieur… Un style bohème-chic revisité, idéal pour prolonger l’été ! <br/><br/>Pour une décoration encore plus solaire, accordez cette <strong>bougie orange</strong> à la <a href="/2600327-bougie-cylindrique-tie-and-dye-60h-jaune">bougie Tie and Dye jaune</a>. <br/><br/>Bougie décorative fabriquée en France. Bougie artisanale fabriquée à la main. </p>;;Bougie cylindrique Tie and Dye orange;Bougie cylindrique Tie and Dye orange;Après s’être emparé de nos textiles, le Tie and Dye fait la surprise en s’installant sur nos bougies décoratives ! Un style bohème-chic revisité, idéal pour prolonger l’été !;;;;1;;2015-04-01;1;;0;Hauteur:150,Diamètre:70,Poids:180,Durée de combustion:+/- 60,Tranche de combustion:55 à 75 heures,Type de produit:Bougies cylindriques,Collection:Tie and Dye;0;;0;0;0;0;0;1
2600317;1;Bougie parfumée boîte de conserve jaune 35h nuances d’agrumes;109,105;11,5;1;;0;;;;;2600317;;;;3023676003172;;0;;;;;20;1;;;;;;<p>Derrière ce design minimaliste, se cache un concentré de créativité ! Façon Do It Yourself, la <strong>bougie parfumée nuances d’agrumes</strong> reprend les airs d’une jolie boîte de conserve. Couleurs acidulées et senteur d’été… Vous allez l’adorer !<br/><br/>Optez pour cette <strong>bougie parfumée aux agrumes</strong> et faites le plein de vitamines ! Sous ses allures taquines, cette <strong>bougie senteur</strong> dévoile des notes qui pétillent… Citron vert, pamplemousse, orange et fruits exotiques… Un parfum couleur soda pour ce <strong>floral-hespéridé</strong>, comme un clin d’œil à vos vacances d’été ! <br/><br/>Cet été, faites le plein de vitamines… Direction les <a href="/47-bougies-fruitees">bougies fruitées</a> !;;Bougie parfumée conserve agrumes;Bougie parfumée conserve agrumes;Façon Do It Yourself, la bougie parfumée nuances d’agrumes reprend les airs d’une jolie boîte de conserve. Couleurs acidulées et senteur d’été… Vous allez l’adorer !;;;;1;;2015-04-01;1;;0;Hauteur:65,Diamètre:70,Poids:145,Durée de combustion:+/- 35,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Nuances d'agrumes,Famille olfactive:Hespéridée;0;;0;0;0;0;0;1
2600318;1;Bougie parfumée boîte de conserve orange 35h perles solaires floral-solaire;109,105;11,5;1;;0;;;;;2600318;;;;3023676003189;;0;;;;;20;1;;;;;;<p>Sous la forme d’une jolie boîte de conserve aux couleurs acidulées, la <strong>bougie parfumée perles solaires</strong> devient l’objet de tous les désirs… Ouvrez-la devant vos invités, surprise assurée ! <br/><br/>Terriblement ludique, cette <strong>bougie parfumée en forme de boîte de conserve</strong> fera sensation, tant pour son design que par sa senteur ! Cette <strong>bougie originale</strong> reprend les couleurs d’un soleil couchant… Pour dévoiler les meilleurs extraits d’un parfum floral-solaire. <br/><br/>Bergamote, jasmin, musc, fleur d’oranger et vanille dans à l’unisson… Un léger <strong>parfum de monoï</strong>… Une fragrance d’été aux facettes exotiques ! <br/><br/>Pour aller plus loin dans votre déco vitaminée, n’hésitez pas à mixer vos <strong>bougies parfumées</strong> avec toutes nos les <a href="/28-bougies-deco">bougies décoratives colorées</a> ! <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Perles solaires, floral-solaire. </p>;;Bougie parfumée conserve solaire;Bougie parfumée conserve solaire;Terriblement ludique, cette bougie parfumée en forme de boîte de conserve fera sensation, tant pour son design que par sa senteur floral-solaire !;;;;1;;2015-04-01;1;;0;Hauteur:65,Diamètre:70,Poids:145,Durée de combustion:+/- 35,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Perles solaires,Famille olfactive:Florale;0;;0;0;0;0;0;1
2600315;1;Bougie parfumée boîte de conserve rose 35h caresses florales;109,105;11,5;1;;0;;;;;2600315;;;;3023676003158;;0;;;;;20;1;;;;;;<p>Faites-vous un petit caprice et ouvrez cette irrésistible boîte de conserve ! Particulièrement ravissante, cette bougie parfumée caresses florales associe l’originalité du métal à la douceur du rose poudré. Un écrin de créativité pour une bougie senteur romantique au doux parfum d’été !<br/><br/>Derrière une recette étudiée, mandarine, fleur d’oranger, jasmin, iris, prune, musc et vanille s’unissent dans un ballet aérien… Aux facettes floral-fruité, c’est une fragrance de poésie qui se libère de cette bougie parfumée ! <br/><br/>Jouez la carte de l’originalité en associant vos <strong>bougies parfumées</strong> aux <a href="/28-bougies-deco">bougies décoratives colorées</a> !<br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Caresses florales, floral-fruité. </p>;;Bougie parfumée conserve florale;Bougie parfumée conserve florale;Cette bougie parfumée en forme de boîte de conserve associe l’originalité du métal à la douceur du rose poudré. Une bougie senteur florale au doux parfum d’été !;;;;1;;2015-04-01;1;;0;Hauteur:65,Diamètre:70,Poids:145,Durée de combustion:+/- 35,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Caresses florales,Famille olfactive:Florale;0;;0;0;0;0;0;1
2600316;1;Bougie parfumée boîte de conserve turquoise 35h pluie tropicale floral-épicé;109,105;11,5;1;;0;;;;;2600316;;;;3023676003165;;0;;;;;20;1;;;;;;<p>Et si vous rusiez de créativité pour composer votre déco d’été ? Façon récup’, la <strong>bougie parfumée pluie tropicale</strong> ose design ludique et couleur vive ! Surprise et tonalité pop sont au rendez-vous… Mission accomplie pour cette <strong>bougie parfumée en forme de boîte de conserve</strong> ! <br/><br/>Melon, cardamome, prune, muscade et romarin… Cette <strong>bougie senteur</strong> se pare de facettes olfactives extrêmement rafraîchissantes... Comme un parfum d’été !<br/><br/>Pour un déco intérieure haute en couleur, n’oubliez pas d’ajouter quelques <a href="/28-bougies-deco">bougies décoratives colorées</a> !<br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Pluie tropicale, floral-épicé-aromatique. </p>;;Bougie parfumée conserve tropicale;Bougie parfumée conserve tropicale;La bougie parfumée pluie tropicale ose design ludique et couleur vive ! En forme de boîte de conserve cette bougie révèle la fraîcheur d’un parfum d’été !;;;;1;;2015-04-01;1;;0;Hauteur:65,Diamètre:70,Poids:145,Durée de combustion:+/- 35,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Pluie tropicale ,Famille olfactive:Florale;0;;0;0;0;0;0;1
2600307;1;Coffret bougie parfumée jaune 40h nuances d’agrumes;109,105;13,25;1;;0;;;;;2600307;;;;3023676003073;;0;;;;;20;1;;;;;;<p>Couleur du soleil, la <strong>bougie parfumée jaune nuances d’agrumes</strong> s’habille de tonalités vitaminées pour donner une nouvelle vie à votre intérieur. Au look fluo ultra tendance, cette <strong>bougie parfumée sérigraphiée</strong> apporte de belles notes de gaieté… Rien de tel qu’une déco solaire pour faire durer l’été !<br/><br/>Fraîche et pétillante, cette <strong>bougie senteur agrumes</strong> vous garantie une ambiance pleine de légèreté ! Citron vert, orange, pamplemousse et fruites exotiques… Un <strong>cocktail acidulé</strong> qui fait penser au farniente…  Une <strong>bougie floral-hespéridé</strong> pour faire rayonner l’été…  <br/><br/>Pour la saison des jours radieux… Craquez pour nos <a href="/47-bougies-fruitees">bougies parfumées fruitées</a> ! Ambiance fraîche et terriblement sucrée assurée ! <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Nuances d’agrumes, floral-hespéridé. </p>;;Coffret bougie parfumée agrumes;Coffret bougie parfumée agrumes;Fraîche et pétillante, cette bougie parfumée agrumes vous garantie une ambiance pleine de légèreté ! Au look fluo ultra tendance pour une bougie senteur d’été !;;;;1;;2015-04-01;1;;0;Hauteur:90,Diamètre:75,Poids:180,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Nuances d'agrumes,Famille olfactive:Hespéridée;0;;0;0;0;0;0;1
2600308;1;Coffret bougie parfumée orange 40h perles solaires floral-solaire;109,105;13,25;1;;0;;;;;2600308;;;;3023676003080;;0;;;;;20;1;;;;;;<p>Quelques zestes d’orange suffisent pour donner de l’éclat à votre salon ! D’un coloris pop et fruité, la <strong>bougie parfumée perles solaires</strong>  joue la carte d’une palette chromatique ensoleillée… Effet bonne mine assurée : quelques touches orangées, et votre pièce respire la joie de vivre ! <br/><br/>Senteur floral-solaire, cette <strong>bougie parfumée</strong> vous rappelle votre dernière balade à plage… Bergamote, jasmin, musc, fleur d’oranger et vanille composent la recette de cette <strong>bougie senteur d’été</strong>. Le parfum se pare de facettes exotiques suaves et veloutées… Des arômes de monoï… Une évocation au soleil… <br/><br/>Vous craquez pour ces parfums d’été ? Découvrez toute notre collection de bougies parfumées aux senteurs estivales ! <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Perles solaires, floral-solaire. </p>;;Coffret bougie parfumée solaire;Coffret bougie parfumée solaire;D’un coloris pop et fruité, la bougie parfumée orange perles solaires  joue la carte d’une palette ensoleillée. Une senteur monoï, comme un doux parfum d’été…;;;;1;;2015-04-01;1;;0;Hauteur:90,Diamètre:75,Poids:180,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Type de produit:Bougies parfumées,Collection:Tie and Dye,Parfum:Perles solaires,Famille olfactive:Florale;0;;0;0;0;0;0;1
