Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2381845;1;Etui 20 bâtonnets d’encens parfumés jasmin coquin;29,27;2,75;1;;0;;;;;2381845;;;;3023673818458;;0;;;;;20;1;;;;;;<p>A l’image du parfum corporel, les <strong>parfums d’intérieur</strong> sont le reflet de votre personnalité… Pour parfumer l’ambiance de votre pièce à votre image, cet <strong>étui de 20 bâtonnets d’encens senteur jasmin coquin</strong> se montrent parfaits pour dévoiler la part de romantisme que vous cachez ! <br/><br/>Avec ces <storng>bâtonnets d’encens parfumés au jasmin</strong>, votre pièce s’ouvre sur de belles senteurs florales. Un <strong>parfum de jasmin</strong> subtilement fruité se dégage de ces <strong>bâtonnets d’encens</strong>… Comme une délicate intention de votre intérieur pour votre bien-être… <br/><br/>Mixez les ambiances et parfumez vos pièces de la maison à l’aide de toutes nos <a href="/41-bougies-parfumees" >bougies parfumées</a> ! <br/><br/>Parfum : Jasmin coquin. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens jasmin;20 bâtonnets d’encens jasmin;Avec ces bâtonnets d’encens parfumés au jasmin, votre pièce s’ouvre sur de belles senteurs florales.;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Jasmin coquin,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381810;1;Etui 20 bâtonnets d’encens parfumés pivoine écarlate;29,27;2,75;1;;0;;;;;2381810;;;;3023673818106;;0;;;;;20;1;;;;;;<p>Parce que le parfum connote toujours une personnalité, les <a href="/50-diffuseurs-parfumes" >diffuseurs et parfums d’intérieur</a> symbolisent votre art de vie et le tempérament de votre habitat. Cet <strong>étui de 20 bâtonnets d’encens senteur pivoine écarlate</strong> révèle une ambiance empreinte de féminité et de séduction…<br/><br/>Ces <strong>bâtonnets d’encens parfumés au jasmin</strong> procure à votre pièce une fragrance florale extrêmement lumineuse ! Une senteur romantique de pivoine fraîche et rosée se disperse sur l’élégance de jolies notes boisées… Ces <strong>bâtonnets d’encens à la pivoine</strong> s’utilisent pour adoucir votre intérieur… <br/><br/>Et si vous souhaitez parfumer votre maison de multiples senteurs ? Découvrez toute notre collection de <a href="/41-bougies-parfumees" >bougies parfumées</a> ! <br/><br/>Parfum : Jasmin coquin. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens pivoine;20 bâtonnets d’encens pivoine;Ces bâtonnets d’encens parfumés au jasmin procure à votre pièce une fragrance florale extrêmement lumineuse !;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Pivoine écarlate,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381840;1;Etui 20 bâtonnets d’encens parfumés amande jolie;29,27;2,75;1;;0;;;;;2381840;;;;3023673818403;;0;;;;;20;1;;;;;;<p>Qui vous a dit que les senteurs florales ne pouvaient pas être gourmandes ? L’<strong>étui de 20 bâtonnets d’encens amande jolie</strong> prendra un malin plaisir à vous contredire ! <br/><br/>D’une incroyable douceur, ces <strong>20 bâtonnets d’encens senteur amande</strong> diffusent le parfum de velours de ces petites fleurs d’amandier… Entre grâce et délicatesse, ces <strong>bâtonnets d’encens parfumés à l’amande</strong> vous enveloppent dans une senteur florale… Enjolivée de notes de noix de coco et de vanille… Pour une senteur florale toute en gourmandise ! <br/><br/>Découvrez davantage de senteurs avec toute notre collection de <a href="/41-bougies-parfumees" >bougies parfumées</a> ! <br/><br/>Parfum : Amande jolie. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens amande;20 bâtonnets d’encens amande;D’une incroyable douceur, ces 20 bâtonnets d’encens senteur amande diffusent le parfum de velours de ces petites fleurs d’amandier.;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Amande jolie,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381825;1;Etui 20 bâtonnets d’encens parfumés figue mutine;29,27;2,75;1;;0;;;;;2381825;;;;3023673818250;;0;;;;;20;1;;;;;;<p>Avec l’<strong>étui de 20 bâtonnets d’encens senteur figue mutine</strong>, c’est tout votre intérieur qui pétille… Une senteur taquine pour un habitat qui reprend vie !<br/><br/>Fraîche et fruitée, la senteur de ces <strong>bâtonnets d’encens parfumés à la figue</strong> enveloppent votre univers d’accords ensoleillés ! Cet <strong>encens</strong> libère un parfum de figue que vous adorerez croquer… Et qui se dépose sur l’élégance d’une senteur boisée… <br/><br/>Vous craquez pour les senteurs fruitées ? Découvrez aussi toutes nos <a href="/47-bougies-fruitees" >bougies parfumées fruitées</a> ! <br/><br/>Parfum : Figue mutine. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens figue;20 bâtonnets d’encens figue;Fraîche et fruitée, la senteur de ces bâtonnets d’encens parfumés à la figue enveloppent votre univers d’accords ensoleillés !;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Figue mutine,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
2381820;1;Etui 20 bâtonnets d’encens parfumés love patchouli;29,27;2,75;1;;0;;;;;2381820;;;;3023673818205;;0;;;;;20;1;;;;;;<p>Plus que la pratique de gestes rituels, les <strong>bâtonnets d’encens senteur patchouli</strong> vous permettront d’être en paix avec vous-même… <br/><br/>Les senteurs boisées de ces <strong>bâtonnets d’encens parfumés au patchouli</strong> libère de profondes fragrances aux nuances vertes et terreuses… Et, sur un final de notes vanillées, ces <strong>bâtonnets d’encens au patchouli</strong> laissent entrer une part de l’Orient… Une évasion à vivre à domicile !<br/><br/>Pour toujours plus de découvertes olfactives, découvrez toutes nos senteurs de <a href="/41-bougies-parfumees" >bougies parfumées</a> ! <br/><br/>Parfum : Love patchouli. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens patchouli;20 bâtonnets d’encens patchouli;Les senteurs boisées de ces bâtonnets d’encens parfumés au patchouli libère de profondes fragrances aux nuances vertes et terreuses… Pour une promesse d'évasion !;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Love patchouli,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381815;1;Etui 20 bâtonnets d’encens parfumés tiaré sunshine;29,27;2,75;1;;0;;;;;2381815;;;;3023673818151;;0;;;;;20;1;;;;;;<p>Avec cet <storng>étui de 20 bâtonnets d’encens senteur tiaré sunshine</strong> parfumez votre intérieur aux couleurs de l’été ! <br/><br/>Ces <strong>bâtonnets d’encens parfumés au tiaré</strong> vous convie dans un voyage olfactif solaire et lumineux… Une senteur de fleur de tiaré, sublimée de vanille, de miel et de noix de coco pour une fragrance enivrante… Comme une évocation des îles et du soleil des tropique, ces <strong>bâtonnets d’encens</strong> dévoilent un parfum de monoï… Evasion garantie ! <br/><br/>Pour assouvir tous vos désirs d’évasion, découvrez toute notre collection de <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/><br/>Parfum : Tiaré sunshine. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens parfumés tiaré;20 bâtonnets d’encens parfumés tiaré;Ces bâtonnets d’encens parfumés au tiaré vous convie dans un voyage olfactif solaire et lumineux… Au rythme d’une fragrance de monoï.;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Tiaré sunshine,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381805;1;Etui 20 bâtonnets d’encens parfumés vanille addict;29,27;2,75;1;;0;;;;;2381805;;;;3023673818052;;0;;;;;20;1;;;;;;<p>La gourmandise n’est pas un vilain défaut ! Avec cet <strong>étui de 20 bâtonnets d’encens senteur vanille addict</strong> découvrez le plaisir de craquer… Sans croquer ! Et laissez-vous porter dans une atmosphère de plaisir olfactif… <br/><br/>Ces <strong>bâtonnets d’encens à la vanille</strong> vous dévoile une ambiance pleine de caprices… Rehaussée de caramel, cet <strong>encens senteur vanille</strong> est un véritable délice. Et si vous partagez ces petits moments avec vos amis ? Ils vous accompagneront dans votre petit pêché mignon ! <br/><br/>Pour encore plus de gourmandise, découvrez toutes nos <a href="/42-bougies-gourmandes" >bougies parfumées gourmandes</a> ! <br/><br/>Parfum : Vanille addict. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens vanille;20 bâtonnets d’encens vanille;Ces bâtonnets d’encens à la vanille vous dévoile une ambiance pleine de caprices…;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Vanille addict,Famille olfactive:Gourmande;0;;0;0;0;0;0;1
2381800;1;Etui 20 bâtonnets d’encens parfumés coton tout doux;29,27;2,75;1;;0;;;;;2381800;;;;3023673818007;;0;;;;;20;1;;;;;;<p>Cet <strong>étui de 20 bâtonnets d’encens senteur coton tout doux</strong> vous aidera à retrouver calme et apaisement. <br/><br/>A l’image du nom de leur fragrance, ces <strong>bâtonnets d’encens parfumés au coton</strong> procure à votre pièce une ambiance empreinte de sérénité. La douceur de son parfum floral, légèrement musqué et vanillé vous emporte dans un univers de plénitude… Prenez le temps… Rien qu’un instant…  <br/><br/>Changez d’ambiance en quelques instants avec toute notre collection de <a href="/41-bougies-parfumees" >bougies parfumées</a> ! <br/><br/>Parfum : Coton tout doux. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens coton;20 bâtonnets d’encens coton;A l’image du nom de leur fragrance, ces bâtonnets d’encens parfumés au coton procure à votre pièce une ambiance empreinte de sérénité.;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Coton tout doux,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381830;1;Etui 20 bâtonnets d’encens parfumés thé enchanté;29,27;2,75;1;;0;;;;;2381830;;;;3023673818304;;0;;;;;20;1;;;;;;<p>Un peu de sable blanc disposé dans une belle assiette… Ajoutez quelques cailloux ici et là, et quelques vagues dessinées à l’aide d’un bâtonnet… Préparez-vous à trouver la sérénité dans votre jardin intérieur et allumez un <strong>bâtonnet d’encens senteur thé enchanté</strong>… <br/><br/>Diffusant des senteurs fraîches et subtiles, les <strong>bâtonnets d’encens parfumés au thé</strong> vous font découvrir les vertus relaxantes de l’encens. Une senteur de thé, un brin hespéridé… Qui se colore de nuances boisées au fur et à mesure de la combustion de ces <strong>bâtonnets d’encens</strong>… Pour ressourcer votre for intérieur… <br/><br/>Continuez votre voyage olfactif avec toutes nos <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/><br/>Parfum : Thé enchanté. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens thé;20 bâtonnets d’encens thé;Diffusant des senteurs fraîches et subtiles, les bâtonnets d’encens parfumés au thé vous font découvrir les vertus relaxantes de l’encens.;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Thé enchanté,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381835;1;Etui 20 bâtonnets d’encens parfumés rouge cerise;29,27;2,75;1;;0;;;;;2381835;;;;3023673818359;;0;;;;;20;1;;;;;;<p>Parfum cerise, cet <storng>étui de 20 bâtonnets d’encens</strong> parfument votre intérieur de délicieuse senteurs ! <br/><br/>Avec ces <strong>bâtonnets d’encens senteur cerise</strong> réveillez vos papilles olfactives au rythme de notes fruitées, subtilement vanillées… Votre ambiance d’intérieur reprend goût à la vie et s’illumine ! <br/><br/>Figue, rhubarbe ou mandarine, tous les goûts sont permis ! Parcourez toute notre collection de <a href="/47-bougies-fruitees" >bougies fruitées</a>… Il ne vous reste plus qu’à craquer ! <br/><br/>Parfum : Rouge cerise. Durée de combustion : +/- 35mn.</p>;;20 bâtonnets d’encens cerise;20 bâtonnets d’encens cerise;Avec ces bâtonnets d’encens senteur cerise réveillez vos papilles olfactives au rythme de notes fruitées, subtilement vanillées…;;;;1;;2015-04-15;1;;0;Hauteur:220,Largeur:60,Profondeur:8,Type de produit:Encens,Collection:Parfum et fantaisie,Parfum:Rouge cerise,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
