Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2510220;0;2 bougies cylindriques papier plié 10cm 45h blanc et or;81,78,36,34;24,17;1;;0;;;;;2510220;;Bougies la Française;Bougies la Française;3023675102203;;0;;;;;20;1;;;;;;<p>Par l’harmonie d’une subtile combinaison, la fête se pare d’or et de blanc immaculé… Créez en mode design, cette incontournable féerie… Illuminez votre espace, avec des <a href="/68-bougies-deco">bougies décoratives</a> aux multiples reflets… <br/><br/> Inspirée des décorations éphémères, des boules en papier plié, et de l’art d’un « origami » sublimé, les <strong>bougies décoratives effet papier plié blanches et or</strong> placent cette fin d’année sous le signe de l’éclat ! <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;2 bougies cylindriques papier plié 10cm 45h blanc et or;bougies cylindriques, bougies déco, bougies décoratives, bougies Noël, blanc et or;Inspirée des boules en papier plié les bougies décoratives effet papier plié blanches et or placent cette fin d’année sous le signe de l’éclat !;;;;1;;2015-10-01;1;../import/noel-etincelant/2-510-220-0.jpg,../import/noel-etincelant/2-510-220A-1.jpg,../import/noel-etincelant/2-510-220B-1.jpg,../import/noel-etincelant/2-510-220-5.jpg,../import/noel-etincelant/2-510-220-5bis.jpg;0;Hauteur:100,Diamètre:70,Poids:330,Type de produit:Bougies décoratives,Durée de combustion: +/-45,Tranche de combustion:45 à 55 heures, Collection:Déco étincelante;0;;0;0;0;0;0;1
2510290;0;Bougie décorative étoile 8cm bicolore blanc et or;81,78,36,34;7,08;1;;0;;;;;2510290;;Bougies la Française;Bougies la Française;3023675102906;;0;;;;;0;1;;;;;;<p>Il y a toujours de la magie dans le scintillement des flammes… La <strong>bougie étoile blanche et or</strong> illumine votre décor pour révéler cet enchantement… <br/><br/>Accompagnée de quelques <a href="/68-bougies-deco">bougies décoratives</a> blanches et dorées, la <strong>bougie bicolore</strong> devient alors l’étoile de Noël de votre table de fin d’année… <br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative étoile 8cm bicolore blanc et or;bougies étoile, bougies déco, bougies décoratives, bougies Noël, blanc et or;La bougie étoile blanche et or illumine votre décor pour révéler l’enchantement des fêtes de fin d’année…;;;;1;;2015-10-01;1;../import/noel-etincelant/2-510-290-1.jpg,../import/noel-etincelant/2-510-290-5.jpg;0;Hauteur:82,Longueur:90,Profondeur:38,Poids:90,Type de produit:Bougies décoratives,Durée de combustion: +/-5,Tranche de combustion:1 à 15 heures, Collection:Déco étincelante;0;;0;0;0;0;0;1
2510285;0;Bougie décorative joyau 7cm bicolore blanc et or;81,78,36,34;5,75;1;;0;;;;;2510285;;Bougies la Française;Bougies la Française;3023675102852;;0;;;;;5;1;;;;;;<p>Pour Noël, faites étinceler votre décor de fête ! Parmi vos décorations de table blanches et dorées, les <strong>bougies joyaux bicolores</strong> se disposent tels de véritables trésors. <br/><br/> En parure couronnée d’or, ces <a href="/68-bougies-deco">bougies décoratives</a> jouent de leurs angles pour capter la lumière. Entre éclat et scintillement, votre décoration de fête devient aussi précieuse que raffinée….<br/><br/> Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative joyau 7cm bicolore blanc et or;bougies diamant, bougies déco, bougies décoratives, bougies Noël, blanc et or;Parmi vos décorations de table, les bougies joyaux bicolores se disposent en véritables trésors. En parure couronnée d’or, ces bougies décoratives fait étinceler votre décor.;;;;1;;2015-10-01;1;../import/noel-etincelant/2-510-285-1.jpg,../import/noel-etincelant/2-510-285-5.jpg,../import/noel-etincelant/2-700-325-5bis.jpg;0;Hauteur:70,Diamètre:70,Poids:130,Type de produit:Bougies décoratives,Durée de combustion: +/-20,Tranche de combustion:15 à 25 heures, Collection:Déco étincelante;0;;0;0;0;0;0;1
2700330;0;Photophore verre laqué flocon 20cm blanc et or;81,78,36,34,73,72;24,92;1;;0;;;;;2700330;;Bougies la Française;Bougies la Française;3023677003300;;0;;;;;20;1;;;;;;<p>Ultra tendance, ce <strong>photophore en verre laqué</strong> sublime votre décoration étincelante. Sa finition blanche offre un élégant contraste avec son intérieur doré… Mais c’est lorsque l’on y dépose une <a href="/70-bougies-chauffe-plat">bougie chauffe-plat</a> que ce <strong>photophore</strong> dévoile toute sa splendeur.<br/><br/> La lumière de la flamme illumine le motif flocon ajouré… C’est alors qu’une douce lueur dorée embellit votre décoration de fête. <br/><br/> Offrez-vous un décor encore plus enchanteur en associant ce photophore au <a href="/2700325-photophore-verre-laque-flocon-12-5cm-blanc-et-or.html">photophore flocon 12,5cm</a> ! </p>;;Photophore verre laqué flocon 20cm blanc et or;Photophore, Photophore verre laqué flocon, blanc et or, photophore noël;Ultra tendance, ce photophore en verre laqué blanc et doré sublime votre décoration étincelante.;;;;1;;2015-10-01;1;../import/noel-etincelant/2-700-330-1.jpg,../import/noel-etincelant/2-700-330-1bis.jpg,../import/noel-etincelant/2-700-325-5ter.jpg,../import/noel-etincelant/2-700-325-5bis.jpg;0;Hauteur:200,Diamètre:120,Type de produit:Photophores,Collection:Déco étincelante;0;;0;0;0;0;0;1
2700325;0;Photophore verre laqué flocon 12,5cm blanc et or;81,78,36,34,73,72;13,25;1;;0;;;;;2700325;;Bougies la Française;Bougies la Française;3023677003256;;0;;;;;20;1;;;;;;<p>En version bicolore blanc et doré, ce <strong>photophore en verre laqué</strong> mettra en lumière votre décoration de fête ! Tandis que sa surface blanche vient adoucir les tonalités de votre décor, l’intérieur couleur or apporte une belle note étincelante… <br/><br/> Et jusqu’aux moindres détails, ce <strong>photophore</strong> est ajouré d’un motif flocon pour valoriser davantage vos festivités ! Encore plus beau illuminé, il ne vous reste plus qu’à y placer une <a href="/70-bougies-chauffe-plat">bougie chauffe-plat</a> et le tour est joué. Le photophore se pare se ses plus beaux reflets dorés pour emmener votre tablée dans un univers enchanté ! <br/><br/> Pour apporter une touche encore plus lumineuse à votre pièce, choisissez le <a href="/2700330-photophore-verre-laque-flocon-20cm-blanc-et-or.html">photophore flocon 20cm</a> ! </p>;;Photophore verre laqué flocon 12,5cm blanc et or;Photophore, Photophore verre laqué flocon, blanc et or, photophore noël;En version bicolore blanc et doré, ce photophore en verre laqué mettra en lumière votre décoration de fête !;;;;1;;2015-10-01;1;../import/noel-etincelant/2-700-325-1.jpg,../import/noel-etincelant/2-700-325-1bis.jpg,../import/noel-etincelant/2-700-325-5ter.jpg,../import/noel-etincelant/2-700-325-5bis.jpg;0;Hauteur:125,Diamètre:100,Type de produit:Photophores,Collection:Déco étincelante;0;;0;0;0;0;0;1
2700815;0;Bougeoir verre base large 53cm;81,78,36,34,74,73,72;28,33;1;;0;;;;;2700815;;Bougies la Française;Bougies la Française;3023677008152;;0;;;;;20;1;;;;;;<p>Avec ce <strong>bougeoir en verre</strong> de 53 cm, c’est toute votre décoration qui prend de l’altitude ! <br/><br/> Le design en verre conique inversé procure à ce <strong>bougeoir</strong> dynamisme et modernité. Grâce à ce bel objet déco, tous les regards seront tournés vers vos <a href="/66-bougies-de-table">bougies de table</a>… Il n’y a aucun doute, votre déco sera resplendissante ! <br/><br/> Donnez toujours plus d’éclat à votre soirée en ajoutant quelques <a href="/2700810-bougeoir-verre-base-large-43cm.html">bougeoirs en verre de 43cm</a> dans votre décoration de table ! </p>;;Bougeoir verre base large 53cm;Bougeoir, bougeoir verre base large, Bougeoir pour bougies chandelles, décoration de table;Le design en verre conique inversé procure à ce bougeoir dynamisme et modernité. Il n’y a aucun doute, votre déco sera resplendissante !;;;;1;;2015-10-01;1;../import/noel-etincelant/2-700-815-1.jpg,../import/noel-etincelant/2-700-805-810-815-1.jpg,../import/noel-etincelant/2-700-325-5.jpg;0;Hauteur:530,Diamètre:95,Type de produit:Bougeoirs,Collection:Déco étincelante;0;;0;0;0;0;0;1
2700810;0;Bougeoir verre base large 43cm;81,78,36,34,74,73,72;24,17;1;;0;;;;;2700810;;Bougies la Française;Bougies la Française;3023677008107;;0;;;;;20;1;;;;;;<p>Petit frère du <a href="/2700815-bougeoir-verre-base-large-53cm.html">bougeoirs en verre de 53cm</a>, la vocation de ce <strong>bougeoir</strong> est simple : sublimer vos <a href="/66-bougies-de-table">bougies de table</a> ! <br/><br/> Entre design classique et contemporain, ce <strong>bougeoir en verre conique inversé</strong> adopte un style minimaliste. Tout en finesse, il s’associe parfaitement avec le <a href="/2700805-bougeoir-verre-base-large-33cm.html">bougeoir en verre 33cm</a> pour donner volume et élégance à votre table. En jouant sur la hauteur de vos bougies, c’est toute votre décoration qui prend une nouvelle dimension…   </p>;;Bougeoir verre base large 43cm;Bougeoir, bougeoir verre base large, Bougeoir pour bougies chandelles, décoration de table;Ce bougeoir en verre conique inversé adopte un style minimaliste. Tout en finesse, il donne volume et élégance à votre table.;;;;1;;2015-10-01;1;../import/noel-etincelant/2-700-810-1.jpg,../import/noel-etincelant/2-700-805-810-815-1.jpg,../import/noel-etincelant/2-700-325-5.jpg;0;Hauteur:430,Diamètre:90,Type de produit:Bougeoirs,Collection:Déco étincelante;0;;0;0;0;0;0;1
2700805;0;Bougeoir verre base large 33cm;81,78,36,34,74,73,72;21,25;1;;0;;;;;2700805;;Bougies la Française;Bougies la Française;3023677008053;;0;;;;;20;1;;;;;;<p>Indispensables pour apporter de l’éclat à votre soirée, les <strong>bougeoirs</strong> deviennent un élément de déco incontournable ! Dans un jeu d’éclat et de transparence, ce <strong>bougeoir en verre</strong> attise la flamme de vos <a href="/66-bougies-de-table">bougies de table</a>. <br/><br/> Résolument moderne, la forme en verre conique inversé de ce <strong>bougeoir</strong> apporte un touche lumineuse originale à votre table. Un style minimaliste, tout en discrétion et en finesse, qui valorisera à coup sûr vos plus belles bougies chandelles ! <br/><br/> Pour une déco soignée dans les moindres détails, jouez sur les hauteurs de vos bougies de table en misant sur les <a href="/2700815-bougeoir-verre-base-large-53cm.html">bougeoirs 53cm</a> et <a href="/2700810-bougeoir-verre-base-large-43cm.html">43cm</a>.</p>;;Bougeoir verre base large 33cm;Bougeoir, bougeoir verre base large, Bougeoir pour bougies chandelles, décoration de table;Dans un jeu d’éclat et de transparence, ce bougeoir en verre attise la flamme de bougies de table. Un style minimaliste qui valorisera à coup sûr vos plus belles bougies !;;;;1;;2015-10-01;1;../import/noel-etincelant/2-700-805-1.jpg,../import/noel-etincelant/2-700-805-810-815-1.jpg,../import/noel-etincelant/2-700-325-5.jpg;0;Hauteur:330,Diamètre:85,Type de produit:Bougeoirs,Collection:Déco étincelante;0;;0;0;0;0;0;1
2530510;0;4 bougies classiques 7h cuivré ;81,78,36,34,66,65;13,33;1;;0;;;;;2530510;;Bougies la Française;Bougies la Française;3023675305109;;0;;;;;80;1;;;;;;<p>Indispensables pour une décoration raffinée, les <a href="/66-bougies-de-table">bougies de table</a> parachèvent votre décor en toute simplicité. Pour une déco tendance, agrémentez votre table à dîner de multiples objets cuivrés. Et si vous optez pour des <strong>bougies chandelles couleur cuivrée</strong>, vous épaterez vos invités ! <br/><br/> <strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies cuivrées</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une qualité haut de gamme. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure. <br/><br/> Bougies fabriquées en France. </p>;;4 bougies classiques 7h cuivré ;bougies classiques, bougies de table, bougies chandelles, bougies de fête, bougies de Noël, cuivré ;Indispensables pour une décoration raffinée, les bougies de table cuivrées parachèvent votre décor en toute simplicité.;;;;1;;2015-10-01;1;../import/noel-colorama/2-530-510-1.jpg;0;Hauteur:200,Diamètre:22,Poids:60,Type de produit:Bougies classiques,Durée de combustion: +/-7,Tranche de combustion:1 à 15 heures, Collection:Déco étincelante;0;;0;0;0;0;0;1
2291210;0;4 bougies flambeaux 8h cuivré ;81,78,36,34,66,65;15,83;1;;0;;;;;2291210;;Bougies la Française;Bougies la Française;3023672912102;;0;;;;;80;1;;;;;;<p>Cette année, la tendance cuivrée devient le must-have de notre déco ! Idéal pour réchauffer l’atmosphère en automne comme en hiver, ce « métal rougeoyant» s’accorde une place de choix dans notre maison. Avec ces <strong>bougies flambeaux</strong> choisissez l’audace, optez pour une décoration de table cuivrée… Et illuminez vos invités d’une déco inoxydable ! <br/><br/> <strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies cuivrées</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une qualité haut de gamme. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure. <br/><br/> Bougies fabriquées en France. </p>;;4 bougies flambeaux 8h cuivré ;bougies flambeaux, bougies de table, bougies chandelles, bougies de fête, bougies de Noël, cuivré ;Avec ces bougies flambeaux choisissez l’audace, optez pour une décoration de table cuivrée… Et illuminez vos invités d’une déco inoxydable !;;;;1;;2015-10-01;1;../import/noel-colorama/2-291-2910-1-x4.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:290,Diamètre:22,Poids:78,Type de produit:Bougies flambeaux,Durée de combustion: +/-8,Tranche de combustion:1 à 15 heures, Collection:Déco étincelante;0;;0;0;0;0;0;1
