Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
1051;1;1;13;10;1;;0;;;;;1051;;;;1234567890123;;0;;;;;10;1;;;;;;;;Coffret bougie parfumée 50h pivoine céleste Quintessence - Bougies la Française;;Avec la bougie parfumée pivoine céleste, saisissez l’intensité du parfum d’un cœur de larges pétales vaporeux. Véritable interprétation printanière, les effluves de cette bougiecréeront une ambiance empreinte de féminité et de légèreté. ;bougie-olivier1;;;1;;2013-01-01;1;../import/1.jpg,../import/2.jpg;0;Hauteur:,Largeur:,Profondeur:,Diamètre:,Poids:,Durée de combustion:de 1 heure à 4 heures,Collection:Quintessence,Parfum:Pivoine,Thème:;0;;0;0;0;0;0;1
1052;;2;13;;;;;;;;;1052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1053;;3;13;;;;;;;;;1053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1054;;4;13;;;;;;;;;1054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1055;;5;13;;;;;;;;;1055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1056;;6;13;;;;;;;;;1056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1057;;7;13;;;;;;;;;1057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1058;;8;13;;;;;;;;;1058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1059;;9;13;;;;;;;;;1059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1060;;10;13;;;;;;;;;1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1061;;11;13;;;;;;;;;1061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1062;;12;13;;;;;;;;;1062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1063;;13;13;;;;;;;;;1063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1064;;14;13;;;;;;;;;1064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1065;;15;13;;;;;;;;;1065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1066;;16;13;;;;;;;;;1066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1067;;17;13;;;;;;;;;1067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1068;;18;13;;;;;;;;;1068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1069;;19;13;;;;;;;;;1069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1070;;20;13;;;;;;;;;1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1071;;21;13;;;;;;;;;1071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1072;;22;13;;;;;;;;;1072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1073;;23;13;;;;;;;;;1073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1074;;24;13;;;;;;;;;1074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1075;;25;13;;;;;;;;;1075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1076;;26;13;;;;;;;;;1076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1077;;27;13;;;;;;;;;1077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1078;;28;13;;;;;;;;;1078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1079;;29;13;;;;;;;;;1079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1080;;30;13;;;;;;;;;1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1081;;31;13;;;;;;;;;1081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1082;;32;13;;;;;;;;;1082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1083;;33;13;;;;;;;;;1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1084;;34;13;;;;;;;;;1084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1085;;35;13;;;;;;;;;1085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1086;;36;13;;;;;;;;;1086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1087;;37;13;;;;;;;;;1087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1088;;38;13;;;;;;;;;1088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1089;;39;13;;;;;;;;;1089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1090;;40;13;;;;;;;;;1090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1091;;41;13;;;;;;;;;1091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1092;;42;13;;;;;;;;;1092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1093;;43;13;;;;;;;;;1093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1094;;44;13;;;;;;;;;1094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1095;;45;13;;;;;;;;;1095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1096;;46;13;;;;;;;;;1096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1097;;47;13;;;;;;;;;1097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1098;;48;13;;;;;;;;;1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1099;;49;13;;;;;;;;;1099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;;50;13;;;;;;;;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101;;51;13;;;;;;;;;1101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
