Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2240249;1;Bougie ronde Ø8cm 23h noir;30,27,67,65;4,17;1;;0;;;;;2240249;;;;3023672402498;;0;;;;;50;1;;;;;;<p>Comme un clin d’œil à l’indémodable « petite robe noire », aucune faute de goût avec la <strong>bougie ronde noire</strong>. Une fois trouvée sa place de prédilection dans votre maison, cette <strong>bougie décorative</strong> aux courbes harmonieuses prêtera sa rondeur pour une déco tout en douceur.  <br/><br/> Cette <strong>bougie noire</strong> joue la carte du chic et de la distinction. Teinte somptueuse, le noir de cette <strong>bougie ronde</strong> conférera à votre intérieur sa touche de modernité. Rehaussez cette <strong>bougie boule</strong> avec une pointe de couleur et personnalisez votre style en restant ultra tendance. <br/><br/> Allumée, cette <strong>bougie déco</strong> sera du plus bel effet. Cette <strong>bougie noire</strong> se dote d’une combustion longue durée pour enchanter toutes vos soirées d’une ambiance cosy et tamisée. <br/><br/> Cultivez l’élégance, et associez cette <strong>bougie ronde noire</strong> à une <a href="/67-bougies-d-ambiance" >bougie d’ambiance colorée</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm noir;Bougie décorative ronde Ø8cm noir;Comme un clin d’œil à la petite robe noire, aucune faute de goût avec la bougie ronde noire. Cette bougie noire joue la carte du chic pour apporter une touche de modernité.;bougie-ronde-8cm-23h-noir;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240249_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240201;1;Bougie rondeØ8cm 23h blanc;30,27,67,65;4,17;1;;0;;;;;2240201;;;;3023672402016;;0;;;;;50;1;;;;;;<p>Des soirées éclatantes avec cette <strong>bougie ronde blanche</strong>. Intégrée à votre mobilier, cette <strong>bougie décorative</strong> dévoile en douceur ses courbes harmonieuses. <br/><br/> D’un blanc immaculé, cette <strong>bougie boule</strong> promet une belle source de luminosité dans votre pièce. Parce que classique, la teinte de la <strong>bougie blanche</strong> se nourrira de tous les styles pour devenir l’accessoire indispensable d’une décoration tout en finesse. <br/><br/> Allumée, cette <strong>bougie déco</strong> se révèle. Dotée d’une combustion longue durée, cette <strong>bougie ronde</strong> accompagne toutes vos soirées d’une ambiance douce et voilée. <br/><br/> Pour parfaire l’ensemble, joignez cette <strong>bougie ronde blanche</strong> à une <a href="/67-bougies-d-ambiance" >bougie d’ambiance colorée</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm blanc;Bougie décorative ronde Ø8cm blanc;D’un blanc immaculé, cette bougie boule vous promet une belle source de luminosité. Cette bougie blanche devient l’accessoire indispensable d’une décoration élégante.;bougie-ronde-8cm-23h-blanc;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240201_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240202;1;Bougie ronde Ø8cm 23h ivoire;30,27,67,65;4,17;1;;0;;;;;2240202;;;;3023672402023;;0;;;;;50;1;;;;;;<p>Pour une soirée placée sous le signe du recueillement ou de la médiation, redécouvrez la traditionnelle <strong>bougie ronde ivoire</strong>. Au centre d’une table basse, cette <strong>bougie décorative</strong> à la ligne harmonieuse vous prodiguera apaisement et sérénité. <br/><br/> Adoucie d’une once de crème, l’ivoire de cette <strong>bougie boule</strong> se révèle lumineux, en toute sobriété. L’avantage de la <strong>bougie ivoire</strong> intemporelle est de s’harmoniser à tous les styles ce qui est un atout en décoration. <br/> <br/> Ornée de sa flamme, la <strong>bougie déco</strong> prend toute sa mesure, et la combustion longue durée de cette <strong>bougie ronde</strong> illumine vos nuits jusqu’au petit matin. <br/><br/> Pour vous accompagner au plus près, placez cette <strong>bougie ronde ivoire</strong> sous une <a href="/2452455-cloche-parfumeur-verre-20cm" >cloche en verre</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm ivoire;Bougie décorative ronde Ø8cm ivoire;Adoucie d’une once de crème, l’ivoire de cette bougie ronde se révèle sobre et lumineux. Intemporelle, cette bougie ivoire s’harmonise à toutes les décorations.;bougie-ronde-8cm-23h-ivoire;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240202_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240214;1;Bougie ronde Ø8cm 23h taupe;30,27,67,65;4,17;1;;0;;;;;2240214;;;;3023672402146;;0;;;;;50;1;;;;;;<p>Comme un petit animal lové sur lui-même, la <strong>bougie ronde taupe</strong> inspire immédiatement chaleur et douceur. Nichée sur une étagère, cette <strong>bougie décorative</strong> saura séduire par ses rondeurs attirantes. <br/><br/> De ses origines naturelles, la tonalité de la <strong>bougie taupe</strong> nous restitue une sensation de confort, de retour aux sources, de plaisir d’être chez soi. Un effet que cette <strong>bougies ronde</strong> doit à ces subtiles nuances terreuses. <br/> <br/> .Allumée, cette <strong>bougie déco</strong> vous accompagnera le temps d’un dîner, d’un film, ou d’un roman. Grâce à sa combustion longue durée, la <strong>bougie ronde</strong> suspend presque le temps. <br/><br/> Pour un résultat cocooning, accordez cette <strong>bougie boule</strong> aux <a href="/2240201-bougie-ronde-8cm-23h-blanc" >bougies rondes blanches</a> et <a href="/2230502-bougie-cylindrique-50h-ivoire" >bougies cylindriques ivoires</a>, et accessoirisez votre salon de coussins en fausse fourrure et de plaids en maille. <br/><br/> </p>;;Bougie décorative ronde Ø8cm taupe;Bougie décorative ronde Ø8cm taupe;La bougie ronde taupe inspire chaleur et douceur. Nichée sur une étagère, cette bougie décorative saura séduire par ses rondeurs attirantes. ;bougie-ronde-8cm-23h-taupe;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240214_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240231;1;Bougie ronde Ø8cm 23h orange corail;30,27,67,65;4,17;1;;0;;;;;2240231;;;;3023672402313;;0;;;;;50;1;;;;;;<p>C’est tantôt à un bijou, tantôt à un bonbon, que nous fait penser la <strong>bougie ronde orange corail</strong>. Posée pas loin du sachet de confiseries, ou éclairant une coiffeuse, cette <strong>bougie décorative</strong>, à la rondeur parfaite, devient un accessoire idéal. <br/><br/> S’inspirant de la densité des couleurs d’un récif corallien, cette <strong>bougie boule</strong> agrémentera de touches stimulantes tout votre habitat. Secret bien préservé, la couleur unique de la <strong>bougie orange corail</strong> protègerait son possesseur, calmerait les émotions et rétablirait la paix intérieure. <br/> <br/> Si vous l’allumez, l’effet de cette <strong>bougie déco</strong> n’en sera que plus assuré. Profitez de la <strong>bougie ronde</strong> et de sa combustion longue durée pour des soirées toujours plus intenses. <br/><br/> Et vous trouverez de quoi mettre la <strong>bougie ronde orange corail</strong> encore plus en valeur avec toute notre gamme de <a href="/67-bougies-d-ambiance" >bougies d’ambiance colorées</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm orange corail;Bougie décorative ronde Ø8cm orange corail;C’est tantôt à un bijou, tantôt à un bonbon, que nous fait penser la bougie ronde orange corail. Si vous l’allumez, l’effet de cette bougie déco n’en sera que plus assuré.;bougie-ronde-8cm-23h-orange-corail;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240231_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240284;1;Bougie ronde Ø8cm 23h vert anis;30,27,67,65;4,17;1;;0;;;;;2240284;;;;3023672402849;;0;;;;;50;1;;;;;;<p>Tout droit sortie d’un rayon pop-acidulé des années 60, la <strong>bougie ronde vert anis</strong> assume son côté rétro. Mêlée à un mobilier d’une autre époque, cette <strong>bougie décorative</strong> vous offre ses courbes et s’amuse de sa rondeur. <br/><br/> Les <strong>bougies vert anis</strong> rythment votre intérieur de couleurs chantantes, dansantes. Par ces notes de gaité, ces <strong> bougies rondes</strong> donnent envie de passer des moments plein de vie. Et si les couleurs sont dans la nature, et ces <strong>bougies boules</strong> s’en inspirent et vous les livrent à domicile. <br/><br/>Allumée pour une combustion longue durée, la <strong>bougie déco</strong> redouble d’intensité. Vos soirées ne pourront plus se passer de cette <strong>bougie ronde</strong>. <br/><br/> Vous avez dit « pop » ? Alors osez la provision des formes et des couleurs en mixant cette <strong>bougie ronde vert anis</strong> à toutes nos <a href="/67-bougies-d-ambiance" >bougies d’ambiance colorées</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm vert anis;Bougie décorative ronde Ø8cm vert anis;Les bougies vert anis  rythment votre intérieur de couleurs chantantes. Par ces notes de gaité, ces bougies rondes donnent envie de passer des moments plein de vie.;bougie-ronde-8cm-23h-vert-anis;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240284_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240226;1;Bougie ronde Ø8cm 23h turquoise;30,27,67,65;4,17;1;;0;;;;;2240226;;;;3023672402269;;0;;;;;50;1;;;;;;<p>Pour les adeptes de ce pigment d’un bleu-vert unique, voici la <strong>bougie ronde turquoise</strong>. Idéalement placée dans une pièce d’eau, cette <strong>bougie décorative</strong> vous invite à suivre ses formes rondes comme une vague, douces comme une dune. <br/><br/> Avec les <strong>bougies turquoise</strong>, c’est l’évocation d’un lagon des Caraïbes qui s’empare de votre habitat. Surtout lorsque les nuances maritimes, pures et cristallines de ces <strong>bougies rondes</strong> lui donnent un air de maison de vacances. Décoré de ces <strong>bougies boules</strong>, votre intérieur vous assure repos et détente. <br/> <br/> Allumée, le coloris de la <strong>bougie déco</strong> n’en est que plus vibrant. Cette <strong>bougie ronde</strong>, à la combustion longue durée, devient alors complice de vos grandes soirées. <br/><br/> Pour prolonger l’instant vacances, collectionnez formes et couleurs en associant cette <strong>bougie ronde turquoise</strong> à toutes nos <a href="/67-bougies-d-ambiance" >bougies d’ambiance colorées</a>.<.<br/><br/> </p>;;Bougie décorative ronde Ø8cm turquoise;Bougie décorative ronde Ø8cm turquoise;Pour les adeptes de ce pigment d’un bleu-vert unique, voici la bougie ronde turquoise. Décoré de ces bougies boules, votre intérieur vous assure repos et détente.;bougie-ronde-8cm-23h-turquoise;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240226_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240252;1;Bougie ronde Ø8cm 23h gris perle;30,27,67,65;4,17;1;;0;;;;;2240252;;;;3023672402528;;0;;;;;50;1;;;;;;<p>Avec cette <strong>bougie gris perle</strong>, imaginez-vous découvrir une perle de culture géante ! Une fois que votre mobilier lui aura fourni un écrin à sa mesure, cette <strong>bougie décorative</strong> dévoilera sa courbe parfaite, sa finesse de grain, sa teinte toute douce. <br/><br/> Agencées comme un collier, les <strong>bougies gris perle </strong> ponctuent votre séjour de leur éclat. Revêtues d’élégance, ces <strong>bougies rondes</strong> n’ont rien à envier aux perles du Pacifique. La tonalité intemporelle de ces <strong>bougies boules</strong> ne demande qu’à jouer avec des couleurs plus franches pour affirmer votre style et personnaliser votre décoration.<br/> <br/> Surmontée d’une flamme, la <strong>bougie déco</strong> vous offrira de nouveaux reflets. Cette <strong>bougie ronde</strong>, à la combustion longue durée, accompagnera votre quête nocturne d’autres trésors précieux… <br/><br/> Pour préserver la perle rare, placez tout simplement cette <strong>bougie ronde gris perle</strong> sous une magnifique <a href="/2452455-cloche-parfumeur-verre-20cm" >cloche en verre</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm gris perle;Bougie décorative ronde Ø8cm gris perle;Agencées comme un collier, les bougies gris perle ponctuent votre séjour de leur éclat. Revêtues d’élégance, ces bougies rondes n’ont rien à envier aux perles du Pacifique.;bougie-ronde-8cm-23h-gris-perle;;;1;;2013-01-01;1;../import/couleur/colorama/boules/2240252_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240225;1;Bougie ronde Ø8cm 23h violet pensée;30,27,67,65;4,17;1;;0;;;;;2240225;;;;3023672402252;;0;;;;;50;1;;;;;;<p>Tout un bouquet de violette roulé dans une petite boule de cire, c’est la <strong>bougie violet pensée</strong>. Tels des petits cailloux doux et ronds rapportés du jardin, semez cette <strong>bougie décorative</strong> dans tout votre lieu de vie. <br/><br/> Parce qu’elles sont d’une couleur qui vous ressemble, les <strong>bougies violet pensée</strong> personnalisent votre univers en toute féminité. Fidèles à la coloration d’une fleur de pensée, ces <strong>bougies boules</strong> dévoileront toute la tendresse et le romantisme qui sont en vous. <br/> <br/> Allumée, la teinte de cette <strong>bougie déco</strong> se réchauffe. Dotée d’une combustion longue durée, vous profiterez, avec la <strong>bougie ronde</strong>, de fins de journées cosy et tamisées. <br/><br/> Pour qu’elle vous accompagne tel un trésor dans chacune de vos pièces, placez la <strong>bougie violet pensée</strong> sous une <a href="/2452455-cloche-parfumeur-verre-20cm" >cloche en verre</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm violet pensée;Bougie décorative ronde Ø8cm violet pensée;Tout un bouquet de violette roulé dans une petite boule de cire, c’est la bougie violet pensée. Ces bougies boules dévoileront toute la tendresse qui est en vous.;bougie-ronde-8cm-23h-violet-pensee;;;1;;2014-10-20;1;../import/couleur/colorama/boules/2240225_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2240256;1;Bougie ronde Ø8cm 23h rose pivoine;30,27,67,65;4,17;1;;0;;;;;2240256;;;;3023672402566;;0;;;;;50;1;;;;;;<p>Comme un bouton de fleur à peine éclos, la <strong>bougie rose pivoine</strong> est pleine de promesses. En évidence sur une table basse ou un buffet, les courbes harmonieuses de cette <strong>bougie décorative</strong> sont un appel à la belle saison. <br/><br/> Avec les <strong>bougies rose pivoine</strong>, vous déambulez dans votre couloir comme dans les allées d’un jardin. Séduites par l’éclat des pétales veloutés d’une fleur de pivoine, toutes les touches roses intenses de ces <strong>bougies rondes</strong> sont autant de clins d’œil pour voir la vie en rose ! <br/> <br/> Quand le jardin s’endort, on allume cette <strong>bougie déco</strong> pour une combustion longue durée. Cette <strong>bougie ronde</strong> vous dévoile alors d’autres trésors lumineux. <br/><br/> Pour une décoration encore plus intense, associez cette <strong>bougie rose pivoine</strong> à nos <a href="/67-bougies-d-ambiance" >bougies d’ambiance colorées</a>.<br/><br/> </p>;;Bougie décorative ronde Ø8cm rose pivoine;Bougie décorative ronde Ø8cm rose pivoine;Comme un bouton de fleur, la bougie rose pivoine est pleine de promesses. En évidence sur une table basse, cette bougie décorative est un appel à la belle saison. ;bougie-ronde-8cm-23h-rose-pivoine;;;1;;2014-10-20;1;../import/couleur/colorama/boules/2240256_1.jpg;0;Hauteur : 80, Diamètre : 80, Poids : 210, Durée de combustion : +/- 23, Tranche de combustion : 15 à 25 heures, Type de produit : Bougies rondes, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
