Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2390020;1;Coffret bougie parfumée 50h ambre rare;12,11,41,45,31,32;24,17;1;;0;;;;;2390020;;;;3023673900207;;0;;;;;50;1;;;;;;<p>Dans la signature d’un parfum floriental, le sillage du <strong>coffret bougie parfumée ambre rare</strong> vous offrira un voyage olfactif à travers les continents. Révélant les secrets d’une fragrance envoûtante, cette <strong>bougie parfumée</strong> vous dévoilera les effluves dorés d’un bijou millénaire. Présentée dans un coffret aux motifs floraux raffinés, cette <strong>bougie senteur ambre</strong> est un cadeau parfumé intemporel prêt à offrir. <br/><br/> Porté par des notes de tête aromatiques, la fragrance de cette <strong>bougie en verre</strong> s’approfondit dans une harmonieuse alliance aux accents floraux et boisés. Dans un fond ambré, la senteur de cette <strong>bougie florientale</strong> se fait chaude, précieuse et sensuelle  et confère à votre pièce une ambiance voluptueuse et captivante. <br/><br/> Plongez votre intérieur dans des accords ambrés, chauds et sensuels avec toute notre collection de <a href="/45-bougies-orientales" >bougies parfumées orientales</a>. <br/><br/> Bougie fabriquée en France. Parfum de Grasse : Ambre rare. </p>;;Coffret bougie parfumée 50h ambre Quintessence;Coffret bougie parfumée 50h ambre Quintessence;Dans une composition envoûtante, le coffret bougie parfumée ambre sublime un bijou millénaire. Lovée dans son coffret, cette bougie senteur est un cadeau parfumé intemporel.;coffret-bougie-parfumee-50h-ambre-rare;;;1;;2013-01-01;1;../import/charme/quintessence/coffret/2390020_1.jpg,../import/charme/quintessence/coffret/2390020_2.jpg,../import/charme/quintessence/coffret/2390-all_3.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Quintessence, Famille olfactive : Orientale, Parfum : Ambre rare;0;;0;0;0;0;0;1
2387325;1;Coffret bougie parfumée 45h Cologne ambrée;13,11,41,45,48;24,92;1;;0;;;;;2387325;;;;3023673873259;;0;;;;;50;1;;;;;;<p>Dans un hommage olfactif dédié à la traditionnelle eau de Cologne, le <strong>coffret bougie parfumée Cologne ambrée</strong> traverse les siècles… Présentée dans un coffret pastel aux charmes d’antan, cette <strong>bougie senteur eau de Cologne</strong> deviendra le cadeau rétro idéal. <br/><br/>Porté par la tonicité de ses accords hespéridés, cette <strong>bougie en verre côtelé</strong> laisse échapper des notes pétillantes qui ravivent les sens. Dans une envolée de notes de lavande, cette <strong>bougie parfumée</strong> dévoile l’eau de Cologne, plus élégante que jamais. Ce grand classique de la parfumerie s’enroule en bouquet aromatique… Pour vous offrir une<strong> bougie au parfum intemporel</strong>. <br/><br/>Vous recherchez le cadeau idéal pour son anniversaire ou toute autre occasion spéciale ? Découvrez toute notre sélection de <a href="/32-cadeaux-pour-elle" >cadeaux parfumés pour elle<a>. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Cologne ambrée. </p>;;Coffret bougie parfumée 45h Cologne ambrée Boudoir;Coffret bougie parfumée 45h Cologne ambrée Boudoir;Dans un hommage dédié à l’eau de Cologne, le coffret bougie parfumée Cologne ambrée traverse les siècles. Ce grand classique de la parfumerie devient une bougie au parfum intemporel.;coffret-bougie-parfumee-45h-cologne-ambree;;;1;;2013-01-01;1;../import/charme/boudoir/bougie/2387325_1.jpg,../import/charme/boudoir/bougie/2387325_2.jpg,../import/charme/boudoir/bougie/2387-all_3.jpg,../import/charme/boudoir/bougie/2387-all_4.jpg,../import/charme/boudoir/bougie/2387325_5.jpg,../import/charme/boudoir/couvercle/2387325_6.jpg;0;Hauteur : 85, Diamètre : 72, Poids : 205, Durée de combustion : +/- 45, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Boudoir, Famille olfactive : Orientale, Parfum : Cologne ambréé;0;;0;0;0;0;0;1
2423050;1;Coffret bougie parfumée 50h armoire des lingères;18,17,41,43;20,83;1;;0;;;;;2423050;;;;3023674230501;;0;;;;;50;1;;;;;;<p>Evoquant la douceur d’un parfum d’antan, le <strong>coffret bougie parfumée armoire des lingères</strong> sera l’idée cadeau idéale des adeptes de la déco rétro. Présentée dans un <strong>coffret vintage</strong>, cette <strong>bougie parfumée</strong> vous fera revivre ces précieux instants dans lesquels votre grand-mère étendait son linge au soleil, pour le ranger dans sa grande armoire en bois parfumée de lavande séchée. <br/><br/>S’ouvrant sur la douceur de ses notes florales et des accords aldéhydés, la fragrance de cette <strong>bougie rétro</strong> devient complexe. Doucement, la senteur de cette <strong>bougie originale</strong> se pose sur la chaleur de notes boisées et épicées… Révélant le sillage d’un linge tout juste lavé. <br/><br/>Parfums authentiques et senteurs de traditions… Découvrez toute notre collection de <a href="/18-comptoir-des-ciriers" >bougies parfumées Comptoir des ciriers</a>. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Armoire des lingères. </p>;;Coffret bougie parfumée 50h armoire des lingères;Coffret bougie parfumée 50h armoire des lingères;Evoquant la douceur d’un parfum d’antan, le coffret bougie parfumée armoire des lingères sera l’idée cadeau idéale des adeptes de la déco rétro.;coffret-bougie-parfumee-50h-armoire-des-lingeres;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/coffret/2423050_1.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423050_2.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423-all_3.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423050_4.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Florale, Parfum : Armoire des lingères;0;;0;0;0;0;0;1
2425650;1;Bougie parfumée vintage 40h armoire des lingères;18,17,41,43;13,33;1;;0;;;;;2425650;;;;3023674256501;;0;;;;;50;1;;;;;;<p>La <strong>bougie parfumée vintage armoire des lingères</strong> vous transporte dans le passé à la recherche de souvenirs égarés. Vêtue d’une étiquette à l’ancienne et d’un couvercle en acier galvanisé cette<strong> bougie originale</strong> se pare d’un design rétro. Avec cette <strong>bougie vintage</strong>, revivez ces instants de tranquillité où vous observiez votre grand-mère étendre son linge au soleil, pour ensuite le ranger dans son armoire en bois accompagné de lavande séchée. <br/><br/> La fragrance de cette <strong>bougie parfumée</strong> s’ouvre sur l’alliance de notes florales et aldhéydées. Peu à peu, le parfum de cette <strong>bougie rétro</strong> se réchauffe sur des notes boisées et épicées… Rappelant la senteur du linge propre d’antan. <br/><br/>Vous aimez les bougies aux senteurs rétro ? Découvrez toute la collection de <a href="/18-comptoir-des-ciriers " >bougies parfumées Comptoir des ciriers</a>. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Armoire des lingères. </p>;;Bougie parfumée 40h armoire des lingères;Bougie parfumée 40h armoire des lingères;Rappelant la senteur du linge propre d’antan, la bougie parfumée vintage armoire des lingères vous transporte dans le passé. Cette bougie originale se pare d’un design rétro pour encore plus de charme.;bougie-parfumee-vintage-40h-armoire-des-lingeres;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/bougie-couvercle/2425650_1.jpg;0;Hauteur : 83, Diamètre : 73, Poids : 166, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Florale, Parfum : Armoire des lingères;0;;0;0;0;0;0;1
2423030;1;Coffret bougie parfumée 50h baume des selliers;18,17,41,49;20,83;1;;0;;;;;2423030;;;;3023674230303;;0;;;;;50;1;;;;;;<p>Dans une époque rythmée par le bruit des fers des chevaux foulant les pavés de la sellerie du village, le <strong>coffret bougie parfumée baume des selliers</strong> vous transporte aux origines d’un métier oublié. Présentée dans son <strong>coffret vintage</strong>, cette <strong>bougie parfumée</strong> sera le cadeau déco idéal des adeptes de la tendance rétro. <br/><br/> Avec cette <strong>bougie originale</strong>, entrez dans un atelier de sellier et découvrez un joyeux bric-à-brac où règnent une abondance de pièces en cuir et d’outils. Dominé par des accords cuirés, le sillage de cette <strong>bougie en verre</strong> signe le parfum unique d’un cuir travaillé avec passion. <br/><br/>Pour un cadeau original, découvrez toutes les senteurs exclusives de nos <a href="/17-authentique" >bougies parfumées Authentiques</a>.<br/><br/>Bougie fabriquée en France. Parfum de Grasse : Baume des selliers. </p>;;Coffret bougie parfumée 50h baume des selliers;Coffret bougie parfumée 50h baume des selliers;Le coffret bougie parfumée baume des selliers vous transporte aux origines d’un métier oublié. Présentée dans son coffret vintage, cette bougie parfumée sera le cadeau déco idéal des adeptes de la tendance rétro.;coffret-bougie-parfumee-50h-baume-des-selliers;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/coffret/2423030_1.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423030_2.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423-all_3.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423030_4.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Epicée, Parfum : Baume des selliers;0;;0;0;0;0;0;1
2425630;1;Bougie parfumée vintage 40h baume des selliers;18,17,41,49;13,33;1;;0;;;;;2425630;;;;3023674256303;;0;;;;;50;1;;;;;;<p>Tel un petit objet de collection, la <strong>bougie parfumée vintage baume des selliers</strong> dévoile dans ses effluves une histoire du passé. Habillée d’une étiquette à l’ancienne et d’un couvercle en acier galvanisé, cette <strong>bougie rétro</strong> vous transporte aux origines d’un métier oublié.<br/><br/>Dans un éloge aux matières nobles, cette <strong>bougie senteur cuir</strong> vous transporte dans une sellerie d’antan. Entrez dans cet atelier et découvrez un joyeux bric-à-brac où règnent pièces en cuir et outil. Dans un sillage complexe de notes hespéridées, rosées, épicées et boisées, la fragrance de cette <strong>bougie parfumée </strong> évoque l’odeur d’un cuir travaillé avec passion.<br/><br/>Découvrez toute notre collection de épicées <a href="/49-bougies-epicees" >bougies parfumées épicées</a> et évadez-vous à travers un voyage olfactif unique. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Baume des selliers. </p>;;Bougie parfumée vintage 40h baume des selliers;Bougie parfumée vintage 40h baume des selliers;Tel un petit objet de collection, la bougie parfumée vintage baume des selliers dévoile une histoire du passé. Dans un éloge aux matières nobles, cette bougie senteur cuir vous transporte dans une sellerie d’antan.;bougie-parfumee-vintage-40h-baume-des-selliers;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/bougie-couvercle/2425630_1.jpg;0;Hauteur : 83, Diamètre : 73, Poids : 166, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Epicée, Parfum : Baume des selliers;0;;0;0;0;0;0;1
2423020;1;Coffret bougie parfumée 50h cire des antiquaires;18,17,41,46,31,33;20,83;1;;0;;;;;2423020;;;;3023674230204;;0;;;;;50;1;;;;;;<p>S’inspirant d’une époque oubliée, le <strong>coffret bougie parfumée cire des antiquaires</strong> libère les charmes du passé. Présentée dans un <strong>coffret vintage</strong>, cette <strong>bougie rétro</strong> éveille la nostalgie d’une émotion olfactive retrouvée. Allumez la flamme et évadez-vous dans le souvenir d’une maison de famille. Chargé d’histoire, le parfum de cette <strong>bougie en verre</strong> dévoile les secrets des meubles anciens.<br/><br/>S’ouvrant sur la tonicité de ses notes d’orange et de miel, les premiers accords de cette <strong>bougie parfumée</strong> laissent place à un cœur subtilement boisé… Pour finir sur de somptueux accents miellés. Libérant le sillage cireux, doux et sucré d’une cire traditionnelle, cette <strong>bougie senteur miel</strong> évoque la parfum de meubles fraîchement cirés…<br/><br/> Libérez vos émotions avec toute notre collection de bougies parfumées régressives <a href="/46-bougies-regressives" >bougies parfumées Comptoir des ciriers</a>. Bougie fabriquée en France. Parfum de Grasse : Cire des antiquaires. </p>;;Coffret bougie parfumée 50h cire des antiquaires;Coffret bougie parfumée 50h cire des antiquaires;Le coffret bougie parfumée cire des antiquaires libère les charmes du passé. Présentée dans un coffret vintage, cette bougie rétro éveille la nostalgie d’une émotion olfactive retrouvée. ;coffret-bougie-parfumee-50h-cire-des-antiquaires;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/coffret/2423020_1.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423020_2.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423-all_3.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423020_4.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Régressive, Parfum : Cire des antiquaires;0;;0;0;0;0;0;1
2425620;1;Bougie parfumée vintage 40h cire des antiquaires;18,17,41,46,31,33;13,33;1;;0;;;;;2425620;;;;3023674256204;;0;;;;;50;1;;;;;;<p>Sous ses airs franchement rétro, la <strong>bougie parfumée vintage cire des antiquaires</strong> vous plonge dans les effluves de votre passé. Habillée d’une étiquette à l’ancienne, cette <strong>bougie décorative</strong> trouve toute son originalité dans son couvercle en acier galvanisé. Semblant sortir d’une brocante, cette <strong>bougie vintage</strong> ajoutera une touche rétro dans votre déco.<br/><br/>Construit autour de la cire d’abeille, le sillage de cette <strong>bougie parfumée</strong> diffuse des notes hespéridées et miellées. Cette <strong>bougie originale</strong> dévoile la chaleur d’un cœur boisé, aux subtiles notes de miel… Pour se déposer dans un fond cireux aux accents tout aussi miellés. Evoquant le parfum emblématique de la cire utilisée par les antiquaires d’antan, cette <strong>bougie senteur</strong> masque à merveille les éraflures du temps…<br/><br/> Découvrez toute notre sélection de <a href="/46-bougies-regressives" >bougies parfumées régressives</a>. Une senteur de tradition ou un parfum de gourmandise ? C’est à vous de choisir !<br/><br/>Bougie fabriquée en France. Parfum de Grasse : Cire des antiquaires.</p>;;Bougie parfumée vintage 40h cire des antiquaires;Bougie parfumée vintage 40h cire des antiquaires;La bougie parfumée vintage cire des antiquaires vous plonge dans les senteurs de votre passé. Semblant sortir d’une brocante, cette bougie vintage ajoutera une touche rétro dans votre déco.;bougie-parfumee-vintage-40h-cire-des-antiquaires;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/bougie-couvercle/2425620_1.jpg;0;Hauteur : 83, Diamètre : 73, Poids : 166, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Régressive, Parfum : Cire des antiquaires;0;;0;0;0;0;0;1
2423040;1;Coffret bougie parfumée 50h colle des écoliers;18,17,41,46,31,32,33;20,83;1;;0;;;;;2423040;;;;3023674230402;;0;;;;;50;1;;;;;;<p>Le <strong>coffret bougie parfumée colle des écoliers</strong> vous fera remonter le temps pour vous poser sur les bancs de votre première école. Idéale à offrir dans son <strong>coffret vintage</strong>, cette <strong>bougie parfumée</strong> révèle le sillage inoubliable du petit pot de colle blanche de votre enfance.<br/><br/> Dans une envolée de notes d’amandes, cette <strong>bougie senteur</strong> dévoile un parfum d’une extrême douceur. Glissant sur le velouté d’un cœur floral, la fragrance de cette <strong>bougie d’ambiance</strong> se pare d’accents de violette. Sublimée par un fond aromatique, cette <strong>bougie rétro</strong> vous faire revivre le plaisir de renifler naïvement la fameuse colle des écoliers. <br/><br/> Comme un parfum de souvenirs… Découvrez aussi toute notre collection de <a href="/46-bougies-regressives" >bougies parfumées régressives</a>. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Colle des écoliers. </p>;;Coffret bougie parfumée 50h colle des écoliers;Coffret bougie parfumée 50h colle des écoliers;Idéale à offrir dans son coffret vintage, cette bougie parfumée révèle une senteur inoubliable de l’enfance. Cette bougie rétro vous faire revivre le plaisir de renifler la fameuse colle des écoliers.;coffret-bougie-parfumee-50h-colle-des-ecoliers;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/coffret/2423040_1.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423040_2.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423-all_3.jpg,../import/authentique/comptoir-des-ciriers/coffret/2423040_4.jpg;0;Hauteur : 100, Diamètre : 90, Poids : 220, Durée de combustion : +/- 50, Tranche de combustion : 45 à 55 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Régressive, Parfum : Colle des écoliers;0;;0;0;0;0;0;1
2425640;1;Bougie parfumée vintage 40h colle des écoliers;18,17,41,46,31,32,33;13,33;1;;0;;;;;2425640;;;;3023674256402;;0;;;;;50;1;;;;;;<p>Tel un petit trésor chiné dans une brocante, la <strong>bougie parfumée vintage colle des écoliers</strong> vous offrira un voyage régressif à travers les années. Réinterprétant le packaging du petit de pot de colle blanche de vos parents, cette <strong>bougie vintage</strong> vous plongera sur les bancs de l’école. Retirez le couvercle en acier galvanisé et découvrez cette <strong>bougie senteur colle</strong>. <br/><br/>Portée par la douceur de ses notes d’amande, cette <strong>bougie parfumée</strong> dévoile une odeur gourmande. Le velouté d’un cœur floral sublime cette <strong>bougie originale</strong>. Une note aromatique conclut la fragrance de cette <strong>bougie rétro</strong>. Entre les rires complices avec vos amis d’enfance, les cris d’écoliers, les jeux des cours de récré… Renifler cette petite colle est un vrai concentré de gaieté ! <br/><br/>Parfums originaux, senteurs régressives, fragrances de tradition… Découvrez toute notre collection de <a href="/18-comptoir-des-ciriers" >bougies parfumées Comptoir des ciriers.</a>. <br/><br/>Bougie fabriquée en France. Parfum de Grasse : Colle des écoliers. </p>;;Bougie parfumée vintage 40h colle des écoliers;Bougie parfumée vintage 40h colle des écoliers;Réinterprétant le petit de pot de colle blanche de votre enfance, cette bougie vintage vous plongera sur les bancs de l’école. Retirez le couvercle et découvrez cette bougie senteur colle.;bougie-parfumee-vintage-40h-colle-des-ecoliers;;;1;;2013-01-01;1;../import/authentique/comptoir-des-ciriers/bougie-couvercle/2425640_1.jpg;0;Hauteur : 83, Diamètre : 73, Poids : 166, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Type de produit : Bougies parfumées, Collection : Comptoir des ciriers, Famille olfactive : Régressive, Parfum : Colle des écoliers;0;;0;0;0;0;0;1
