Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2202002;1;Coffret 12 bougies classiques 7h ivoire;30,27,66,65,34,36;15,5;1;;0;;;;;2202002;;;;3023672020029;;0;;;;;20;1;;;;;;<p>Faites resplendir vos nuits, grâce à ce <strong>coffret de 12 bougies classiques ivoire</strong> qui vous assure d’une ambiance lumineuse et pure. Allumez la flamme et vivez aussi des moments intimistes et feutrés. Teintées masse, ces <strong>bougies cylindriques</strong> redessinent l’espace. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies ivoires</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour une ambiance sans faute de goût, associez ces <strong>bougies classiques blanches</strong> à notre <a href="/2588600-set-de-3-bougeoirs-verre-strie-32-37-et-41cm" >ensemble de 3 bougeoirs en verre strié</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h ivoire ;Coffret 12 bougies classiques 7h ivoire ;Faites resplendir vos nuits, grâce à ce coffret de 12 bougies classiques ivoire. Allumez la flamme et vivez aussi des moments intimistes et feutrés. ;bougies-classiques-7h-ivoire;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202002_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202001;1;Coffret 12 bougies classiques 7h blanc;30,27,66,65,34,36;15,5;1;;0;;;;;2202001;;;;3023672020012;;0;;;;;20;1;;;;;;<p>Dernière touche à ce déjeuner de baptême, ce <strong>coffret de 12 bougies classiques blanches</strong> est l’accessoire classique et sobre incontournable. Teintées masse, ces <strong>bougies cylindriques</strong> diffusent leur lumière sur les visages heureux de vos convives. D’un blanc éclatant, vous trouverez plein d’occasions de ressortir ces <strong>bougies longues</strong>. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies blanches</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure. <br/> <br/>Pour un effet graphique, associez ces <strong>bougies classiques blanches</strong> à nos <a href="/2202049-bougies-classiques-7h-noir" >bougies classiques noires</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h blanc ;Coffret 12 bougies classiques 7h blanc ;Dernière touche à ce déjeuner de baptême, ce coffret de 12 bougies classiques blanches est l’accessoire incontournable. D’un blanc éclatant, toutes les occasions sont bonnes pour ressortir ces bougies longues.;bougies-classiques-7h-blanc;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202001_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202004;1;Coffret 12 bougies classiques 7h lin ;30,27,66,65;15,5;1;;0;;;;;2202004;;;;3023672020043;;0;;;;;20;1;;;;;;<p>Ce <strong>coffret de 12 bougies classiques lin</strong> est gage de simplicité. Reflets feutrés, douces lueurs, tonalités naturelles, ces <strong>bougies cylindriques</strong> teintées masse créent une atmosphère légèrement colorée qui s’intègre à toutes les décorations. Apposées en petites touches, ces <strong>bougies longues</strong> créeront un climat cosy prometteur de détente. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies lin</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour allier le naturel au raffinement, associez ces <strong>bougies classiques lin</strong> à nos plus belles <a href="/74-petites-verreries" >verreries</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h lin;Coffret 12 bougies classiques 7h lin;Reflets feutrés, douces lueurs, tonalités naturelles, ces bougies classiques créent une atmosphère légèrement colorée qui s’intègre à toutes les décorations. ;bougies-classiques-7h-lin;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202004_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202014;1;Coffret 12 bougies classiques 7h taupe ;30,27,66,65;15,5;1;;0;;;;;2202014;;;;3023672020142;;0;;;;;20;1;;;;;;<p>Le <strong>coffret de 12 bougies classiques taupe</strong> répond parfaitement à votre désir de repos et de confort. Créant un aspect velours aux tonalités naturelles, intemporelles et douces, ces <strong>bougies longues</strong> vous offrent de subtiles nuances terreuses. Teintées masse, ces <strong>bougies cylindriques</strong> invitent à imaginer une nouvelle déco d’automne. <br/> <br/> <strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies taupe</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour une pointe de transparence, associez ces <strong>bougies classiques taupe</strong> à nos plus belles <a href="/74-petites-verreries" >verreries</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h taupe;Coffret 12 bougies classiques 7h taupe;Créant un aspect velours aux tonalités naturelles, intemporelles et douces, ces bougies classiques taupe vous invitent à imaginer une nouvelle déco d’automne. ;bougies-classiques-7h-taupe;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202014_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202081;1;Coffret 12 bougies classiques 7h bordeaux;30,27,66,65;15,5;1;;0;;;;;2202081;;;;3023672020814;;0;;;;;20;1;;;;;;<p>Telle la robe d’un grand vin, découvrez et appréciez le <strong>coffret de 12 bougies classiques bordeaux</strong>. Teintées masse, ces <strong>bougies cylindriques</strong> adoptent un coloris intense et profond. Pensez à la touche moderne de vos soirées festives ou romantiques, et apposez avec parcimonie ces <strong>bougies longues</strong> sur une table désormais toujours chic et élégante. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies cylindriques</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Inspirées d’une délicate nature morte, associez ces <strong>bougies classiques bordeaux</strong> à notre <a href="/fr/2588600-set-de-3-bougeoirs-verre-strie-32-37-et-41cm" >ensemble de 3 bougeoirs en verre strié</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h bordeaux;Coffret 12 bougies classiques 7h bordeaux;Telle la robe d’un grand vin, découvrez et appréciez le coffret de 12 bougies classiques bordeaux. Apposez avec parcimonie ces bougies longues sur une table chic et élégante. ;bougies-classiques-7h-bordeaux;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202081_1.jpg,../import/couleur/colorama/ambiance/2202056_2202081_2202044_2202025.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202026;1;Coffret 12 bougies classiques 7h turquoise;30,27,66,65;15,5;1;;0;;;;;2202026;;;;3023672020265;;0;;;;;20;1;;;;;;<p>Avec le <strong>coffret de 12 bougies classiques turquoise</strong>, imaginez une soirée qui se termine sur la plage. Tout droit sorties des eaux pures et cristallines d’une mer des tropiques, ces <strong>bougies longues</strong> rafraîchissent votre intérieur d’une petite brume marine. Teintées masse, ces <strong>bougies cylindriques</strong> vous rappelleront toute l’année les couleurs de l’été. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies turquoise</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour prolonger l’effet vacances, associez ces <strong>bougies classiques turquoise</strong> à nos <a href="/2202088-bougies-classiques-7h-bleu-caraïbes " >bougies bleu Caraïbes </a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h turquoise;Coffret 12 bougies classiques 7h turquoise;Avec le coffret de 12 bougies classiques turquoise, imaginez une soirée qui se termine sur la plage. Ces bougies longues vous rappelleront toute l’année les couleurs de l’été. ;bougies-classiques-7h-turquoise;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202026_1.jpg,../import/couleur/colorama/ambiance/2202027_2202026_2202024_2202060.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202052;1;Coffret 12 bougies classiques 7h gris perle;30,27,66,65;15,5;1;;0;;;;;2202052;;;;3023672020524;;0;;;;;20;1;;;;;;<p>Réception familiale ou soirée girly, comptez sur ce <strong>coffret de 12 bougies classiques gris perle</strong> pour parfaire l’éclat de votre table. Teintées masse, ces <strong>bougies cylindriques</strong> adoptent un coloris élégant et très contemporain. Libre à vous d’associez ces <strong>bougies longues</strong> à vos goûts du moment ou en suivant la tendance déco dernier cri.<br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies gris perle</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/> Pour une présentation toujours impeccable, associez ces <strong>bougies classiques gris perle</strong> à notre <a href="/2588600-set-de-3-bougeoirs-verre-strie-32-37-et-41cm" >ensemble de 3 bougeoirs en verre strié</a>.<br/> <br/> Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h gris perle;Coffret 12 bougies classiques 7h gris perle;Comptez sur ce coffret de 12 bougies classiques gris perle pour parfaire l’éclat de votre table. Libre à vous d’associez ces bougies longues à vos goûts ou en suivant les dernières tendances.;bougies-classiques-7h-gris-perle;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202052_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202049;1;Coffret 12 bougies classiques 7h noir;30,27,66,65;15,5;1;;0;;;;;2202049;;;;3023672020494;;0;;;;;20;1;;;;;;<p>Le <strong>coffret de 12 bougies classiques noires</strong> joue la carte du chic et choc. Avec ces <strong>bougies cylindriques</strong> teintées masse, misez le tout sur le noir. Au coloris intemporel donc toujours moderne, ces <strong>bougies longues</strong> apporteront une touche hyper graphique à votre intérieur. Amusez-vous avec quelques détails colorés autour de ces <strong>bougies classiques</strong>, elles n’en seront que plus mises en valeur. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies noires</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Jouez l’effet reflet, et associez ces <strong>bougies classiques noires</strong> à nos plus belles <a href="/74-petites-verreries" >verreries</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h noir;Coffret 12 bougies classiques 7h noir;Avec ces bougies classiques teintées masse, misez le tout sur le noir. Au coloris intemporel, ces bougies longues apporteront une touche graphique à votre intérieur. ;bougies-classiques-7h-noir;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202049_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202041;1;Coffret 12 bougies classiques 7h lilas;30,27,66,65;15,5;1;;0;;;;;2202041;;;;3023672020418;;0;;;;;20;1;;;;;;<p>Parce que ce soir vous laissez exprimer votre féminité, ce <strong>coffret de 12 bougies classiques lilas</strong> aura une place de choix au milieu de votre table. Libérant leur lumière douce et reposante, vous plongeant dans une ambiance rafraîchissante, ces <strong>bougies longues</strong> qui rappellent la beauté fragile des fleurs de lilas, ont quelque chose d’attendrissant. Le charme et le romantisme de ces <strong>bougies cylindriques</strong> teintées masse, ne laisseront pas indifférent. <br/> <br/><strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies lilas</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour allier charme et délicatesse, associez ces <strong>bougies lilas</strong> à nos <a href="/2202001-bougies-classiques-7h-blanc" >bougies de tables blanches</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h lilas;Coffret 12 bougies classiques 7h lilas;Libérant leur lumière douce et reposante, vous plongeant dans une ambiance rafraîchissante, ces bougies longues qui rappellent la beauté fragile des fleurs de lilas, ont quelque chose d’attendrissant. ;bougies-classiques-7h-lilas;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202041_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
2202033;1;Coffret 12 bougies classiques 7h violet aubergine;30,27,66,65;15,5;1;;0;;;;;2202033;;;;3023672020333;;0;;;;;20;1;;;;;;<p>Ce <strong>coffret de 12 bougies classiques violet aubergine</strong> semble tout droit sorti d’une cuisine du sud. Elégance naturelle, pointe d’audace et générosité méditerranéenne caractérisent cette couleur aubergine profonde et intense. Teintées masse, ces <strong>bougies cylindriques</strong> vous séduiront immédiatement et mettront sûrement vos papilles en éveil. <br/> <br/> <strong>Fabriquées en France</strong> sur des machines ancestrales, ces <strong>bougies violet aubergine</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous certifient une qualité de brûlage exceptionnelle, assurant une combustion sans risque de coulure.  <br/> <br/>Pour donner du relief à leur couleur, associez ces <strong>bougies aubergine</strong> à toutes nos teintes de <a href="/66-bougies-de-table" >bougies de table colorées</a>.<br/> <br/>Bougies fabriquées en France. </p>;;Coffret 12 bougies classiques 7h violet aubergine;Coffret 12 bougies classiques 7h violet aubergine;Elégance naturelle, pointe d’audace et générosité méditerranéenne… Ces bougies classiques violet aubergine vous séduiront immédiatement et mettront sûrement vos papilles en éveil. ;bougies-classiques-7h-violet-aubergine;;;1;;2013-01-01;1;../import/couleur/colorama/bougiesx4-7h/2202033_1.jpg;0;Hauteur : 200, Diamètre : 22, Poids : 67, Durée de combustion : +/- 7, Tranche de combustion : 1 à 15 heures, Type de produit : Bougies classiques, Collection : Colorama, Famille olfactive : , Parfum : ;0;;0;0;0;0;0;1
