ID produit*;Attribut (Nom:Type:Position)*;Valeur (Valeur:Position)*;Référence fournisseur;Référence;EAN13;UPC;Prix d'achat;Impact sur le prix;Eco taxe;Quantité;Quantité minimale;Impact sur le poids;Valeurs par défaut (0 = Non, 1 = oui);Position de l'image;URL de l'image;Supprimer les images existantes (0 = non, 1 = oui);ID ou nom de la boutique
2204001;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2204002;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2204044;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2204056;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2204041;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2204033;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2204004;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2204014;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2204052;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2204049;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2204008;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2204005;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2204084;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2204090;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2204029;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2204026;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2204087;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2204081;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2100549;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2100501;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2100502;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2100504;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2100514;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2100533;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2100552;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2100529;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2100526;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2100508;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2100505;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2100587;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2100584;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2100590;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2100544;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2100541;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2100556;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2100581;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2202002;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2202001;Couleur:color:0;Blanc:0;;;;;;0;;;;;0;;;0;1
2202004;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2202014;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
2202081;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2202026;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2202052;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2202049;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2202041;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2202033;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2202044;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2202056;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2202008;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2202005;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2202087;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2202086;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202084;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202090;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202029;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2202050;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2202032;Couleur:color:0;Rose:0;;;;;;0;;;;;0;;;0;1
2202025;Couleur:color:0;Violet:0 ;;;;;;0;;;;;0;;;0;1
2202092;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2202093;Couleur:color:0;Violet:0;;;;;;0;;;;;0;;;0;1
2202017;Couleur:color:0;Rose:0 ;;;;;;0;;;;;0;;;0;1
2202083;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2202088;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2202027;Couleur:color:0;Bleu:0;;;;;;0;;;;;0;;;0;1
2202024;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202060;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202089;Couleur:color:0;Vert:0;;;;;;0;;;;;0;;;0;1
2202031;Couleur:color:0;Jaune:0;;;;;;0;;;;;0;;;0;1
2202080;Couleur:color:0;Rouge:0;;;;;;0;;;;;0;;;0;1
2202018;Couleur:color:0;Gris:0;;;;;;0;;;;;0;;;0;1
2202085;Couleur:color:0;Naturel:0;;;;;;0;;;;;0;;;0;1
