Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2510230;1;2 bougies décoratives sapin papier plié 15cm blanc et or;81,78;26,67;1;;0;;;;;2510230;;;;;;0;;;;;0;1;;;;;;<p>A l’approche de Noël, ce duo de <strong>bougies sapin papier plié</strong> dresse un décor féérique. En version dorée ou blanc immaculé, ces <strong>bougies déco</strong> se jouent des matières pour décupler leur intensité !... Les boules de papier alvéolées nous inspirent pour vous offrir un effet papier plié festif et raffiné. Présentées en forêt ou sous une cloche, les <strong>bougies sapin</strong> se dévoilent tel un trésor… Noël sera étincelant ! <br /><br /><strong>Fabriquées à la main</strong>, ces <strong>bougies de Noël</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong>, teintées masse vous offrent une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 40h, sans risque de coulure. <br /> <br />Pour encore plus d’éclat, découvrez toute notre collection de <a href="/81-noel-etincelant">bougies de Noël étincelant</a>. <br /> <br />Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies décoratives sapin papier plié 15cm;2 bougies décoratives sapin papier plié 15cm;Dans un jeu de matières, ces bougies sapin blanc et or s’inspirent des boules de papier alvéolées pour vous offrir un effet papier plié festif et raffiné.;bougies-decorative-sapin-papier-plie-15cm;;;1;;2014-10-31;1;;0;Hauteur : 150, Diamètre : 105, Poids : 370, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510115;1;2 bougies décoratives étoile relief 13cm blanc et or;81,78;24,83;1;;0;;;;;2510115;;;;;;0;;;;;20;1;;;;;;<p>Faites scintiller votre intérieur avec cet ensemble de <strong>bougies décoratives étoile relief blanc et or</strong>. Déposées sur votre table de fêtes, les <strong>bougies étoile</strong> constellent votre décor. Dans un jeux d’angles et de facettes, ces <strong>bougies de Noël</strong> capturent la lumière. Le décor brille de mille feux, l’or se fait précieux, le blanc éclatant… Pour un Noël étincelant ! <br /> <br /> <strong>Fabriquées à la main</strong>, ces <strong>bougies originales</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 20h, sans risque de coulure. <br /> <br /> Pour une décoration de Noël encore plus chatoyante, découvrez aussi les <a href="/2510235-ensemble-de-bougies-rondes-papier-plie-75cm-25h.html">bougies rondes papier plié 25h</a>.<br /><br />Design : Made in France. Bougies artisanales fabriquées à la main.</p>;; 2 bougies décoratives étoile relief 13cm; 2 bougies décoratives étoile relief 13cm;Dans un jeux d’angles et de facettes, ces bougies de étoile blanc et or capturent la lumière. Le décor brille de mille feux, l’or se fait précieux… Pour un Noël étincelant !;bougies-decoratives-etoile-relief-13cm;;;1;;2014-10-31;1;;0;Hauteur : 130, Longueur : 135, Profondeur : 55, Poids : 275, Durée de combustion : +/- 20, Tranche de combustion : 15 à 25 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510245;1;2 bougies décoratives diamant papier plié 8cm blanc et or;81,78,36,34;15,83;1;;0;;;;;2510245;;;;;;0;;;;;0;1;;;;;;<p>Cet ensemble de <strong>bougies diamant</strong> orne votre décor telle une parure de bijoux dorés et blanc pailleté… Aux multiples reflets, ces <strong>bougies diamant papier plié</strong> jouent de leurs angles et facettes pour piéger la lumière. Pour une ambiance festive et raffinée, ces <strong>bougies de Noël</strong> se déposent par petites notes sur votre table à dîner, et dans la décoration de votre salon. Votre espace s’illumine, la féérie s’installe… Noël sera étincelant ! <br /><br /> <strong>Fabriquées à la main</strong>, ces <strong>bougies originales</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 25h, sans risque de coulure. <br /> <br /> Pour plus de féérie, découvrez toute la collection de <a href="/81-noel-etincelant">bougies blanches et dorées Noël étincelant</a>. <br /> <br /> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies décoratives diamant papier plié 8cm;2 bougies décoratives diamant papier plié 8cm;Cet ensemble de bougies diamant se présente sur votre table tel une parure de… Aux multiples reflets, ces bougies diamant papier plié jouent de leurs angles et facettes pour piéger la lumière.;bougies-decoratives-diamant-papier-plie-8cm;;;1;;2014-10-31;1;;0;Hauteur : 55, Diamètre : 80, Poids : 130, Durée de combustion : +/- 25, Tranche de combustion : 25 à 35 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510110;1;2 bougies décoratives étoile papier plié 17cm blanc et or;81,78;41,5;1;;0;;;;;2510110;;;;;;0;;;;;0;1;;;;;;<p>Pour une décoration de fête chic et élégante, l’ensemble de <strong>bougies décoratives étoile papier plié</strong> devient le plus bel atout de votre décor ! Dans un jeu de matières, ces <strong>bougies sculptées</strong> subliment l’art « origami », se parant d’une texture imitant le papier plié sur sa face avant, tandis qu’un effet « cristaux de neige » habille les côtés et le dos. Accumulez les <strong>bougies étoile</strong>, mixez les tailles et les couleurs avec les <a href="/2510115-ensemble-de-bougies-decoratives-etoile-relief-13cm.html" >bougies étoile 13cm</a>… Noël sera scintillant ! <br/><br/><strong>Fabriquées à la main</strong>, ces <strong>bougies originales</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 30h, sans risque de coulure. <br/> <br/> Pour plus de féérie, découvrez toute la collection de <a href="/81-noel-etincelant" >bougies blanches et dorées Noël étincelant</a>. <br/> <br/> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies décoratives étoile papier plié 17cm;2 bougies décoratives étoile papier plié 17cm;Dans un jeu de matières, ces bougies de Noël subliment l’art « origami ». Pour une décoration de fête étincelante, les bougies étoile papier plié deviennent le plus bel atout de votre décor !;bougies-decoratives-etoile-papier-plie-17cm;;;1;;2014-10-31;1;;0;Hauteur : 170, Longueur : 180, Profondeur : 60, Poids : 530, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510105;1;2 bougies décoratives ange papier plié 17cm blanc et or;81,78;41,5;1;;0;;;;;2510105;;;;;;0;;;;;20;1;;;;;;<p>Bienvenue dans un univers enchanté... Pour les fêtes de fin d’année, offrez-vous un dîner aux côtés des anges ! Disposez les <strong>bougies ange or et blanc pailleté</strong> au centre de votre table et donnez le ton de votre réveillon. Inspirées de l'art « origami », ces <strong>bougies déco</strong> se parent d’une texture imitant le papier plié pour offrir de l'éclat à votre soirée. Allumée, la flamme de ces <strong>bougies ange</strong> vous donnent rendez-vous au septième ciel ! <br /><br /> <strong>Fabriquées à la main</strong>, ces <strong>bougies de Noël</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse vous offrent une qualité de brûlage exceptionnelle assurant une combustion sans risque de coulure... Cette année, Noël sera scintillant ! <br /> <br /> Pour plus de féérie, découvrez toute la collection de <a href="/81-noel-etincelant">bougies blanches et dorées Noël étincelant</a>. <br /> <br /> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies décoratives ange papier plié 17cm blanc et or;2 bougies décoratives ange papier plié 17cm blanc et or;Pour les fêtes de fin d’année, disposez les bougies décoratives ange or et blanc pailleté au centre de votre table de réveillon et dressez un décor empreint de féérie. ;bougies-decoratives-ange-papier-plie-17cm;;;1;;2013-01-01;1;;0;Hauteur : 170, Longueur : 180, Profondeur : 35, Poids : 495, Durée de combustion : +/- 10, Tranche de combustion : 1 à 15 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510255;1;2 bougies cylindriques papier plié 60h blanc et or;81,78,36,34;26,5;1;;0;;;;;2510255;;;;;;0;;;;;20;1;;;;;;<p>Une ambiance de fêtes aux milles éclats... Ce duo de <strong>bougies cylindriques blanc pailleté et doré</strong> naît de la rencontre du blanc immaculé et de l'or précieux pour vous offrir une déco des plus raffinées. A travers un effet papier plié, ces <strong>bougies de Noël</strong> capturent la lumière pour illuminer votre espace. Inspirez-vous d'un « art origami » sublimé et façonnez un univers enchanté... <br/><br/> <strong>Fabriquées à la main</strong>, ces <strong>bougies design</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle, sans risque de coulure, pour placer votre déco de Noël sous le scintillement des flammes. <br/> <br/>Pour plus de féérie, découvrez toute la collection de <a href="/81-noel-etincelant" >bougies blanches et dorées Noël étincelant</a>. <br/> <br/> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies cylindriques papier plié 60h blanc et or;2 bougies cylindriques papier plié 60h blanc et or;Ce duo de bougies cylindriques naît de la rencontre du blanc immaculé et de l'or précieux. A travers un effet papier plié, ces bougies de Noël capturent la lumière pour illuminer votre espace.;bougies-cylindriques-papier-plie-60h;;;1;;2014-10-31;1;;0;Hauteur : 130, Diamètre : 70, Poids : 355, Durée de combustion : +/- 60, Tranche de combustion : 55 à 75 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510250;1;2 bougies cylindriques papier plié 45h blanc et or;81,78,36,34;23,17;1;;0;;;;;2510250;;;;;;0;;;;;20;1;;;;;;<p>Du blanc immaculé et quelques touches de doré... Cet ensemble de <strong>bougies cylindriques</strong> s'inspire des dernières tendances déco pour vous offrir une ambiance de fêtes chic et distinguée, A travers un design « origami » revisitant ces fameuses boules alvéolées, les <strong>bougies papier plié</strong> iluminent votre déco de fêtes de mille facettes pour placer votre fin d'année sous le signe de l'éclat!<br /><br /> <strong>Fabriquées à la main</strong>, ces <strong>bougies de Noël</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle, sans risque de coulure, pour illuminer votre réveillon. <br /> <br />Pour encore plus de féérie, découvrez aussi l'ensemble de <a href="/81-noel-etincelant">bougies cylindriques blanches et dorées 60h</a>. <br /> <br /> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies cylindriques papier plié 45h blanc et or;2 bougies cylindriques papier plié 45h blanc et or;A travers un design « origami » revisitant ces fameuses boules alvéolées, les bougies papier plié iluminent votre déco de leur milles facette pour placer votre fin d'année sous le signe de l'éclat!;bougies-cylindriques-papier-plie-45h;;;1;;2014-10-31;1;;0;Hauteur : 100, Diamètre : 70, Poids : 300, Durée de combustion : +/- 45, Tranche de combustion : 45 à 55 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510240;1;2 bougies rondes papier plié Ø9cm 45h blanc et or;81,78,36,34;24,17;1;;0;;;;;2510240;;;;;;0;;;;;0;1;;;;;;<p>Vous la connaissez déjà en suspension, grappe et guirlande... La <strong>boule de papier alvéolé</strong> est l'accessoire déco du moment ! Après avoir décoré votre maison du sol au plafond, découvrez celles qui sublimeront votre table de réveillon... Les <strong>bougies rondes blanc et or</strong> s'imprègnent de ces décorations éphémères et insufflent un nouvel éclat à votre décoration de Noël. A travers un design effet papier plié, ces <strong>bougies de Noël</strong> transporteront vos invités dans la magie du scintillement des flammes.<br /><br /> <strong>Fabriquées à la main</strong>, ces <strong>bougies design</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle, sans risque de coulure pour placer votre déco de fêtes sous le signe de la féérie. <br /> <br /> Pour une déco toujours plus chatoyante, découvrez toute la collection de <a href="/81-noel-etincelant">bougies blanches et dorées Noël étincelant</a>. <br /> <br /> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies rondes papier plié Ø9cm 45h blanc et or;2 bougies rondes papier plié Ø9cm 45h blanc et or;Les bougies rondes blanc et or insufflent un nouvel éclat à votre décoration. A travers un design effet papier plié, ces bougies de Noël vous transporteront dans la magie du scintillement des flammes.;bougies-rondes-papier-plie-9cm-45h;;;1;;2014-10-31;1;;0;Hauteur : 90, Diamètre : 90, Poids : 335, Durée de combustion : +/- 45, Tranche de combustion : 45 à 55 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510235;1;2 bougies rondes papier plié Ø7,5cm 25h blanc et or;81,78,36,34;19,17;1;;0;;;;;2510235;;;;;;0;;;;;0;1;;;;;;<p>Habillé d'une parure d'accessoires blancs et dorés, votre intérieur de fêtes raconte l'histoire d'un univers enchanté... Inspirées des dernières tendances de décoration, les <strong>bougies rondes papier plié blanc pailleté et or</strong> jouent de leurs angles et multiples facettes pour illuminer votre pièce. Si les boules alvéolées se déplient au gré de vos envies, ces <strong>bougies de Noël</strong> se montrent parfaites pour parachever votre table de fêtes !<br/><br/><strong>Fabriquées à la main</strong>, ces <strong>bougies design</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> vous offrent une qualité de brûlage exceptionnelle, sans risque de coulure. Parce qu'il y a toujours de la magie dans le scintillement des flammes, placez ces <strong>bougies rondes</strong> en élément central de votre soirée de réveillon. <br/> <br/>Pour une déco toujours plus éclatante, découvrez toute la collection de <a href="/81-noel-etincelant" >bougies blanches et dorées Noël étincelant</a>. <br/> <br/> Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;2 bougies rondes papier plié Ø7,5cm 25h blanc et or;2 bougies rondes papier plié Ø7,5cm 25h blanc et or;Inspirées des dernières tendances de décoration, les bougies rondes papier plié blanc pailleté et or jouent de leurs angles et multiples facettes pour illuminer votre déco de fêtes.;bougies-rondes-papier-plie-75cm-25h;;;1;;2014-10-31;1;;0;Hauteur : 75, Diamètre : 75, Poids : 180, Durée de combustion : +/- 25, Tranche de combustion : 25 à 35 heures, Collection : Noël étincelant, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2511230;1;Bougie parfumée verre laqué or 38h feu de bois ;82,78;16,25;1;;0;;;;;2511230;;;;3023675112301;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée verre laqué or feu de bois</strong> illuminera vos longues soirées d’hiver. Vêtue d’une somptueuse robe dorée, cette <strong>bougie parfumée</strong> rajoutera de l’éclat à votre décoration de fêtes. Précieuse à l’excellence, cette <strong>bougie dorée</strong> donnera à votre ambiance une allure festive, raffinée et étincelante ! <br/><br/>Allumez cette <strong>bougie senteur feu de bois</strong> et partagez une pause olfactive cosy avec tous vos invités. Un mariage parfait d’arômes boisés se libère de cet écrin doré… Patchouli, cèdre, pin, vétiver et fir balsam se dévoilent à l’unisson. Laissez-vous bercer par la flamme de cette <strong>bougie boisée</strong> au parfum si particulier d’un feu de bois attisé en hiver. <br/><br/>Pour une décoration encore plus raffinée, découvrez la <a href="/2511220-bougie-parfumee-verre-laque-or-38h-au-pied-du-sapin.html">bougie parfumée dorée au pied du sapin</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Feu de bois. </p>;;Bougie parfumée verre laqué or 38h feu de bois ;Bougie parfumée verre laqué or 38h feu de bois ;Patchouli, cèdre, pin, vétiver et fir balsam se dévoilent à l’unisson. Laissez-vous bercer par la flamme de cette bougie boisée au parfum si particulier d’un feu de bois attisé en hiver.;bougie-parfumee-verre-laque-or-38h-feu-de-bois;;;1;;2013-01-01;1;;0;Hauteur : 92, Diamètre : 76, Poids : 170, Durée de combustion : +/- 38, Tranche de combustion : 35 à 45 heures, Collection : Parfums d'hiver, Parfum : Feu de bois, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
