Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2459000;1;Bougie parfumée gâteau étoile 6,8cm biscuit;80,78;5,75;1;;0;;;;;2459000;;;;3023674590001;;0;;;;;50;1;;;;;;<p>Idéale pour illuminer d’une farandole de pâtisseries scintillantes, cette <strong>bougie parfumée gâteau étoile</strong> vous fera partager un moment de délice avec tous vos convives ! Teintée masse, cette <strong>bougie gourmande</strong> s’habille d’un délicieux glaçage pour susciter encore plus de désir. Au moment des fêtes, parsemez vos plats et assiettes de <strong>bougies en forme de gâteau</strong> et mettez vos invités en appétit ! <br/> <br/>Au doux parfum de biscuit, cette <strong>bougie originale</strong> dévoile une véritable explosion de saveurs. Allumez la flamme de cette <strong>petite bougie biscuit</strong> et savourez sa senteur portée par de délicieux arômes de vanille, noisette et chocolat. <br/><br/>Pour succomber définitivement à la tentation, découvrez toute la collection de <a href="/80-noel-gourmand" >bougies de Noël gourmandes</a>. <br/> <br/>Design : Made in France. Bougie artisanale fabriquée à la main. Parfum de Grasse : Biscuit. </p>;;Bougie parfumée gâteau étoile 6,8cm biscuit;Bougie parfumée gâteau étoile 6,8cm biscuit;Idéale pour illuminer d’une farandole de pâtisseries scintillantes, cette bougie parfumée gâteau étoile vous fera partager un moment de délice avec tous vos convives.;bougie-parfumee-gateau-etoile-6-8cm-biscuit;;;1;;2013-01-01;1;;0;Hauteur : 38, Diamètre : 68, Poids : 65, Durée de combustion : +/- 4, Tranche de combustion : 1 à 15 heures, Collection : Noël gourmand, Parfum : Biscuit, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2459100;1;Bougie parfumée gâteau étoile 11cm biscuit;80,78;10,75;1;;0;;;;;2459100;;;;3023674591008;;0;;;;;50;1;;;;;;<p>Ne résistez plus au délice de la <strong>bougie parfumée gâteau étoile</strong>. Teintée masse, cette <strong>bougie gourmande</strong> s’habille d’un délicieux glaçage pour encore plus de séduction. C’est Noël, donnez le ton ! Egayez votre vaisselle de <strong>bougies gâteau</strong>. Découvrez alors une table de fête aux saveurs irrésistibles qui épatera petits et grands. <br/> <br/>Allumez la flamme de vos <strong>bougies biscuit</strong> et éveillez vos papilles. Ces <strong>bougies originales</strong> embaumeront votre pièce de délicieux arômes de vanille, noisette et chocolat… L’heure du goûter arrive ! <br/><br/>Une envie de décoration de Noël encore plus alléchante ? Découvrez toute la collection de <a href="/80-noel-gourmand">bougies de Noël gourmandes</a>. <br/> <br/>Design : Made in France. Bougie artisanale fabriquée à la main. Parfum de Grasse : Biscuit. </p>;;Bougie parfumée gâteau étoile 11cm biscuit;Bougie parfumée gâteau étoile 11cm biscuit;C’est Noël, donnez le ton ! Egayez votre vaisselle de bougies gâteau. Découvrez alors une table de fête aux saveurs irrésistibles qui épatera petits et grands.;bougie-parfumee-gateau-etoile-11cm-biscuit;;;1;;2013-01-01;1;;0;Hauteur : 50, Diamètre : 110, Poids : 195, Durée de combustion : +/- 8, Tranche de combustion : 1 à 15 heures, Collection : Noël gourmand, Parfum : Biscuit, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2459165;1;Bougie parfumée gâteau cœur 7,5cm biscuit;80,78;9,17;1;;0;;;;;2459165;;;;3023674591657;;0;;;;;50;1;;;;;;<p>Avec la <strong>bougie gâteau cœur</strong>, retrouvez le plaisir de savourer de délicieux petits biscuits. Teintée masse, cette <strong>bougie gourmande</strong> se pare d’un fin glaçage et devient irrésistible ! Votre chemin de table de Noël, ainsi tracé de <strong>bougies gâteau cœur</strong>, guidera vos invités vers un moment de réelle saveur. <br/> <br/>Allumez la flamme de vos <strong>bougies biscuit</strong>, l’effet magique est instantané. Ces <strong>bougies originales</strong> sèmeront sur votre table un doux parfum aux arômes mêlant vanille, noisette et chocolat… Pour un Noël de gourmandise ! <br/><br/>Pour une décoration de Noël encore plus savoureuse, découvrez la <a href="/2459100-bougie-parfumee-gateau-etoile-6-8cm-biscuit.html">bougie parfumée gâteau étoile</a>. <br/> <br/>Design : Made in France. Bougie artisanale fabriquée à la main. Parfum de Grasse : Biscuit. </p>;;Bougie parfumée gâteau cœur 7,5cm biscuit;Bougie parfumée gâteau cœur 7,5cm biscuit;Avec la bougie gâteau cœur, retrouvez le plaisir de savourer de délicieux petits biscuits. Allumez la flamme de vos bougies biscuit, l’effet magique est instantané.;bougie-parfumee-gateau-cœur-7-5cm-biscuit;;;1;;2013-01-01;1;;0;Hauteur : 45, Diamètre : 85, Poids : 180, Durée de combustion : +/- 10, Tranche de combustion : 1 à 15 heures, Collection : Noël gourmand, Parfum : Biscuit, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2510150;1;Bougie parfumée pot de confiture 35h meringue et marrons glacés;80,82,78,42,41;14,58;1;;0;;;;;2510150;;;;3023675101503;;0;;;;;50;1;;;;;;<p>Avec la <strong>bougie parfumée pot de confiture meringue et marrons glacés</strong>, craquez pour une petite confiserie de fin d’année. Dotée d’un parfum que vous aurez plaisir à savourer, la <strong>bougie parfumée meringue et marrons glacés</strong> se présente dans un design original qui ne demande qu’à se montrer ! <br/><br/>Pour le plus grand plaisir des gourmets, cette <strong>bougie gourmande</strong> révèlera une senteur des plus exquises. A l’approche de Noël, les petits marrons glacés s’enroulent dans du sucre glace légèrement vanillé… Allumez cette <strong>bougie pot de confiture</strong> et finissez l’année sur une saveur irrésistiblement sucrée. <br/><br/>Pour faire de Noël une fête de tous les délices, découvrez toute la collection de <a href="/80-noel-gourmand">bougies de Noël gourmandes</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Meringue et marrons glacés. </p>;;Bougie parfumée pot de confiture 35h meringue et marrons glacés;Bougie parfumée pot de confiture 35h meringue et marrons glacés;Avec la bougie parfumée pot de confiture meringue et marrons glacés, craquez pour une confiserie de fin d’année. Cette bougie parfumée se présente dans un design original qui ne demande qu’à se montrer !;bougie-parfumee-pot-de-confiture-35h-meringue-et-marrons-glaces;;;1;;2013-01-01;1;;0;Hauteur : 95, Diamètre : 80, Poids : 215, Durée de combustion : +/- 35, Tranche de combustion : 35 à 45 heures, Collection : Noël gourmand, Parfum : Meringue et marrons glacés, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2510155;1;Bougie parfumée pot de confiture 35h gelée d'agrumes aux épices;80,82,78,42,41;14,58;1;;0;;;;;2510155;;;;3023675101558;;0;;;;;50;1;;;;;;<p>A offrir ou pour se faire plaisir, cette <strong>bougie pot de confiture</strong> se compose de vos fruits de saison préférés pour faire le plein de vitamines. Noël approche : concoctez un succulent panier à vos convives et glissez la <strong>bougie parfumée pot de confiture gelée d’agrumes aux épices</strong> au centre de vos gourmandises. Les gourmets n’auront qu’une envie : la déguster ! <br/><br/>Aux irrésistibles senteurs, cette <strong>bougie gourmande</strong> embaumera votre pièce de délicieux arômes de confiture d’hiver acidulée aux épices de Noël. Allumez la <strong>bougie gelée d’agrumes aux épices</strong> et donnez le ton de votre soirée. Cette année, Noël sera délectable ! <br/><br/>Pour un Noël encore plus appétissant, découvrez toute la collection de <a href="/80-noel-gourmand">bougies de Noël gourmandes</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Gelée d’agrumes aux épices. </p>;;Bougie parfumée pot de confiture 35h gelée d'agrumes aux épices;Bougie parfumée pot de confiture 35h gelée d'agrumes aux épices;A offrir ou pour se faire plaisir, cette bougie pot de confiture se compose de fruits de saison pour faire le plein de vitamines. Allumez cette bougie gourmande et donnez le ton de votre soirée.;bougie-parfumee-pot-de-confiture-35h-gelee-d-agrumes-aux-epices;;;1;;2013-01-01;1;;0;Hauteur : 95, Diamètre : 80, Poids : 215, Durée de combustion : +/- 35, Tranche de combustion : 35 à 45 heures, Collection : Noël gourmand, Parfum : Gelée d'agrumes aux épices, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2510160;1;Bougie parfumée pot de confiture 35h compotée de fruits rouges;80,78,42,41;14,58;1;;0;;;;;2510160;;;;3023675101602;;0;;;;;50;1;;;;;;<p>La <strong>bougie parfumée pot de confiture compotée de fruits rouges</strong> aiguisera votre goût ! Parfait à offrir ou juste pour se faire plaisir, cette <strong>bougie parfumée</strong> se présente dans un charmant pot de confiture. Et si vous présentiez tous vos cadeaux de Noël dans un grand panier gourmand au milieu duquel se glisserait la <strong>bougie compotée de fruits rouges</strong>… Au centre de toutes les promesses ! <br/><br/>Dans une mélodie de saveurs, cette <strong>bougie gourmande</strong> dévoile le sillage d’un délicieux panier de fruits rouges. Fraises, cassis, framboises, mûres et cerises s’immiscent au cœur d’une fragrance caressée de notes lactées et vanillées. <br/><br/>Parce que la gourmandise n’est plus un péché, découvrez toute la collection de <a href="/80-noel-gourmand">bougies de Noël gourmandes</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Compotée de fruits rouges. </p>;;Bougie parfumée pot de confiture 35h compotée de fruits rouges;Bougie parfumée pot de confiture 35h compotée de fruits rouges;La bougie parfumée pot de confiture compotée de fruits rouges aiguisera votre goût ! Cette bougie gourmande dévoile les délicieuses senteurs d’un panier de fruits rouges.;bougie-parfumee-pot-de-confiture-35h-compotee-de-fruits-rouges;;;1;;2013-01-01;1;;0;Hauteur : 95, Diamètre : 80, Poids : 215, Durée de combustion : +/- 35, Tranche de combustion : 35 à 45 heures, Collection : Noël gourmand, Parfum : Compotée de fruits rouges, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2700270;1;Photophore céramique étoile 7cm blanc;80,79,78,73,72;4,08;1;;0;;;;;2700270;;;;3023677002709;;0;;;;;50;1;;;;;;<p>Apportez un souffle de douceur dans votre intérieur avec le <strong>photophore céramique étoile</strong>. Ce <strong>petit photophore blanc</strong> est perforé d’un motif étoile pour apporter une touche de décoration typiquement scandinave. Idéal pour illuminer votre table de fête, ce <strong>photophore étoile</strong> apposera un éclairage féérique et tamisé. <br/> <br/>Déposez plusieurs <strong>photophores étoiles</strong> et multipliez les sources de lumières. La nuit tombée, placez une <a href="/2135936-lot-de-50-bougies-chauffe-plat-blanc-4h-aluminium.html" >bougie chauffe-plat</a> dans vos <strong>photophores scandinaves</strong> et laissez la magie vous transporter… Une délicate lumière traverse les perforations pour faire scintiller cette merveilleuse constellation. <br/> <br/>Pour une décoration de Noël pleine de douceur, découvrez la <a href="/2510180-bougie-parfumee-ceramique-today-25h-pomme-au-four.html">bougie parfumée céramique today pomme au four</a>. <br/> <br/> </p>;;Photophore céramique étoile 7cm blanc;Photophore céramique étoile 7cm blanc;Apportez un souffle de douceur avec le photophore céramique étoile. Ce petit photophore blanc est perforé d’un motif étoile pour apporter une touche de décoration scandinave.;photophore-ceramique-etoile-7cm-blanc;;;1;;2013-01-01;1;;0;Hauteur : 70, Diamètre : 60, Poids : 100, Collection : Noël gourmand, Parfum : , Type de produit : Photophores;0;;0;0;0;0;0;1
2510175;1;Bougie parfumée céramique pampille 20h crème vanille;80,78;10,75;1;;0;;;;;2510175;;;;3023675101756;;0;;;;;50;1;;;;;;<p>Apportez un souffle de tendresse dans votre foyer avec la <strong>bougie parfumée céramique pampille crème vanille</strong>. Typiquement scandinave, cette <strong>bougie blanche</strong> sera idéale pour illuminer votre table de Noël. Sur sa pampille, cette <strong>bougie de Noël</strong> vous délivre le message « Sweet Christmas ». Déposez plusieurs <strong>petites bougies parfumées</strong> et multipliez les sources de lumières. La nuit tombée, allumez vos <strong>bougies parfumées</strong> et laissez le merveilleux prendre place !<br/> <br/>Dans un parfum qui parlera aux gourmands, la <strong>bougie crème vanille</strong> vous accompagne dans un petit moment de caprice. Cachée sous une couche de caramel croquant, les arômes de crème à la vanille deviennent exquis…<br/><br/>Parce que la douceur se fait aussi dans la déco, découvrez le <a href="/2700270-photophore-ceramique-etoile-7cm-blanc.html">photophore céramique étoile blanc</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Crème vanille. </p>;;Bougie parfumée céramique pampille 20h crème vanille;Bougie parfumée céramique pampille 20h crème vanille;Apportez un souffle de tendresse avec la bougie parfumée céramique pampille crème vanille. Sur sa pampille, cette bougie de Noël vous délivre le message « Sweet Christmas ».;bougie-parfumee-ceramique-pampille-20h-creme-vanille;;;1;;2014-10-31;1;;0;Hauteur : 80, Diamètre : 63, Poids : 105, Durée de combustion : +/- 20, Tranche de combustion : 15 à 25 heures, Collection : Noël gourmand, Parfum : Crème vanille, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2510180;1;Bougie parfumée céramique today 25h pomme au four;80,78;10,75;1;;0;;;;;2510180;;;;3023675101800;;0;;;;;50;1;;;;;;<p>Typiquement scandinave, la <strong>bougie parfumée céramique today pomme au four</strong> vous délivre un message qui sèmera une dose de bonne humeur dans votre intérieur « Today is a happy day ». Idéale pour illuminer votre table de fête, cette <strong>petite bougie blanche</strong> apposera un éclairage enchanteur au goût de gourmandise. La nuit tombée, allumez votre <strong>bougie scandinave</strong> et laissez la magie opérer ! <br/> <br/>Dans un parfum de friandise, cette <strong>bougie pomme au four</strong> révèle le sillage d’un souvenir de l’enfance. Dévoilant les effluves d’une pomme dorée délicieusement caramélisée. <br/> <br/>Pour une décoration de Noël encore plus savoureuse, découvrez toute la collection de <a href="/80-noel-gourmand">bougies de Noël gourmandes</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Pomme au four. </p>;;Bougie parfumée céramique today 25h pomme au four;Bougie parfumée céramique today 25h pomme au four;Typiquement scandinave, la bougie parfumée céramique today pomme au four vous délivre un message qui sèmera une dose de bonne humeur dans votre intérieur « Today is a happy day ».;bougie-parfumee-ceramique-today-25h-pomme-au-four;;;1;;2014-10-31;1;;0;Hauteur : 75, Diamètre : 71, Poids : 120, Durée de combustion : +/- 25, Tranche de combustion : 25 à 35 heures, Collection : Noël gourmand, Parfum : Pomme au four, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
2510205;1;Coffret bougie parfumée doré 40h glögg vin chaud;80,82,78,32,33,31;20,83;1;;0;;;;;2510205;;;;3023675102050;;0;;;;;50;1;;;;;;<p>D’abord pour se faire plaisir, puis très vite à offrir, le <strong>coffret bougie parfumée verre doré sérigraphié</strong> répond à toutes vos envies ! Au coloris doré, la <strong>bougie parfumée glögg</strong> s’habille de motifs géométriques pour apporter une touche moderne et raffinée à votre décor. Secrètement lovée dans son coffret, cette <strong>bougie graphique</strong> devient le cadeau « tentant et tendance ». <br/><br/> Avec cette <strong>bougie de Noël</strong>, retrouvez toutes les saveurs douces et sucrées du vin chaud Suédois. Cette <strong>bougie gourmande</strong> révèle un véritable hymne aux épices, concentré dans une recette traditionnelle… Girofle, cardamome, cannelle, gingembre, avec un trait d’écorce d’orange, et pourquoi pas une pointe de vanille ! <br/><br/>Pour allier élégance et volupté, découvrez le <a href="/2510210-coffret-bougie-prfumee-verre-dore-serigraphie-40h-pepparkakor-gateau-aux-epices.html">coffret bougie parfumée verre doré pepparkakor</a>. <br/> <br/>Bougie fabriquée en France. Parfum de Grasse : Glögg, vin chaud. </p>;;Coffret bougie parfumée doré 40h glögg vin chaud;Coffret bougie parfumée doré 40h glögg vin chaud;Pour se faire plaisir ou pour offrir, le coffret bougie parfumée verre doré sérigraphié répond à toutes vos envies ! Cette bougie parfumée or s’habille de motifs géométriques pour apporter une touche moderne à votre décor.;coffret-bougie-parfumee-verre-dore-serigraphie-40h-glogg-vin-chaud;;;1;;2014-10-31;1;;0;Hauteur : 89, Diamètre : 76, Poids : 180, Durée de combustion : +/- 40, Tranche de combustion : 35 à 45 heures, Collection : Noël gourmand, Parfum : Glögg vin chaud, Type de produit : Bougies parfumées;0;;0;0;0;0;0;1
