Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2510005;1;Bougie décorative ange effet bois 25cm blanc pailleté;79,78,32,31;32,5;1;;0;;;;;2510005;;;;3023675100056;;0;;;;;0;1;;;;;;<p>Rendez-vous au paradis... Disposée sur votre console, la <strong>bougie décorative ange effet bois blanc pailleté</strong> apporte une jolie note de féérie. Entre magie et enchantement, cette <strong>bougie sculptée en stéarine</strong> se pare d’une texture imitant le bois sur sa face avant, tandis qu’un effet « cristaux de neige » habille les côtés et le dos. Allumez cette <strong>bougie originale</strong> et diffusez une douce lumière au souffle givré… <br /><br /> <strong>Fabriquée à la main</strong>, cette <strong>bougie blanche</strong> est conçue à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Cette <strong>bougie artisanale</strong> teintée masse vous offre une qualité de brûlage exceptionnelle, assurant une durée de combustion d’environ 30h, sans risque de coulure. <br /> <br />Pour une décoration de Noël scandinave, mixez les couleurs avec la <a href="/2510006-bougie-decorative-ange-effet-bois-25cm-beige-et-blanc.html">bougie décorative ange effet bois beige et blanche</a>. <br /> <br />Design : Made in France. Bougie artisanale fabriquée à la main.</p>;;Bougie décorative ange effet bois 25cm blanc pailleté;Bougie décorative ange effet bois 25cm blanc pailleté;Disposez cette bougie ange sur votre table de fête et dressez le décor. Pour votre repas de réveillon, allumez cette bougie originale et diffusez une douce lumière au souffle givré…;bougie-decorative-ange-effet-bois-25cm-blanc-paillete;;;1;;2013-01-01;1;;0;Hauteur : 250, Longueur : 250, Profondeur : 50, Poids : 1450, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510006;1;Bougie décorative ange effet bois 25cm blanc et beige;79,78;32,5;1;;0;;;;;2510006;;;;3023675100063;;0;;;;;50;1;;;;;;<p>Pour Noël, les anges s’invitent à votre table… Idéale pour réchauffer vos longues soirées d’hiver, la <strong>bougie décorative ange effet bois beige et blanc</strong> fera entrer une touche de douceur dans votre intérieur. Dans un jeu de matières emprunté de la nature, cette <strong>bougie sculptée en stéarine</strong> se pare d’une texture imitant le bois sur sa face avant, tandis qu’un effet « cristaux de neige » habille les côtés et le dos. Allumez cette <strong>bougie originale</strong> et plongez votre repas de réveillon dans une ambiance féérique… <br/><br/> <strong>Fabriquée à la main</strong>, cette <strong>bougie ange</strong> est conçue à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Cette <strong>bougie artisanale</strong> teintée masse est dotée d’une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 30h, sans risque de coulure. <br/> <br/>Pour une décoration de Noël scandinave, mixez les couleurs avec la <a href="/2510005-bougie-decorative-ange-effet-bois-25cm-blanc-paillete.html" >bougie décorative ange effet bois blanc pailleté</a>. <br/> <br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative ange effet bois 25cm blanc et beige;Bougie décorative ange effet bois 25cm blanc et beige;Pour Noël, les anges s’invitent à votre table. Idéale pour réchauffer vos longues soirées d’hiver, la bougie décorative ange effet bois plongera votre réveillon dans une ambiance féérique.;bougie-decorative-ange-effet-bois-25cm-beige-et-blanc;;;1;;2013-01-01;1;;0;Hauteur : 250, Longueur : 250, Profondeur : 50, Poids : 1450, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510015;1;2 bougies décoratives ange effet bois 17cm blanc et beige;79,78,32,31;35;1;;0;;;;;2510015;;;;;;0;;;;;20;1;;;;;;<p>Disposées sur votre table de fête, les <strong>bougies décoratives ange effet bois</strong> dressent un décor angélique. Dans un jeu de matières emprunté de la nature, ces <strong>bougies sculptées en stéarine</strong> se pare d’une texture imitant le bois sur sa face avant, tandis qu’un effet « cristaux de neige » habille les côtés et le dos. Faites de votre réveillon une soirée d’exception. Allumez ces <strong>bougies de Noël</strong> et plongez votre intérieur dans la douceur d’une lumière féérique… <br/><br/> <strong>Fabriquées à la main</strong>, ces <strong>bougies décoratives</strong> est conçue à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse sont dotées d’une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 15h, sans risque de coulure. <br/> <br/> Pour une décoration de Noël scandinave, mixez les tailles et les couleurs avec la <a href="/2510005-bougie-decorative-ange-effet-bois-25cm-blanc-paillete.html" >bougie décorative ange effet bois 25cm blanc pailleté</a>. <br/> <br/>Design : Made in France. Bougies artisanales fabriquées à la main. </p>;;2 bougies décoratives ange effet bois 17cm blanc et beige;2 bougies décoratives ange effet bois 17cm blanc et beige;Disposée sur votre table de fête, les bougies décoratives ange dressent un décor angélique. Allumez ces bougies de Noël et plongez votre intérieur dans la douceur d’une lumière féérique…;bougies-decoratives-ange-effet-bois-17cm;;;1;;2013-01-01;1;;0;Hauteur : 170, Longueur : 180, Profondeur : 35, Poids : 530, Durée de combustion : +/- 15, Tranche de combustion : 15 à 25 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510035;1;2 bougies décoratives cheval scandinave 16,5cm blanc et beige;79,78,32,33,31;39,83;1;;0;;;;;2510035;;;;;;0;;;;;50;1;;;;;;<p>Venu tout droit des pays du Nord, le <strong>cheval de Dalécarlie</strong> s’appose en signature de notre collection de <a href="/79-noel-scandinave" >bougies de Noël scandinaves</a>. Pour Noël, cette petite figurine en bois traditionnelle se transforme en <strong>bougie décorative</strong>. Dans un jeu de matières, ce duo de <strong>bougies décoratives cheval scandinave</strong> revêt une robe bicolore pour insuffler un esprit de douceur dans votre intérieur. Typiquement scandinave, ces <strong>bougies sculptées en stéarine</strong> emporteront petits et grands enfants dans la magie d’une escapade nordique. <br/> <br/> <strong>Fabriquées à la main</strong>, ces <strong>bougies originales</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse sont dotées d’une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 15h, sans risque de coulure. <br/> <br/> Pour un intérieur encore plus scandinave, complétez votre décoration avec les <a href="/2510025-bougie-decorative-etoile-relief-13cm-blanc.html" >bougies décoratives étoiles relief blanches</a>. <br/> <br/> Design : Made in France. Bougies artisanales fabriquées à la main. </p>;;2 bougies décoratives cheval scandinave 16,5cm blanc et beige;2 bougies décoratives cheval scandinave 16,5cm blanc et beige;Pour Noël, le cheval de Dalécarlie se transforme en bougie décorative. Typiquement scandinave, ces bougies emporteront petits et grands dans la magie d’une escapade nordique.;bougies-decoratives-cheval-scandinave-16-5cm;;;1;;2013-01-01;1;;0;Hauteur : 165, Longueur : 200, Profondeur : 55, Poids : 650, Durée de combustion : +/- 15, Tranche de combustion : 15 à 25 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510030;1;3 bougies cheval scandinave 10cm noir, blanc et beige;79,78,32,31;29,7;1;;0;;;;;2510030;;;;;;0;;;;;0;1;;;;;;<p>Véritable clin d’œil aux pays nordiques, les <strong>bougies décoratives cheval scandinave</strong> réinterprètent à merveille « la » petite figurine en bois traditionnelle scandinave. Le <strong>cheval de Dalécarlie</strong> se transforme en <strong>bougie décorative</strong> pour le plus grand plaisir des petits et grands enfants. Jouez la carte des contrastes en mixant les couleurs et les matières… Pour un <strong>Noël scandinave</strong> graphique ultra tendance ! <br /> <br /><strong>Fabriquées à la main</strong>, ces <strong>bougies originales</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse se parent d’une qualité de brûlage exceptionnelle assurant une combustion sans risque de coulure. <br /> <br />Pour un intérieur encore plus scandinave, complétez votre décoration avec les <a href="/2510025-bougies-decoratives-etoile-relief-13cm.html">bougies décoratives étoiles relief blanches</a>. <br /> <br />Design : Made in France. Bougies artisanales fabriquées à la main.</p>;;3 bougies cheval scandinave 10cm noir, blanc et beige;3 bougies cheval scandinave 10cm noir, blanc et beige;Le cheval de Dalécarlie se transforme en bougie décorative. Les bougies cheval réinterprètent à merveille « la » petite figurine en bois traditionnelle scandinave.;bougies-decoratives-cheval-scandinave-10cm;;;1;;2014-10-31;1;;0;Hauteur : 100, Longueur : 90, Profondeur : 47, Poids : 158, Durée de combustion : +/- 1, Tranche de combustion : 1 à 15 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510010;1;2 bougies décoratives étoile effet bois 21cm noir et blanc;79,78;59,8;1;;0;;;;;2510010;;;;;;0;;;;;50;1;;;;;;<p>Adepte de la déco scandinave ? Placez l’étoile du Nord au cœur de votre intérieur ! Un effet bois stylisé, des lignes épurées... Les <strong>bougies décoratives étoile</strong> agrémentent à merveille votre déco de fêtes ! Dans un jeu de matières emprunté de la nature, ces <strong>bougies sculptées en stéarine</strong> se parent d’une texture imitant le bois sur sa face avant. Chics et naturelles, les <strong>bougies étoile</strong> apporteront une touche de déco graphique ultra tendance dans votre intérieur. <br/> <br/><strong>Fabriquées à la main</strong>, ces <strong>bougies scandinaves</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse vous offrent une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 30h, sans risque de coulure. <br/> <br/>Pour un intérieur encore plus nordique, complétez votre décoration avec les <a href="/2510025-bougies-decoratives-etoile-relief-13cm.html" >bougies décoratives étoiles relief</a>. <br/> <br/>Design : Made in France. Bougies artisanales fabriquées à la main. </p>;;2 bougies décoratives étoile effet bois 21cm noir et blanc;2 bougies décoratives étoile effet bois 21cm noir et blanc;Placez l’étoile du Nord au cœur de votre intérieur ! Un effet bois stylisé, des lignes épurées... Les bougies décoratives étoile agrémentent votre déco de fêtes ! ;bougies-decoratives-etoile-effet-bois-21cm;;;1;;2014-10-31;1;;0;Hauteur : 210, Longueur : 220, Profondeur : 60, Poids : 960, Durée de combustion : +/- 30, Tranche de combustion : 25 à 35 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510025;1;3 bougies décoratives étoile relief 13cm noir, blanc et beige;79,78;41,7;1;;0;;;;;2510025;;;;;;0;;;;;20;1;;;;;;<p>Les fêtes arrivent, il est temps de consteller votre décor ! Idéales pour avoir la tête dans les étoiles, ces <strong>bougies de Noël</strong> se parsèment sur votre table pour une ambiance chaleureuse autour des flammes. Déclinées en noir, blanc et beige, ces <strong>bougies étoile</strong> accessoirisent votre décoration de fête sous un angle chic et graphique résolument scandinave. <br/> <br/> <strong>Fabriquées à la main</strong>, ces <strong>bougies scandinaves</strong> sont conçues à partir de méthodes traditionnelles pour vous garantir une <strong>qualité haut de gamme</strong>. Ces <strong>bougies artisanales</strong> teintées masse sont pourvues d’une qualité de brûlage exceptionnelle assurant une durée de combustion d’environ 20h, sans risque de coulure. <br/> <br/> Mixez les tailles, les couleurs et les matières avec les <a href="/2510010-bougies-decoratives-etoile-effet-bois-21cm.html" >bougies décoratives étoiles effet bois 21cm</a>. <br/> <br/> Design : Made in France. Bougies artisanales fabriquées à la main. </p>;;3 bougies décoratives étoile relief 13cm noir, blanc et beige;3 bougies décoratives étoile relief 13cm noir, blanc et beige;Ces bougies de Noël se parsèment sur votre table pour une ambiance chaleureuse autour des flammes. Ces bougies étoile accessoirisent votre déco sous un angle résolument scandinave. ;bougie-decorative-etoile-relief-13cm-beige;;;1;;2014-10-31;1;;0;Hauteur : 130, Longueur : 135, Profondeur : 55, Poids : 275, Durée de combustion : +/- 20, Tranche de combustion : 15 à 25 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2510130;1;Bougie décorative verre habillage papier de riz 10cm ;79,78;11,58;1;;0;;;;;2510130;;;;3023675101305;;0;;;;;50;1;;;;;;<p>Idéale pour illuminer votre intérieur le soir de Noël, la <strong>bougie décorative verre habillage papier de riz</strong> se pare de petits motifs plein de féérie. Habillée de boules de Noël, sapins, étoiles, flocons, chevaux ou encore cerfs, cette <strong>bougie décorative</strong> a tout pour évoquer Noël ! Aux tonalités douces et naturelles, cette <strong>bougie de Noël</strong> se dépose sur un angle de votre table pour ajouter une jolie touche de charme. Allumée, cette <strong>bougie originale</strong> apposera une lueur enchanteresse dans votre intérieur. <br/><br/>Complétez votre décoration de Noël avec toute notre collection de <a href="/79-noel-scandinave">bougies, photophores et bougeoirs Noël scandinave</a>. <br/> <br/>Bougie décorative fabriquée en France.</p>;;Bougie décorative verre habillage papier de riz 10cm ;Bougie décorative verre habillage papier de riz 10cm ;La bougie décorative verre habillage papier de riz se pare de petits motifs plein de féérie. Habillée de boules de Noël, sapins, étoiles, flocons, … Cette bougie décorative a tout pour évoquer Noël !;bougie-decorative-verre-habillage-papier-de-riz-10cm;;;1;;2014-10-31;1;;0;Hauteur : 110, Diamètre : 85, Poids : 130, Durée de combustion : +/- 35, Tranche de combustion : 35 à 45 heures, Collection : Noël scandinave, Parfum : , Type de produit : Bougies décoratives;0;;0;0;0;0;0;1
2700230;1;3 photophores verre habillage papier de riz 8,5cm;79,78,73,72;12,25;1;;0;;;;;2700230;;;;;;0;;;;;50;1;;;;;;<p>Qu’y a-t-il de plus chaleureux que la lueur d’une bougie déposée sur votre table de salon un soir d’hiver ? <br/><br/> Pour un Noël scandinave, accessoirisez votre décoration avec cet ensemble de <strong>photophores en verre habillage papier de riz</strong>. Dans un souffle de douceur, ces <strong>petits photophores</strong> se parent de tonalités a naturelles et s’habillent de jolis motifs boule de Noël, étoile et cerf. La nuit tombée, placez une <a href="/2135936-lot-de-50-bougies-chauffe-plat-blanc-4h-aluminium.html" >bougie chauffe-plat</a> dans votre <strong>photophore de Noël</strong> et laissez la magie vous transporter… <br/> <br/>Pour plus de féérie, complétez votre décoration de Noël avec toute notre collection de <a href="/78-toute-la-collection">bougies, photophores et bougeoirs de Noël</a>.</p>;;3 photophores verre habillage papier de riz 8,5cm;3 photophores verre habillage papier de riz 8,5cm;Pour un Noël scandinave, craquez pour cet ensemble de photophores en verre habillage papier de riz. Ces petits photophores s’habillent de jolis motifs de Noël pour un rendu encore plus féérique.;photophores-verre-habillage-papier-de-riz-motifs-noel-8-5cm;;;1;;2013-01-01;1;;0;Hauteur : 85, Diamètre : 60, Poids : 125, Collection : Noël scandinave, Parfum : , Type de produit : Photophores;0;;0;0;0;0;0;1
2700250;1;2 photophores métal étoile 11cm;79,78,73,72;14,83;1;;0;;;;;2700250;;;;;;0;;;;;0;1;;;;;;<p>Placez l’étoile au centre de votre décoration ! Très tendance, cet ensemble de <strong>photophores en métal</strong> est perforé d’un motif étoile résolument nordique. En Noir & Blanc, ces <strong>photophores scandinaves</strong> ajouteront une jolie touche graphique à votre décoration de Noël. <br/><br/>Disséminez les étoiles sur votre table, déposez plusieurs photophores et mixez-les avec les <a href="/2700255-ensemble-de-photophores-metal-etoiles-9cm.html" >photophores en métal étoiles 9cm</a> ! La nuit tombée, placez une <a href="/2135936-lot-de-50-bougies-chauffe-plat-blanc-4h-aluminium.html" >bougie chauffe-plat</a> dans vos <strong>photophores de Noël</strong> pour diffuser la magie d’une lumière étoilée… <br/> <br/> Pour une décoration de Noël au design nordique, découvrez toute la collection de <a href="/79-noel-scandinave"> bougies, photophores et bougeoirs Noël scandinave</a>. <br/> <br/> </p>;;2 photophores métal étoile 11cm;2 photophores métal étoile 11cm;Cet ensemble de photophores est perforé d’un motif étoile. En Noir&Blanc, ces photophores scandinaves ajouteront une jolie touche graphique à votre décoration de Noël.;photophores-metal-etoile-11cm;;;1;;2013-01-01;1;;0;Hauteur : 110, Diamètre : 100, Poids : 155, Collection : Noël scandinave, Parfum : , Type de produit : Photophores;0;;0;0;0;0;0;1
