reference;quantity;id_shop
2202081;9;1
2100581;9;1
2204087;8;1
2204087;8;1
2204002;12;1
2100508;7;1
2100529;6;1
2204052;6;1
2202041;6;1
2204084;6;1
2202050;6;1
2100556;6;1
2202060;6;1
2202085;6;1
2202088;6;1
2202004;6;1
2202092;6;1
2202014;6;1
2204029;6;1
2100514;6;1
2204044;6;1
2202032;6;1
2100533;6;1
2204056;6;1
2202052;6;1
2202073;6;1
2100590;6;1
2202083;6;1
2202086;6;1
2202089;6;1
2202093;6;1
2202017;6;1
2202025;6;1
2100505;6;1
2204033;6;1
2202029;6;1
2100526;6;1
2202033;6;1
2202049;6;1
2100552;6;1
2204090;6;1
2202056;6;1
2100584;6;1
2202080;6;1
2202084;6;1
2202090;6;1
2202008;6;1
2204026;6;1
2202026;6;1
2204041;6;1
2202031;6;1
2100544;5;1
2204008;5;1
2202024;5;1
2100504;5;1
2202027;5;1
2100549;5;1
2202005;5;1
2204004;5;1
2204014;5;1
2100541;5;1
2100587;4;1
2202001;3;1
2204001;8;1
2204049;2;1
2202087;2;1
2100501;1;1
2204005;1;1
2202018;1;1
