reference;quantity;id_shop
2100587;10;1
2202087;5;1
2204087;8;1
2230587;4;1
2230787;-1;1
2240287;-6;1
2290100;13;1
2291100;2;1
2291200;5;1
2291400;11;1
2291800;5;1
2459000;12;1
2510006;-15;1
2510010;-3;1
2510020;1;1
2510040;28;1
2510060;43;1
2510065;43;1
2510070;3;1
2510105;15;1
2510120;35;1
2510135;16;1
2510140;37;1
2510145;17;1
2510150;2;1
2510205;1;1
2510215;1;1
2510235;45;1
2510240;39;1
2510255;28;1
2510260;41;1
2510265;21;1
2511200;34;1
2511210;34;1
2511230;37;1
2529300;2;1
2530500;13;1
2700210;10;1
2700220;39;1
2700225;29;1
2700230;20;1
2700245;40;1
2700255;12;1
2700265;30;1
2700270;11;1
2700275;-25;1
