reference;quantity;id_shop
2386840;-25;1
2386850;-25;1
2387325;-25;1
2388975;-25;1
2389990;-25;1
2390150;-25;1
2390180;-25;1
2391515;-25;1
2391555;-25;1
2391565;-25;1
2391605;-25;1
2391625;-19;1
2391665;-25;1
2391675;-25;1
2391705;-30;1
2391775;-30;1
2423010;-25;1
2423030;-25;1
2429890;-30;1
2432110;-25;1
2432140;-25;1
2386800;-1;1
2391200;-8;1
2391250;-7;1
2386810;-8;1
2386905;-6;1
2423020;-8;1
2432120;-8;1
2391180;-10;1
2391240;-9;1
2391615;-9;1
2387465;-12;1
2390110;-10;1
2391000;-10;1
2391305;-10;1
2391525;-10;1
2386945;-16;1
2390130;-21;1
2391220;-15;1
2391365;-16;1
2391375;-16;1
2429315;-16;1
2476210;-16;1
2476230;-16;1
2476240;-15;1
2476250;-16;1
2390020;20;1
2425620;41;1
2425640;23;1
