reference;quantity;id_shop
2386915;4;1
2386925;3;1
2386945;5;1
2386955;3;1
2387456;4;1
2388985;7;1
2388995;10;1
2390160;5;1
2390190;5;1
2391180;2;1
2391190;3;1
2391220;5;1
2391230;3;1
2391270;5;1
2391280;3;1
2391315;6;1
2391355;3;1
2391365;5;1
2391375;5;1
2391455;3;1
2391755;3;1
2391775;2;1
2391890;2;1
2423010;6;1
2423020;7;1
2423030;5;1
2423050;1;1
2425610;1;1
2423060;13;1
2425620;27;1
2425630;2;1
2425640;10;1
2425660;5;1
2425650;9;1
2432110;7;1
2432130;2;1
2432140;8;1
2432150;4;1
2432160;4;1
2437400;3;1
2437500;1;1
2459000;6;1
2459200;14;1
2476210;3;1
2476240;2;1
2476260;2;1
2510135;6;1
2510145;10;1
2510175;9;1
2510180;15;1
2510205;10;1
2510210;8;1
2510230;3;1
2511200;9;1
2531600;12;1
2586526;2;1
2586556;4;1
2700270;13;1
