Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2454050;1;2 bougies décoratives écureuil;77;12,5;1;;1;;35;;;2454050;;;;;;0;0;0;0;0;25;1;;;;;;<p>Le charme de la forêt s’installe dans votre intérieur grâce à ces deux petits rongeurs malicieux. Gris et beige, le pelage est élégamment sculpté dans ces <strong>bougies originales</strong> qui s’intégreront subtilement à votre <strong>décoration</strong>. <br/> <br/>Suivez le sentier des <strong>bougies décoratives</strong> de la collection <a href="79-deco-scandinave">Déco scandinave</a> pour compléter votre intérieur à l’esprit nordique de quelques pommes de pin. Design : Made in France. Bougies artisanales fabriquées à la main. </p>;;2 bougies décoratives écureuil;2 bougies décoratives écureuil;Le charme de la forêt s’installe dans votre intérieur grâce à ces deux bougies décoratives en forme d’écureuil. Ces bougies originales s’intégreront subtilement à votre décoration.;2-bougies-décoratives-écureuil;;;1;;2013-01-01;1;../import/soldes_photos/2454050-ecureuils/2-454-050_2-1-assortis.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_4-1-assortis.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_1.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_3-1.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_3-2.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_1-1.jpg,../import/soldes_photos/2454050-ecureuils/2-454-050_1-2.jpg;;Hauteur:120,Largeur:110,Profondeur:50,Diamètre:,Poids:210,Durée de combustion:+/- 6,Tranche de combustion:1 à 15 heures,Collection:Au cœur des montagnes,Parfum:,Thème:, Famille olfactive:;0;;0;0;0;0;0;1
2424150;1;2 porte-carte gâteaux;77;8,33;1;;1;;35;;;2424150;;;;;;0;0;0;0;0;50;1;;;;;;<p>Succombez sans complexe à cet adorable assortiment de <strong>porte-carte cupcake</strong> aux douces couleurs de dragées. A votre guise, ils deviendront un <strong>porte-nom</strong> pour placer vos convives lors d’un repas ou un <strong>porte-photo</strong> pour une déco délicieusement Shabby. Deux attentions qui, l’une comme l’autre, feront le bonheur de vos invités et de votre <strong>décoration de table</strong>. <br/> <br/> Sucré ou salé, poursuivez le repas avec la <a href="/80-deco-gourmande">Déco gourmande</a> ! </p>;;2 porte-carte gâteaux;2 porte-carte gâteaux;Succombez sans complexe à cet adorable assortiment de porte-carte cupcake. A votre guise, ils deviendront un porte-nom pour placer vos ou un porte-photo pour une déco délicieusement Shabby,;2-porte-carte-gâteaux;;;1;;2013-01-01;1;../import/soldes_photos/2424150-porte-carte-ceramique-shabby/2-424-150_1-3.jpg,../import/soldes_photos/2424150-porte-carte-ceramique-shabby/2-424-150_2-2.jpg;;Hauteur:55,Largeur:,Profondeur:,Diamètre:55,Poids:130,Durée de combustion:,Collection:Shabby sweet,Parfum:,Thème:;0;;0;0;0;0;0;1
2423900;1;2 bougeoirs gâteaux pour mini-bougies;77;9,58;1;;1;;35;;;2423900;;;;;;0;0;0;0;0;50;1;;;;;;<p>Issu de la même pâtisserie que le succulent assortiment de 2 porte-carte cupcake, cet ensemble de 2 <strong>bougeoirs pour mini-bougies</strong> réchauffera votre intérieur tout en douceur. Une <strong>décoration</strong> fille jusqu’au bout des ongles qui séduira les plus gourmandes ! <br/> <br/> Voyez plus grand ! Découvrez les bougeoirs dans les <a href="/72-accessoires#s[12][]:261&s[16][]:289&ash[16][]:289&rg:&sid:1&h:leftColumn&ics:72&as4_base_selection:YToxOntpOjA7czozOiIyODkiO30:">accessoires de l’univers déco</a> ! </p>;;2 bougeoirs gâteaux pour mini-bougies;2 bougeoirs gâteaux pour mini-bougies;Cet ensemble de 2 bougeoirs pour mini-bougies réchauffera votre intérieur tout en douceur. Une décoration fille jusqu’au bout des ongles qui séduira les plus gourmandes !;2-bougeoirs-gâteaux-pour-mini-bougies;;;1;;2013-01-01;1;../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_1-assortis.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_2-assortis.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_3-assortis.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_1-1.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_1-2.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_2-1.jpg,../import/soldes_photos/2423900-bougeoir-ceramique-shabby/2-423-900_2-2.jpg;;Hauteur:55,Largeur:,Profondeur:,Diamètre:51,Poids:58,Durée de combustion:,Collection:shabby sweet,Parfum:,Thème:;0;;0;0;0;0;0;1
2424050;1;Bougeoir tasses;77;15;1;;1;;35;;;2424050;;;;;;0;0;0;0;0;50;1;;;;;;<p>Osez l’originalité avec ce <strong>bougeoir design</strong> mêlant art et anticonformisme. <strong>Bougeoir tasse</strong> à l’esprit « Alice aux pays des merveilles », il surprendra vos invités et réveillera votre décoration intérieure. <br/> <br/> Pour un émerveillement total, prenez de la hauteur dans votre <strong>déco</strong> avec les <a href="/30-table-et-ambiance#s[12][]:269&s[16][]:371&ash[16][]:371&rg:&sid:1&h:leftColumn&ics:30&as4_base_selection:YToxOntpOjA7czozOiIzNzEiO30:">coffrets de bougies flambeaux</a>. </p>;;Bougeoir tasses;Bougeoir tasses;Osez l’originalité avec ce bougeoir design mêlant art et anticonformisme. Bougeoir tasse à l’esprit « Alice aux pays des merveilles », il surprendra vos invités et réveillera votre décoration intérieure. ;bougeoir-tasses;;;1;;2013-01-01;1;../import/soldes_photos/2424050-bougeoir-ceramique-tasse-shabby/2-424050-1.jpg,../import/soldes_photos/2424050-bougeoir-ceramique-tasse-shabby/2-424050-2.jpg,../import/soldes_photos/2424050-bougeoir-ceramique-tasse-shabby/2-424050-3.jpg,../import/soldes_photos/2424050-bougeoir-ceramique-tasse-shabby/2-424050-4.jpg;;Hauteur:245,Largeur:,Profondeur:,Diamètre:124,Poids:,Durée de combustion:,Collection:shabby sweet,Parfum:,Thème:;0;;0;0;0;0;0;1
2628050;1;Coffret bougie parfumée coquelicot barbe à papa;77;15,83;1;;1;;35;;;2628050;;;;;;0;0;0;0;0;50;1;;;;;;<p>Entrez dans la Little fabric, l’atelier des nains parfumeurs et arborez une <strong>décoration fleurie</strong> à l’esprit Vichy grâce à cette <strong>bougie parfumée</strong>. Son <strong>coffret cadeau</strong>, idéal pour offrir ou se faire plaisir, renfermera les senteurs subtiles de coquelicot et de barbe à papa. Une <strong>bougie parfumée</strong> aux notes florales et sucrées… <br/> <br/> Succombez également au charme de Bob, le nain à l’origine de la fabrique, avec la <strong>bougie décorative</strong> à son effigie. Retrouvez-le dans la collection <a href="79-deco-scandinave">Déco scandinave</a>. </p>;;Coffret bougie parfumée coquelicot barbe à papa;Coffret bougie parfumée coquelicot barbe à papa;Arborez une décoration fleurie à l’esprit Vichy grâce à cette bougie parfumée. Son coffret cadeau, idéal pour offrir ou se faire plaisir, renfermera les senteurs subtiles de coquelicot et de barbe à papa.;coffret-bougie-parfumee-coquelicot-barbe-a-papa;;;1;;2013-01-01;1;../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-0.jpg,../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-1.jpg,../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-2.jpg,../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-3.jpg,../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-4.jpg,../import/soldes_photos/2628050-coffret-bougie-20-rouge-coquelicot-barbe-a-papa/2-628-050-5.jpg;;Hauteur:82,Largeur:,Profondeur:,Diamètre:73,Poids:165,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Collection:The Little Fabric,Parfum:Coquelicot Barbe à papa,Thème:;0;;0;0;0;0;0;1
2423850;1;4 photophores pour bougies chauffe-plats et votives;77;13,25;1;;1;;35;;;2423850;;;;;;0;0;0;0;0;50;1;;;;;;<p>Craquez pour cet assortiment de 4 <strong>photophores pour bougies</strong>. Réceptacles de choix pour vos <strong>bougies chauffe-plats et votives</strong>, ils rehausseront sans conteste la luminosité de vos <strong>bougies</strong> pour créer une ambiance douce et colorée. <br/> <br/> Pour une <strong>décoration</strong> toujours plus originale, pensez aussi aux <strong>photophores</strong> de <a href="/73-photophores">l’univers Déco</a>. </p>;;4 photophores pour bougies chauffe-plats et votives;4 photophores pour bougies chauffe-plats et votives;Craquez pour ces 4 photophores à bougies. Réceptacles en verre pour vos bougies chauffe-plats et votives, ils rehausseront sans conteste la luminosité de vos bougies. ;4-photophores-pour-bougies-chauffe-plats-et-votives;;;1;;2013-01-01;1;../import/soldes_photos/2423850-mini-verres/2-423-850-assortis_1.jpg,../import/soldes_photos/2423850-mini-verres/2-423-850_1.jpg,../import/soldes_photos/2423850-mini-verres/2-423-850_2.jpg,../import/soldes_photos/2423850-mini-verres/2-423-850_3.jpg,../import/soldes_photos/2423850-mini-verres/2-423-850_4.jpg;;Hauteur:58,Largeur:,Profondeur:,Diamètre:67,Poids:140,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Collection:Shabby sweet,Parfum:,Thème:;0;;0;0;0;0;0;1
2630250;1;Coffret bougie parfumée orange musc;77;15,83;1;;1;;35;;;2630250;;;;;;0;0;0;0;0;50;1;;;;;;<p>Avec cette <strong>bougie artisanale parfumée</strong>, c’est votre intérieur qui se parfume ! Mélange d’orange et de musc, la <strong>bougie</strong> cultive son charme à travers un style classique. Une valeur sûre pour une <strong>décoration</strong> raffinée et élégante. <br/> <br/> Pour multiplier les plaisirs, découvrez plus de senteurs et de <strong>bougies parfumées</strong> dans <a href="/41-bougies-parfumees">l’Univers parfumé</a>. </p>;;Coffret bougie parfumée orange musc;Coffret bougie parfumée orange musc;Avec cette bougie artisanale parfumée, voilà une valeur sûre pour une décoration raffinée et élégante. Mélange d’orange et de musc, la bougie cultive son charme à travers un style classique.  ;coffret-bougie-parfumée-orange-musc;;;1;;2013-01-01;1;../import/soldes_photos/2630250-bougie-parfumee-130g/2-628-050-0.jpg,../import/soldes_photos/2630250-bougie-parfumee-130g/2-630-250-1.jpg,../import/soldes_photos/2630250-bougie-parfumee-130g/2-630-250-5.jpg,../import/soldes_photos/2630250-bougie-parfumee-130g/2-630-250-2.jpg,../import/1soldes_photos/2630250-bougie-parfumee-130g/2-630-250-3.jpg,../import/soldes_photos/2630250-bougie-parfumee-130g/2-630-250-4.jpg;;Hauteur:77,Largeur:,Profondeur:,Diamètre:70,Poids:130,Durée de combustion:+/- 25,Tranche de combustion:25 à 35 heures,Collection:Campagne charme,Parfum:Orange musc,Thème:;0;;0;0;0;0;0;1
2636350;1;2 photophores rayés pour bougies chauffe-plat;77;7,5;1;;1;;35;;;2636350;;;;;;0;0;0;0;0;50;1;;;;;;<p>Embarquement immédiat ! Tel un phare en pleine mer, ces adorables <strong>photophores</strong> rayés blanc-bleu et blanc-rouge seront le repère des matelots. Quoiqu’il en soit, que vous ayez le pied marin ou non, ces <strong>photophores pour bougies chauffe-plat</strong> donneront une nouvelle dimension à votre <strong>décoration intérieure ou extérieure</strong>. <br/> <br/> Pour d’autres <strong>idées déco</strong>, faites une halte dans le port de <a href="/72-accessoires">l’univers Déco</a>. </p>;;2 photophores rayés pour bougies chauffe-plat;2 photophores rayés pour bougies chauffe-plat;Ces adorables photophores rayés blanc et bleu ou blanc et rouge seront le repère des matelots. Que vous ayez le pied marin ou non, ces photophores pour bougies chauffe-plat donneront une nouvelle dimension à votre décoration. ;2-photophores-rayés-pour-bougies-chauffe-plat;;;1;;2013-01-01;1;../import/soldes_photos/2636350-photophore-raye-bdm/2-636350-assortis.jpg,../import/soldes_photos/2636350-photophore-raye-bdm/2-636350-1.jpg,../import/soldes_photos/2636350-photophore-raye-bdm/2-636350-2.jpg,../import/soldes_photos/2636350-photophore-raye-bdm/2-636350-3.jpg,../import/soldes_photos/2636350-photophore-raye-bdm/2-636350-4.jpg;;Hauteur:65,Largeur:,Profondeur:,Diamètre:50,Poids:104,Durée de combustion:,Collection:Cœur indigo,Parfum:,Thème:;0;;0;0;0;0;0;1
2634350;1;Coffret bougie décorative cœur tatoué ;77;15,42;1;;1;;35;;;2634350;;;;;;0;0;0;0;0;50;1;;;;;;<p>Bleu, délavé, intense… plongez dans le cœur indigo. Il se dévoile par l’ouverture poétique d’un <strong>coffret à tiroir </strong>. La  <strong>bougie sculptée </strong> d’un cœur tatoué témoigne de l’amour d’une femme pour son alter ego, matelot parti en mer. Une  <strong>bougie romantique </strong> qui fera chavirer les cœurs tendres. <br/> <br/> Avant le retour des marins, faites escale dans notre <a href="/31-cadeaux">gamme Cadeaux</a>.</p>;;Coffret bougie décorative cœur tatoué ;Coffret bougie décorative cœur tatoué ;Le cœur indigo, bougie sculptée d’un cœur tatoué, se dévoile par l’ouverture poétique d’un coffret à tiroir. Une bougie romantique qui fera chavirer les cœurs tendres.;coffret-bougie-décorative-cœur-tatoué;;;1;;2013-01-01;1;../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_8.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_1.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_6.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_5.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_7.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_2.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_3.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_4.jpg,../import/soldes_photos/2634350-bougie-coeur-tatoue-coffret/2-634-350_0.jpg;;Hauteur:75,Largeur:120,Profondeur:120,Diamètre:,Poids:285,Durée de combustion:+/- 20,Tranche de combustion:25 à 35 heures,Collection:Cœur indigo,Parfum:,Thème:;0;;0;0;0;0;0;1
2629350;1;3 bougies parfumées pots en céramique;77;57,5;1;;1;;35;;;2629350;;;;;;0;0;0;0;0;50;1;;;;;;<p> La beauté des choses simples, voilà l’esprit de ces 3 <strong>pots en céramique</strong> aux parfums enivrants de Framboise-capucine, Pêche blanche et Fleur de violette. Une trilogie de <strong>bougies parfumées</strong> certifiées « Création Bougies la Française depuis 1902 ». <br/> <br/> Amateurs d’authenticité, retrouvez la <a href="/17-authentique">collection Authentique</a> qui vous ravira à coup sûr. </p>;;3 bougies parfumées pots en céramique;3 bougies parfumées pots en céramique;3 pots en céramique aux parfums enivrants de Framboise-capucine, Pêche blanche et Fleur de violette. Une trilogie de bougies parfumées certifiées « Création Bougies la Française depuis 1902 ». ;3-bougies-parfumées-pots-en-céramique;;;1;;2013-01-01;1;../import/soldes_photos/2629350-pot-ceramique/2-629-350-0.jpg,../import/soldes_photos/2629350-pot-ceramique/2-629-350-1.jpg,../import/soldes_photos/2629350-pot-ceramique/2-629-350-3.jpg,../import/soldes_photos/2629350-pot-ceramique/2-629-350-2.jpg;;Hauteur:103,Largeur:,Profondeur:,Diamètre:105,Poids:266,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Collection:Champagne charme,Parfum:,Thème:;0;;0;0;0;0;0;1
