Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2600410;1;Bougie décorative galet motif floral 8cm bleu;108,106,105;10,75;1;;0;;;;;2600410;;;;3023676004100;;0;;;;;20;1;;;;;;<p>Contre vents et marées, la <strong>bougie galet bleu</strong> a défié la nature et le phénomène d’érosion pour conserver son originalité : de magnifiques <strong>motifs floraux sculptés à la main</strong>. Et si vous regardez de plus près ? Vous découvrirez l’authenticité des gestes d’un travail minutieux, réalisé au couteau… Pour que chaque <strong>bougie</strong> soit unique…<br/><br/>Imprégnée d’un bleu marin, cette <strong>bougie artisanale</strong> adopte une finition vernie attirant tous les regards… Et pour vous séduire davantage, cette <strong>bougie décorative en forme de galet</strong> s’inspire d’un <strong>style japonais</strong>. Décoration zen et reposante assurée ! <br/><br/>Pour parfumer votre intérieur à l’image de votre décoration, naviguez vers les bougies parfumées de la <a href="/16-slow-time">collection Slow Time</a>. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative galet motif floral bleu;Bougie décorative galet motif floral bleu;La bougie galet bleu s’inspire du style japonais et arbore de magnifiques motifs floraux sculptés à la main. Déco zen assurée !;;;;1;;2015-04-01;1;;0;Hauteur:45,Diamètre:80,Poids:130,Durée de combustion:+/- 12,Tranche de combustion:1 à 15 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600420;1;Bougie décorative ronde motif floral Ø8cm bleu;108,106,105;13,25;1;;0;;;;;2600420;;;;3023676004209;;0;;;;;20;1;;;;;;<p>La mer s’invite dans votre salon à travers cette <strong>bougie ronde</strong>. A l’esprit céramique japonaise, cette <strong>bougie boule</strong> se pare d’une couleur blanc laiteux sur un fond chromatique de bleu. Déposez-la dans votre séjour et imprégnez-vous de son histoire…  <br/><br/>Entièrement <strong>sculptée à la main</strong>, vous pourrez décelez les signes d’un travail méticuleux. Allumée, les motifs floraux de cette <strong>bougie décorative laquée</strong> se font encore plus précieux… Reflet de la flamme et captation de la lumière charment votre regard et embellissent votre intérieur.  Une rondeur assumée et une élégance affirmée font de cette <strong>bougie bleue</strong> un allié de choix dans votre décoration.  <br/><br/>Osez le bleu avec nos <a href="/27-colorama">bougies de couleur</a> !<br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative ronde motif floral bleu;Bougie décorative ronde motif floral bleu;A l’esprit céramique japonaise, cette bougie ronde laquée s’habille de motifs floraux. Sculptée à la main, cette bougie sera un allié de choix dans votre déco.;;;;1;;2015-04-01;1;;0;Hauteur:73,Diamètre:80,Poids:235,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600415;1;Bougie décorative ovale motif floral 9cm bleu;108,106,105;28,75;1;;0;;;;;2600415;;;;3023676004155;;0;;;;;20;1;;;;;;<p>Intégrez des vagues bleues à votre décoration grâce à cette <strong>bougie décorative sculptée à la main</strong>. Façon céramique, cette <strong>bougie déco laquée</strong> s’orne d’une parure nippone bleue et blanc laiteux… Un véritable trompe l’œil lorsque l’on discerne les signes d’une finition 100% artisanale. <br/><br/>La forme ovale et le motif floral japonisant font de cette <strong>bougie bleue</strong> une invitation à la rêverie et à la contemplation. Un excellent moyen de revisiter la décoration de votre salon en y apportant toute l’année les couleurs marines de l’été. <br/><br/>Dans des styles différents, découvrez les autres <a href="/28-bougies-deco">bougies déco</a> de Bougies la Française. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative ovale motif floral bleu;Bougie décorative ovale motif floral bleu;Façon céramique, cette bougie déco laquée bleue se pare de motifs floraux sculptés à la main. Un style japonisant qui vous invite à la rêverie et à la contemplation.;;;;1;;2015-04-01;1;;0;Hauteur:90,Largeur:120,Profondeur:100,Poids:715,Durée de combustion:+/- 70,Tranche de combustion:55 à 75 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600455;0;Bougie décorative poisson motif arabesques 7cm bleu;108,106,105;13,25;1;;0;;;;;2600455;;;;3023676004551;;0;;;;;5;1;;;;;;<p>Un banc de <strong>bougies poissons</strong> s’invite dans votre décoration ! Avec son aspect laqué, cette <strong>bougie déco</strong> semble tout droit sortir de l’océan pour s’installer près d’un nouveau point d’eau. <br/><br/>Aux nuances bleutées, cette <strong>bougie en forme de poisson</strong> revêt de jolies écailles d’arabesques. Une finition entièrement artisanale qui lui donnera davantage de cachet ! <br/><br/>Mixez les tailles avec la <a href="/2600465-bougie-decorative-poisson-moti-arabesques-11cm-bleu.html">bougie décorative poisson 11cm</a> pour une décoration toujours plus originale… Il ne vous reste plus qu’à lui trouver une place de choix. Et pourquoi ne pas la disposer dans votre salle de bain ? Cette <strong>bougie bleue</strong> révèlera un style bord de mer plein d’audace.   <br/><br/>Pour décorer votre salon de <strong>bougies sculptées originales</strong>, rendez-vous dans les <a href="/28-bougies-deco">bougies déco</a>. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative poisson 7cm bleu;Bougie décorative poisson 7cm bleu;Cette bougie bleue en forme de poisson revêt de jolies écailles d’arabesques. Une finition entièrement artisanale qui lui donnera davantage de cachet ! ;;;;1;;2015-04-01;1;;0;Hauteur:70,Largeur:120,Profondeur:60,Poids:160,Durée de combustion:+/- 12,Tranche de combustion:1 à 15 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600465;0;Bougie décorative poisson motif arabesques 11cm bleu;108,106,105;14,08;1;;0;;;;;2600465;;;;3023676004650;;0;;;;;5;1;;;;;;<p>Une fois dans vos mains, cette <strong>bougie poisson</strong> ne risque pas de s’échapper ! Posée ici ou là, cette <strong>bougie bleue</strong> donne l’illusion d’une  véritable céramique en finition vernie. <br/><br/>Objet décoratif étonnant, cette <strong>bougie originale</strong> se pare de reliefs arabesques sculptés de manière artisanale. Et pour encore plus de caractère, les signes d’un travail manuel sont perceptibles… A votre image, chacune de nos <strong>bougies déco</strong> sont uniques ! <br/><br/>Une <strong>bougie</strong> cuisinée façon « poisson laqué » qui apportera un joli souffle marin à votre décoration d’intérieur. <br/><br/>Découvrez plus de <strong>bougies sculptées</strong> en parcourant les <a href="/28-bougies-deco">bougies déco</a>. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative poisson 11cm bleu;Bougie décorative poisson 11cm bleu;Cette bougie poisson apportera un souffle marin à votre déco. Posée ici ou là, cette bougie bleue donne l’illusion d’une  véritable céramique en finition vernie. ;;;;1;;2015-04-01;1;;0;Hauteur:90,Largeur:150,Profondeur:65,Poids:235,Durée de combustion:+/- 25,Tranche de combustion:25 à 35 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600470;1;Bougie décorative ovale motif vague 2 mèches  12,5cm gris perle;108,106,105;24,92;1;;0;;;;;2600470;;;;3023676004704;;0;;;;;15;1;;;;;;<p>Les vagues s’entrechoquent au fil des marées sur cette <strong>bougie décorative ovale</strong>. De couleur gris perle, les motifs de la <strong>bougie sculptée</strong> sont en relief et peintes à la main pour donner davantage de réalisme à ce ballet marin. <strong>Ornée de 2 mèches</strong>, les sources de lumière s’accumulent pour une décoration deux fois plus intense.  <br/><br/>Donnez une odeur à votre décoration avec notre gamme de <a href="/50-diffuseurs-parfumes">diffuseurs parfumés</a> ! <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative ovale motif vague 2 mèches ;Bougie décorative ovale motif vague 2 mèches ;De couleur gris perle, les motifs de la bougie décorative sont sculptés en relief et peints à la main pour donner davantage de réalisme à ce ballet marin.;;;;1;;2015-04-01;1;;0;Hauteur:125,Largeur:80,Profondeur:150,Poids:1060,Durée de combustion:+/- 60,Tranche de combustion:55 à 75 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600435;1;Bougie décorative galet motif rosace 17cm gris perle;108,106,105;15,42;1;;0;;;;;2600435;;;;3023676004353;;0;;;;;20;1;;;;;;<p>Du haut de ses 17cm, la <strong>bougie galet gris perle</strong> donne sans conteste du volume à votre décoration intérieure. Aussi originale qu’élégante, cette <strong>bougie sculptée</strong> s’habille de rosaces orientales à l’effet patiné pour devenir un véritable objet de décoration. <br/><br/>Entre contemplation et rêves d’évasion, cette <strong>bougie grise</strong> trouvera facilement sa place parmi vos propres galets customisés pour faire durer l’été toute l’année. <br/><br/>Optez pour une décoration marine avec les <strong>bougies décoratives</strong>, les bougies parfumées et les photophores de la collection <a href="/106-mixed-indigo">Mixed indigo. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative galet 17cm gris;Bougie décorative galet 17cm gris;Aussi originale qu’élégante, cette bougie galet est sculptée de rosaces orientales à l’effet patiné pour devenir un véritable objet de décoration. ;;;;1;;2015-04-01;1;;0;Hauteur:170,Largeur:95,Profondeur:70,Poids:520,Durée de combustion:+/- 40,Tranche de combustion:35 à 45 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600430;1;Bougie décorative galet motif rosace 12,5cm gris perle;108,106,105;13,25;1;;0;;;;;2600430;;;;3023676004308;;0;;;;;5;1;;;;;;<p>Donnez un esprit oriental à votre décoration intérieure grâce à cette <strong>bougie gris perle</strong>. En forme de galet, cette <strong>bougie décorative grise</strong> tire toute son originalité de des motifs blancs à l’effet patiné positionnés sur ces 2 faces. Ornée de rosaces typiques, cette <strong>bougie sculptée à la main</strong> témoigne du travail artisanal et minutieux de son créateur. <br/><br/>Offrez à cette <strong>bougie en forme de galet</strong> une place de choix dans votre décoration et laissez libre court à votre imagination… Et si vous ajoutiez ici ou là quelques <a href="/2600425-bougie-decorative-galet-motif-rosace-10-5cm-gris-perle.html">bougies galets 10cm</a> et quelques trouvailles ramassées le long d’une plage de sable fin ? Bienvenue dans un univers d’évasion ! <br/><br/>Installez un peu plus l’Orient dans votre décoration avec nos <a href="/54-diffuseurs-orientaux">diffuseurs parfumés orientaux</a>. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative galet 12,5cm gris;Bougie décorative galet 12,5cm gris;En forme de galet, cette bougie décorative grise tire toute son originalité de des motifs orientaux blancs à l’effet patiné positionnés sur ces 2 faces.;;;;1;;2015-04-01;1;;0;Hauteur:80,Largeur:125,Profondeur:110,Poids:455,Durée de combustion:+/- 35,Tranche de combustion:35 à 45 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600425;1;Bougie décorative galet motif rosace Ø 10,5cm gris perle;108,106,105;10,75;1;;0;;;;;2600425;;;;3023676004254;;0;;;;;10;1;;;;;;<p>Transportée par une rivière jusqu’à votre salon, cette <strong>bougie galet</strong> n’a pas perdu de sa superbe.  Sa couleur gris perle, son effet cristallisé et ses formes arrondies font de cette <strong>bougie sculptée</strong>  un véritable atout « douceur » pour votre décoration. <br/><br/>Et si vous allumiez sa mèche ? La rosace orientale de cette <strong>bougie artisanale</strong>  sera alors mise en lumière… Dévoilant toute la splendeur de cette création…<br/><br/>Le gris s’accorde facilement à toutes les tonalités ! N’hésitez pas à rehausser les couleurs avec notre collection de <a href="/28-bougies-deco">bougies déco colorées</a>. <br/><br/>Design : Made in France. Bougie artisanale fabriquée à la main. </p>;;Bougie décorative galet Ø10,5cm gris;Bougie décorative galet Ø10,5cm gris;Sa couleur grise, son effet cristallisé et ses formes arrondies font de cette bougie décorative sculptée un véritable atout « douceur » pour votre décoration.;;;;1;;2015-04-01;1;;0;Hauteur:55,Diamètre:105,Poids:265,Durée de combustion:+/- 30,Tranche de combustion:25 à 35 heures,Type de produit:Bougies décoratives,Collection:Mixed Indigo;0;;0;0;0;0;0;1
2600520;0;Bougie parfumée d’extérieur XL céramique 75h citronnelle ;107,106,105;47,5;1;;0;;;;;2600520;;;;3023676005206;;0;;;;;0;1;;;;;;<p>Vos extérieurs se parent de leurs plus beaux atouts grâce à cette <strong>bougie citronnelle</strong>. Dans un format XL, ce pot en céramique s’inspire des plus belles faïences découvertes lors d’un voyage à travers les îles grecques. Orné de bleu et de blanc, ce bel objet déco n’en est pas moins une <strong>bougie parfumée à la citronnelle</strong>… Une promesse vers de belles échappées à travers les paysages de Santorin !<br/><br/>Disposée dans votre jardin ou au bord de votre piscine, cette <strong>bougie senteur citronnelle</strong> vous garantit la diffusion de son parfum pendant 75h… Une <strong>bougie d’extérieur longue durée</strong> qui vous permet de prolonger vos soirées. De forme carrée, cette <strong>bougie à la citronnelle</strong> sera votre meilleure alliée pour vos veillées d’été ! <br/><br/>Découvrez l’ensemble de la collection <a href="/106-mixed-indigo">Mixed Indigo</a> pour décorer aussi votre intérieur. <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Citronnelle. </p>;;Bougie parfumée d’extérieur 75h citronnelle ;Bougie parfumée d’extérieur 75h citronnelle ;Cette bougie d’extérieur s’habille d’une céramique bleue et blanche. Dans votre jardin, cette bougie à la citronnelle diffuse son parfum pendant 75h !;;;;1;;2015-04-01;1;;0;Hauteur:160,Largeur:140,Profondeur:140,Poids:920,Durée de combustion:+/- 75,Tranche de combustion:55 à 75 heures,Type de produit:Bougies parfumées d'extérieur,Collection:Mixed Indigo,Parfum:Citronnelle,Famille olfactive:Hespéridée;0;;0;0;0;0;0;1
