Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2381495;1;Bougie parfumée boîte à thé 55h jasmin coquin;43,41,29,27;15,42;1;;0;;;;;2381495;;;;3023673814955;;0;;;;;20;1;;;;;;<p>Les imprimés triangles habillent nos <strong>bougies parfumées</strong> et donnent vie à votre déco. Ici ou là, la <strong>bougie parfumée boîte à thé jasmin coquin</strong> fait la part belle à votre salon. Extrêmement tendance, cette <strong>bougie senteur jasmin</strong> devient la pièce phare de votre intérieur.<br/><br/>Dans une somptueuse mélodie florale, la <strong>bougie jasmin</strong> révèle l’éclat d’une petite fleur blanche. Les premières notes dévoilent le velouté de pétales de roses. Telle une magnifique cascade de fleurs, le jasmin est sublimé en son cœur, semant un accord floral délicieusement fruité. Enfin, les dernières notes se posent sur un fond doux et poudré… Dévoilant le côté coquin de cette <strong>bougie parfumée senteur florale</strong>. Une bougie estampillée BLF, pour une découverte olfactive des plus poétiques ! <br/><br/>Plongez dans un univers chic et poétique avec toute la collection de bougies parfumées, diffuseurs et encens <a href="/29-parfums-et-fantaisies" >Parfums et fantaisies</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Jasmin coquin.</p>;;Bougie parfumée boîte à thé jasmin;Bougie parfumée boîte à thé jasmin;Dans une somptueuse mélodie florale, la bougie parfumée boite à thé jasmin révèle l’éclat d’une petite fleur blanche dans un design ultra tendance.;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Jasmin coquin,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381460;1;Bougie parfumée boîte à thé 55h pivoine écarlate;43,41,29,27;15,42;1;;0;;;;;2381460;;;;3023673814603;;0;;;;;20;1;;;;;;<p>Triangles, losanges et théorèmes de Pythagore… Les <strong>motifs géométriques</strong> s’invitent dans votre déco ! Et si vous optez pour la <strong>bougie parfumée boîte à thé pivoine écarlate</strong> ? Vous serez certain d’embaumer votre pièce en suivant la tendance phare du moment !<br/><br/>Bienvenue dans un univers olfactif des plus romantiques ! La <strong>bougie parfumée senteur pivoine</strong> sublime cette jolie fleur rose que vous appréciez tant… Saupoudrés de senteurs de rose et d’ylang ylang, les premiers accords de cette <strong>bougie pivoine</strong> se font frais et  rosés. Peu à peu, le <strong>parfum de pivoine</strong> se magnifie sur la douceur d’un cœur floral se dévoile… Pour finir en apothéose de subtiles senteurs boisées…<br/><br/> Parfumez votre intérieur de poésie avec toutes nos <a href="/43-bougies-florales" >bougies parfumées florales</a>.   <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Pivoine écarlate.</p>;;Bougie parfumée boîte à thé pivoine;Bougie parfumée boîte à thé pivoine;La bougie parfumée senteur pivoine sublime cette jolie fleur rose que vous appréciez tant dans un design ultra tendance.;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Pivoine écarlate,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381490;1;Bougie parfumée boîte à thé 65h amande jolie;43,45,41,29,27;15,42;1;;0;;;;;2381490;;;;3023673814900;;0;;;;;20;1;;;;;;<p>Derrière ce graphisme audacieux, la <strong>bougie parfumée boîte à thé amande jolie</strong> place votre habitat sous le signe de la délicatesse. Une nuance de couleurs vertes et terreuses, pour un design tout en finesse… Qui se rapproche toujours plus de la nature. <br/><br/>Dans un sillage d’une extrême douceur, la <strong>bougie senteur amande</strong> s’ouvre sur le velouté d’une jolie fleur d’amandier. En cœur, les effluves d’amande de cette <strong> bougie parfumée</strong> s’entourent d’accords floraux, pour finalement se lover dans la gourmandise d’un trait de noix de coco vanillé.<br/><br/>Et pour toujours plus de douceur, découvrez toute notre collection de <a href="/88-bougies-poudrees" >bougies parfumées poudrées</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Amande jolie. </p>;;Bougie parfumée boîte à thé amande;Bougie parfumée boîte à thé amande;Derrière ce graphisme audacieux, la bougie parfumée boîte à thé amande jolie place votre habitat sous le signe de la délicatesse.;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Amande jolie,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381475;1;Bougie parfumée boîte à thé 65h figue mutine;47,41,29,27;15,42;1;;0;;;;;2381475;;;;3023673814757;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée boîte à thé figue mutine</strong> mêle habillement imprimés géométriques et illustrations végétales. Une tendance « équilatérale » très actuelle qui place votre <strong>bougie parfumée fruitée</strong> au cœur de décor !<br/><br/>Succombez pour le parfum ensoleillé de cette <strong>bougie senteur figue</strong> ! Dans la mélodie d’une exquise senteur, cette <strong>bougie parfumée</strong> révèle un parfum un tantinet mutin. Portées par des accords frais et fruités, les effluves de cette <strong>bougie senteur fruitée</strong> dévoilent les arômes de délicieuses figues juteuses et ensoleillées… S’enveloppant doucement dans l’élégance d’un fond boisé… <br/><br/>De la mandarine à la mûre, craquez pour toutes nos <a href="/47-bougies-fruitees" >bougies parfumées fruitées</a> !  <br/><br/>Bougie parfumée fabriquée en France. Parfum : Figue mutine. </p>;;Bougie parfumée boîte à thé figue;Bougie parfumée boîte à thé figue;Succombez pour le parfum ensoleillé de cette bougie senteur figue ! Une bougie parfumée en forme de boîte à thé pour un design ultra tendance !;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Figue mutine,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
2381470;1;Bougie parfumée boîte à thé 65h love patchouli;44,45,41,29,27;15,42;1;;0;;;;;2381470;;;;3023673814702;;0;;;;;20;1;;;;;;<p>Vêtue d’un imprimé végétal et de motifs géométriques, la <strong>bougie parfumée boîte à thé love patchouli</strong> se permet quelques fantaisies ! Une arabesque de rosace signe le côté oriental de son parfum. <br/><br/> Retrouvez toute l’intensité du patchouli à travers cette <strong>bougie boîte à thé</strong>. Le sillage unique de cette <strong>bougie parfumée senteur boisée</strong> révèle une ambiance chaleureuse aux nuances vertes et terreuses. Sublimée par la sauge et les aiguilles de pin, enveloppée par la caresse de la vanille et du labdanum, cette <strong>bougie patchouli</strong> libère une senteur orientale inattendue… <br/> <br/> Les senteurs d’ailleurs vous font voyager ? Découvrez toutes nos <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/> <br/>Bougie parfumée fabriquée en France. Parfum : Love Patchouli. </p>;;Bougie parfumée boîte à thé patchouli;Bougie parfumée boîte à thé patchouli;Retrouvez toute l’intensité du patchouli à travers cette bougie parfumée. Ultra tendance, cette bougie parfumée se présente dans une boîte à thé colorée ! ;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Love patchouli,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381465;1;Bougie parfumée boîte à thé 55h tiaré sunshine;45,41,29,27;15,42;1;;0;;;;;2381465;;;;3023673814658;;0;;;;;20;1;;;;;;<p>« Tiaré sunshine »… Le nom de cette <strong>bougie parfumée boîte à thé</strong> vous fait déjà voyager… Comme un rappel à sa fragrance solaire, cette <strong>bougie parfumée</strong> s’habille de jolies fleurs de Tahiti et de motifs géométriques. De petites notes de bleu et de jaune dans une évocation des îles de l’autre bout du monde… <br/><br/>Avec cette <strong>bougie parfumée senteur tiaré</strong>, l’ambiance de votre salon prend des allures de vacances d’été. Mêlant fleurs de tiaré, ylang ylang, fleurs d’oranger, vanille, miel et noix de coco, cette <strong>bougie parfumée</strong> dévoile les senteurs enivrantes de monoï… Promesse d’un instant d’évasion…<br/><br/>Succombez à toutes vos envies d’ailleurs avec toute notre collection de <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/> <br/>Bougie parfumée fabriquée en France. Parfum : Tiaré sunshine. </p>;;Bougie parfumée boîte à thé tiaré;Bougie parfumée boîte à thé tiaré;Comme un rappel à sa fragrance solaire, cette bougie parfumée boite à thé s’habille de fleurs de Tahiti et de motifs géométriques pour devenir ultra tendance !;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Tiaré sunshine,Famille olfactive:Orientale;0;;0;0;0;0;0;1
2381455;1;Bougie parfumée boîte à thé 65h vanille addict;42,41,29,27;15,42;1;;0;;;;;2381455;;;;3023673814559;;0;;;;;20;1;;;;;;<p>Originale et raffinée, la <strong>bougie parfumée boîte à thé vanille addict</strong> vous fera craquer ! Dans un design audacieux, cette <strong>bougie parfumée vanille</strong> mixe graphisme élégant et couleurs naturelles. Belle idée déco, cette jolie <strong>bougie à la vanille</strong> se dispose où vous le souhaitez.<br/><br/>Cette <strong>bougie senteur vanille</strong> vous plongera dans les caprices d’un instant de délices. Revêtue d’une robe de vanille subtilement saupoudrée d’éclats de caramel, cette <strong>bougie design</strong> est un véritable régal olfactif ! <br/><br/>Pour continuer à craquer sans croquer rendez-vous dans notre collection de nos <a href="/42-bougies-gourmandes" >bougies parfumées gourmandes</a> ! <br/><br/>Bougie parfumée fabriquée en France. Parfum : Vanille addict. </p>;;Bougie parfumée boîte à thé vanille;Bougie parfumée boîte à thé vanille;Dans un design audacieux, cette bougie parfumée boite à thé vanille vous dévoile un parfum de réelle gourmandise !;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Vanille addict,Famille olfactive:Gourmande;0;;0;0;0;0;0;1
2381450;1;Bougie parfumée boîte à thé 65h coton tout doux;88,41,29,27;15,42;1;;0;;;;;2381450;;;;3023673814504;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée boîte à thé coton tout doux</strong> révèle un graphisme de délicatesse… Ponctuée de bleu et rose poudrés sur fond d’illustration végétale, les motifs triangulaires de cette <strong>bougie parfumée</strong> deviennent tendres et délicats… A l’image de sa senteur… <br/><br/>La <strong>bougie parfumée coton</strong> est la signature d’un univers olfactif empreint de douceur. Tour à tour, les facettes florales, rosées, vanillées et musquées vous emporte dans un monde de fraîcheur. Avec sa senteur réconfortante, cette  <strong>bougie parfumée</strong> devient l’accessoire idéal d’une ambiance cocooning soignée.<br/><br/>Continuez votre quête de douceur avec toute notre collection de <a href="/52-diffuseurs-floraux>diffuseurs floraux</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Coton tout doux. </p>;;Bougie parfumée boîte à thé coton ;Bougie parfumée boîte à thé coton ;La bougie parfumée boite à thé coton est la signature d’un univers olfactif empreint de douceur. Son parfum et design audacieux vous feront craquer ! ;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Coton tout doux,Famille olfactive:Poudrée;0;;0;0;0;0;0;1
2381480;1;Bougie parfumée boîte à thé 65h thé enchanté;45,41,29,27;15,42;1;;0;;;;;2381480;;;;3023673814801;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée boîte à thé</strong> vous emporte dans un monde enchanteur… Vêtue d’un graphisme élégant, cette <strong>bougie parfumée</strong> colore vos étagères de jolies teintes naturelles.<br/><br/>Retirez le couvercle de cette <strong>bougie parfumée senteur thé vert</strong> et profitez d’une fragrance subtile et délicate. Ses premières notes d’agrumes vous emporte dans une ambiance fraiche et lumineuse... Tandis que le parfum s’infuse de thé et d’accords boisés… Vous entrainant dans un univers ressourçant. <br/><br/>Plongez votre intérieur dans ambiance dédiée au bien-être avec tout notre collection de <a href="/21-la-nature" >bougies parfumées et diffuseurs La nature</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Thé enchanté. </p>;;Bougie parfumée boîte à thé thé;Bougie parfumée boîte à thé thé;Avec la bougie parfumée senteur thé vert, profitez d’une fragrance subtile et délicate. En plus de sa délicate senteur, son design audacieux vous fera craquer !;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Thé enchanté,Famille olfactive:Orientale;0;;0;0;0;0;0;1
2381485;1;Bougie parfumée boîte à thé 65h rouge cerise;47,41,29,27;15,42;1;;0;;;;;2381485;;;;3023673814856;;0;;;;;20;1;;;;;;<p>L’imprimé de cette <strong>bougie parfumée boîte à thé</strong> en dit long sur sa fragrance… Ponctuée de cerises et de motifs triangulaires colorés, cette <strong>bougie parfumée</strong> révèle un univers végétal magnifié ! <br/><br/>Avec cette <strong>bougie parfumée à la cerise</strong>, retrouvez toute l’intensité d’un délicieux fruit d’été. Dans une mélodie de saveurs, cette <strong>bougie senteur fruitée</strong> dévoile le sillage d’un panier de cerises fraîchement cueillies. Note centrale de la fragrance, le <strong>parfum de cerise</strong> est sublimée par de subtils accords de fruits rouges, et la caresse de notes lactées et vanillées. <br/><br/>« Dégustez » votre fruit préféré avec toutes nos <a href="/47-bougies-fruitees" >bougies parfumées fruitées</a> !  <br/><br/>Bougie parfumée fabriquée en France. Parfum : Rouge cerise. </p>;;Bougie parfumée boîte à thé cerise;Bougie parfumée boîte à thé cerise;Avec cette bougie parfumée à la cerise, retrouvez toute l’intensité d’un délicieux fruit d’été. Une bougie parfumée à croquer, un design à craquer !;;;;1;;2015-04-07;1;;0;Hauteur:110,Diamètre:90,Poids:370,Durée de combustion:+/- 50,Tranche de combustion:45 à 55 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Rouge cerise,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
