Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2381695;1;Bougie parfumée 20h jasmin coquin;43,41,29,27;9,17;1;;0;;;;;2381695;;;;3023673816959;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée jasmin coquin</strong> adopte la tendance des formes géométriques aux nuances pastel… Et, sur fond de toile végétale, c’est toute la nature qui est sublimée… <br/><br/>La <strong>bougie parfumée senteur jasmin</strong> révèle toute la délicatesse de cette petite fleur… Diffusant dans votre pièce un magnifique accord floral, cette <strong>bougie au jasmin</strong> sème une ambiance poétique. Subtilement fruitée, la fragrance de cette <strong>bougie florale</strong> dévoile un fond doux et poudré… <br/><br/>Vous êtes en quête de romantisme ? Découvrez toutes nos <a href="/43-bougies-florales" >bougies parfumées florales</a> ! <br/><br/>Bougie parfumée fabriquée en France. Parfum de Grasse : Jasmin coquin.</p>;;Bougie parfumée 20h jasmin ;Bougie parfumée 20h jasmin ;La bougie parfumée jasmin révèle toute la délicatesse d’une ambiance poétique… Diffusant un magnifique parfum floral, elle sublime votre pièce en un instant.;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Jasmin coquin,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381660;1;Bougie parfumée 20h pivoine écarlate;43,41,29,27;9,17;1;;0;;;;;2381660;;;;3023673816607;;0;;;;;20;1;;;;;;<p>Vêtue d’un imprimé de mosaïques roses et de jolies illustrations florales, la <strong>bougie parfumée pivoine écarlate</strong> habille votre intérieur de sa plus tendre douceur. Idéale pour sublimer la féminité de votre chambre, cette <strong>bougie parfumée senteur pivoine</strong> révèle une ambiance empreinte de romantisme… <br/><br/>Agrémentée de rose et d’ylang ylang, les premiers accords de cette <strong>bougie parfumée</strong> dévoilent un univers de poésie. Doucement, la <strong>senteur de pivoine</strong> se réveille en son cœur… Et se magnifie sur un fond aux nuances boisées. <br/><br/>Parfumez chacune des pièces de votre maison de senteurs romantiques avec toute notre collection de <a href="/43-bougies-florales" >bougies parfumées florales</a> ! <br/><br/>Bougie parfumée fabriquée en France. Parfum : Pivoine écarlate.</p>;;Bougie parfumée 20h pivoine ;Bougie parfumée 20h pivoine ;Idéale pour sublimer la féminité de votre chambre, cette bougie parfumée senteur pivoine révèle une ambiance empreinte de romantisme.;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Pivoine écarlate,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381690;1;Bougie parfumée 20h amande jolie;43,42,41,29,27;9,17;1;;0;;;;;2381690;;;;3023673816904;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée amande jolie</strong> place votre intérieur sous le signe du règne végétal. Croquis d’amandes et motifs géométriques aux nuances vertes et terreuses… Cette  <strong>bougie parfumée à l’amande</strong> sublime en un instant la beauté de la nature. <br/><br/>Une fragrance synonyme de douceur… Dès les premières notes, cette <strong>bougie parfumée</strong> révèle la senteur de la fleur d’amandier. La délicatesse de notes florales se dévoile… Tandis que de subtils accords de noix de coco et de vanille embaume cette <strong>bougie senteur amande</strong> d’une pointe de gourmandise. <br/><br/>Jouez la carte de la douceur dans toutes les pièces de votre habitat avec notre collection de <a href="/88-bougies-poudrees" >bougies parfumées poudrées</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Amande jolie. </p>;;Bougie parfumée 20h amande ;Bougie parfumée 20h amande ;La bougie parfumée amande jolie place votre intérieur sous le signe du règne floral. Utilisez cette bougie parfumée pour une ambiance pleine de douceur.;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Amande jolie,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381675;1;Bougie parfumée 20h figue mutine;47,41,29,27;9,17;1;;0;;;;;2381675;;;;3023673816751;;0;;;;;20;1;;;;;;<p>Avec son imprimé graphique au décor végétal, la <strong>bougie parfumée figue mutine</strong> fait la part belle aux motifs aux trois côtés. Déposez cette <strong>bougie senteur figue</strong> dans votre cuisine et rythmez instantanément votre décor ! <br/><br/>Craquez pour la <strong>senteur fruitée</strong> de cette <strong>bougie parfumée</strong> ! Dès les premières notes, cette <strong>bougie à la figue</strong> libère une explosion d’arômes fruités. Un <strong>parfum de figue</strong> délicieusement ensoleillé qui s’enroule peu à peu dans l’élégance d’accords boisés. <br/><br/>Agrémentez votre intérieur de succulents paniers fruités avec toutes nos <a href="/47-bougies-fruitees" >bougies parfumées aux senteurs de fruits</a> !  <br/><br/>Bougie parfumée fabriquée en France. Parfum : Figue mutine. </p>;;Bougie parfumée 20h figue ;Bougie parfumée 20h figue ;Craquez pour la senteur fruitée de cette bougie parfumée à la figue… Et installez dans votre pièce un parfum fruité délicieusement ensoleillé !;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Figue mutine,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
2381670;1;Bougie parfumée 20h love patchouli;44,45,41,29,27;9,17;1;;0;;;;;2381670;;;;3023673816706;;0;;;;;20;1;;;;;;<p>Habillée d’une fresque végétale ponctuée de motifs géométriques, la <strong>bougie parfumée love patchouli</strong> l’accessoire tendance de votre décor. Et si vous allumez la mèche de cette <strong>bougie senteur patchouli</strong> ? Votre pièce se pare d’une ambiance olfactive au sillage unique ! <br/><br/>Dès ses premières notes, cette <strong>bougie parfumée</strong> libère les senteurs si distinctives du patchouli. En son cœur, le <strong>parfum patchouli</strong> est sublimé par les notes vertes de sauge et d’aiguille de pin… Pour se lover dans la sensualité de nuances vanillées… Dotée de facettes orientales, cette <strong>bougie patchouli</strong> vous guide dans un voyage olfactif intense… <br/><br/>Parfumez votre intérieur de senteurs exotiques avec toutes nos <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/> <br/>Bougie parfumée fabriquée en France. Parfum : Love Patchouli. </p>;;Bougie parfumée 20h patchouli;Bougie parfumée 20h patchouli;Cette bougie parfumée libère les senteurs si distinctives du patchouli. Aux facettes orientales, cette bougie patchouli vous guide dans un voyage olfactif intense…;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Love patchouli,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381665;1;Bougie parfumée 20h tiaré sunshine;45,43,41,29,27;9,17;1;;0;;;;;2381665;;;;3023673816652;;0;;;;;20;1;;;;;;<p>Dans un design audacieux, la <strong>bougie parfumée tiaré sunshine</strong> fait la part belle à votre décoration. Dévoilant une fragrance qui vous emporte sur les plages lointaines et ensoleillées, cette <strong>bougie parfumée</strong> saura vous faire voyager ! <br/><br/>Avec cette <strong>bougie senteur tiaré</strong>, prolongez vos plus beaux souvenirs d’été… Sublimant la fleur de tiaré, cette <strong>bougie parfumée</strong> exhale la douceur des îles… Une senteur de monoï, un parfum solaire, pour une fragrance d’évasion… <br/><br/>Continuez votre voyage olfactif à travers toutes nos <a href="/45-bougies-orientales" >bougies parfumées orientales</a> ! <br/> <br/>Bougie parfumée fabriquée en France. Parfum : Tiaré sunshine. </p>;;Bougie parfumée 20h tiaré;Bougie parfumée 20h tiaré;Cette bougie parfumée tiaré saura vous faire voyager ! Dévoilant une parfum de monoï, cette bougie parfumée vous emporte sur les plages ensoleillées. ;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Tiaré sunshine,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381655;1;Bougie parfumée 20h vanille addict;42,49,41,29,27;9,17;1;;0;;;;;2381655;;;;3023673816553;;0;;;;;20;1;;;;;;<p>Succombez à la tentation de son parfum d’addiction ! La <strong>bougie parfumée vanille addict</strong> libère toute la gourmandise de la <strong>senteur vanillée</strong>. A travers un design « plus vrai que nature », cette <strong>bougie à la vanille</strong> se meut en objet de convoitise ! <br/> <br/>Chaude, suave et sucrée, la fragrance de cette <strong>bougie parfumée</strong> est un véritable caprice… Et saupoudrée de caramel, cette <strong>bougie vanille</strong> place votre intérieur sous le signe d’irrésistibles instants de délices… <br/> <br/>Craquez pour toutes petites douceurs d’intérieur avec notre collection de  <a href="/42-bougies-gourmandes" >bougies parfumées gourmandes</a> ! <br/><br/>Bougie parfumée fabriquée en France. Parfum : Vanille addict. </p>;;Bougie parfumée 20h vanille addict;Bougie parfumée 20h vanille addict;La bougie parfumée vanille libère toute la gourmandise de la senteur de vanille. Suave et sucrée, la fragrance de cette bougie parfumée est un véritable caprice !;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Vanille addict,Famille olfactive:Gourmande;0;;0;0;0;0;0;1
2381650;1;Bougie parfumée 20h coton tout doux;88,43,41,29,27;9,17;1;;0;;;;;2381650;;;;3023673816508;;0;;;;;20;1;;;;;;<p>Vêtue d’un imprimé aux tonalités douces et colorées, la <strong>bougie parfumée coton tout doux</strong> habille votre intérieur avec délicatesse et originalité. Ces motifs triangulaires aux couleurs poudrées invitent la fraîcheur à se faufiler sur le mobilier de toute votre maison ! <br/> <br/>Nuancée de fragrances florales, vanillées et musquées, cette <strong>bougie parfumée coton</strong> vous entraine dans un monde de tendresse ! Le sillage soyeux de cette <strong>bougie parfumée senteur coton</strong> compose les premiers fondements d’un univers propice au cocooning de votre habitat…  <br/> <br/>Et pour encore plus de douceur, découvrez toute notre collection de <a href="/88-bougies-poudrees" >bougies parfumées poudrées</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Coton tout doux. </p>;;Bougie parfumée 20h coton;Bougie parfumée 20h coton;La bougie parfumée coton habille votre intérieur avec délicatesse et originalité. Un parfum aux nuances florales vous entraine dans un univers de tendresse !;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Coton tout doux,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381680;1;Bougie parfumée 20h thé enchanté;44,49,41,29,27;9,17;1;;0;;;;;2381680;;;;3023673816805;;0;;;;;20;1;;;;;;<p>A l’imprimé tendance et réaliste, la <strong>bougie parfumée thé enchanté</strong> installe de jolies notes graphiques dans votre habitat. Un design aux couleurs de la nature qui vous promet une belle découverte sensorielle… <br/> <br/>La <strong>bougie parfumée au thé</strong> vous emporte dans un univers dédié au bien-être. Cette <strong>bougie parfumée</strong> révèle de premiers accords agrumes… Votre pièce se pare de fragrances fraîches et lumineuses. Un cœur de thé vert nuancé se dévoile… Vous ouvrant les portes d’un monde ressourçant. Tandis que le fond boisé de cette <strong>bougie senteur thé</strong> vous engage dans une fragrance enchanteresse. <br/> <br/>Pour un retour au naturel, découvrez toute notre collection de <a href="/21-la-nature" >bougies parfumées et diffuseurs La nature</a>.<br/><br/>Bougie parfumée fabriquée en France. Parfum : Thé enchanté. </p>;;Bougie parfumée 20h thé;Bougie parfumée 20h thé;La bougie parfumée au thé vous emporte dans un univers de bien-être. A l’imprimé tendance et réaliste, cette bougie parfumée vous promet une découverte sensorielle.;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Thé enchanté,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381685;1;Bougie parfumée 20h rouge cerise;47,41,29,27;9,17;1;;0;;;;;2381685;;;;3023673816850;;0;;;;;20;1;;;;;;<p>La <strong>bougie parfumée rouge cerise</strong> réveille en un instant la déco de votre intérieur. Tendance et dynamique, cette <strong>bougie parfumée à la cerise</strong> ose mixer les motifs triangulaires et les illustrations végétales… Un plaisir pour visuel, un régal olfactif… <br/> <br/>Toute en gourmandise, cette <strong>bougie parfumée fruitée</strong> dévoile les meilleurs saveurs d’un panier de cerise. Sublimée par de subtils notes de fruits rouges, cette <strong>bougie senteur cerise</strong> annonce une facette un tantinet taquine… Tandis que ses dernières nuances lactées et vanillées révèlent les arômes d’un parfum de délices. <br/> <br/>Profitez de vos fruits préférés toute l’année avec notre collection de <a href="/47-bougies-fruitees" >bougies parfumées fruitées</a> !  <br/><br/>Bougie parfumée fabriquée en France. Parfum : Rouge cerise. </p>;;Bougie parfumée 20h cerise;Bougie parfumée 20h cerise;La bougie parfumée cerise réveille en un instant votre déco. Toute en gourmandise, cette bougie fruitée dévoile les meilleures saveurs d’un panier de cerise.;;;;1;;2015-04-08;1;;0;Hauteur:64,Diamètre:70,Poids:140,Durée de combustion:+/- 20,Tranche de combustion:15 à 25 heures,Type de produit:Bougies parfumées,Collection:Parfum et fantaisie,Parfum:Rouge cerise,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
