Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2381795;1;Recharge de diffuseur de parfum 100ml jasmin coquin;61,64,29,27;8,58;1;;0;;;;;2381795;;;;3023673817956;;0;;;;;20;1;;;;;;<p>Fidèle au romantisme, la <strong>recharge de diffuseur de parfum jasmin coquin</strong> vous plonge dans une ambiance de séduction… Et si vous disposez déjà du flacon ? Elle prolongera l’utilisation de votre <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a>. <br/><br/>Dévoilant la douceur d’une fragrance florale, ce <strong>parfum d’intérieur</strong> sublime la beauté du jasmin. Une fragrance de charme magnifiée par de légères notes fruitées… Se posant sur la tendresse d’un fond poudré. La <strong>recharge de diffuseur de parfum senteur jasmin</strong> transpose immédiatement votre pièce dans une ambiance empreinte de féminité… Il ne vous laisse plus qu’à vous laisser séduire !<br/><br/>Aux senteurs fruitées, florales ou orientales, les ambiances féminines se font multiples pour vous envoûter davantage… Découvrez dès à présent toutes nos <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Jasmin coquin. </p>;;Recharge de diffuseur de parfum jasmin;Recharge de diffuseur de parfum jasmin;La recharge de diffuseur de parfum jasmin vous plonge dans une ambiance de séduction. Une senteur féminine et florale se diffuse pendant 4 semaines !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Jasmin coquin,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381760;1;Recharge de diffuseur de parfum 100ml pivoine écarlate;61,64,29,27;8,58;1;;0;;;;;2381760;;;;3023673817604;;0;;;;;20;1;;;;;;<p>Il suffit parfois d’une simple senteur pour personnaliser l’ambiance de votre intérieur… Et si vous optez pour la <strong>recharge de diffuseur de parfum pivoine écarlate</strong> ? Votre pièce se pare d’une lumineuse féminité ! <br/><br/>A travers un magnifique accord floral de rose et d’ylang ylang, la senteur de ce <strong>parfum d’intérieur</strong> dévoile une fragrance fraîche et délicate. Le <strong>parfum de pivoine</strong> se révèle peu à peu… Entre tendresse et élégance, le fond boisé de ce <strong>parfum d’intérieur</strong> éclaire sa note… Une pivoine écarlate qui ne demande qu’un flacon de <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a> et quelques <a href="/63-tiges" >tiges en rotin</a> pour être utilisée… <br/><br/>Vous êtes en quête de senteurs résolument féminines ? Découvrez toute notre collection de <a href="/61-recharges-florales" >recharges de parfum florales</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Pivoine écarlate. </p>;;Recharge de diffuseur de parfum pivoine;Recharge de diffuseur de parfum pivoine;A travers un magnifique accord floral, la senteur de cette recharge de diffuseur de parfum jasmin dévoile une fragrance fraîche et délicate.;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Pivoine écarlate,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381790;1;Recharge de diffuseur de parfum 100ml amande jolie;61,86,64,29,27;8,58;1;;0;;;;;2381790;;;;3023673817901;;0;;;;;20;1;;;;;;<p>Le parfum révèle une facette de votre personnalité… Et si vous utilisez les <strong>parfums d’ambiance</strong> pour « habiller » votre intérieur ? C’est une partie de vous que vous révélez… <br/><br/>La <strong>recharge de diffuseur de parfum amande jolie</strong> vous entraîne dans une atmosphère chic et poétique. Composée autour de la fleur d’amandier, ce <strong>parfum d’ambiance</strong> diffuse une senteur tendre et veloutée… Et enrichie de noix de coco et de vanille, s’ouvre sur un univers de caprices. Une fragrance florale pleine de gourmandise pour un <strong>parfum d’intérieur</strong> qui ne ressemble qu’à vous… <br/><br/>Composez le décor olfactif de chacune des pièces de votre maison avec toute notre collection de <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Amande jolie. </p>;;Recharge de diffuseur de parfum amande;Recharge de diffuseur de parfum amande;La recharge de diffuseur de parfum amande vous entraîne dans une atmosphère poétique… Diffusant une senteur tendre et veloutée pendant 4 semaines !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Amande jolie,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381775;1;Recharge de diffuseur de parfum 100ml figue mutine;60,64,29,27;8,58;1;;0;;;;;2381775;;;;3023673817758;;0;;;;;20;1;;;;;;<p>Au petit nom espiègle, le <strong>parfum d’ambiance figue mutine</strong> ne demande qu’à s’exprimer ! Intégrez ce <strong>parfum d’intérieur</strong> dans le flacon d’un <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a> inoccupé, ajoutez quelques <a href="/63-tiges" >tiges en rotin</a>… Et laissez la fragrance « colorer » votre ambiance. <br/><br/>La <strong>recharge de diffuseur senteur figue</strong> exhale un délicieux parfum fruité. Comme si elles avaient mûries sous le soleil de Provence, les arômes de figues se répandent dans votre pièce. Fraîche et acidulée, ce <strong>parfum d’ambiance</strong> un tantinet taquin se dépose sur l’élégance de notes boisées. Idéale pour prolonger l’été, cette <strong>recharge de parfum</strong> habille votre habitat de senteurs ensoleillées. <br/><br/>Vous rêvez de créer une ambiance différente dans chacune des pièces de votre habitat ? Craquez pour toutes les senteurs de nos <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/> Parfum d’ambiance fabriqué en France. Parfum de Grasse : Fige mutine. </p>;;Recharge de diffuseur de parfum figue;Recharge de diffuseur de parfum figue;La recharge de diffuseur senteur figue exhale un délicieux parfum fruité, idéale pour habiller votre intérieur de senteurs ensoleillées !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Figue mutine,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
2381770;1;Recharge de diffuseur de parfum 100ml love patchouli;83,84,64,29,27;8,58;1;;0;;;;;2381770;;;;3023673817703;;0;;;;;20;1;;;;;;<p>Une simple senteur a le pouvoir de vous faire voyager ! Et si cette fragrance est celle du <strong>parfum d’intérieur love patchouli</strong> ? Fermez les yeux et laissez-vous porter dans un univers d’évasion… <br/><br/>La <strong>recharge de diffuseur de parfum senteur patchouli</strong> vous fait traverser les continents ! En quête de senteurs boisées uniques, ce <strong>parfum d’ambiance</strong> plonge votre domicile dans une fragrance où se mêlent sauge, aiguilles de pin, labdanum, vanille et patchouli. Une chaleureuse senteur boisée vêtue de notes orientales pour un <strong>parfum d’ambiance</strong> placé sous le signe de l’évasion ! <br/><br/>Découvrez toutes les fragrances de nos <a href="/62-recharges" >recharges de diffuseurs de parfum</a> et trouvez l’ambiance olfactive qui vous ressemble ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Love patchouli. </p>;;Recharge de diffuseur de parfum patchouli;Recharge de diffuseur de parfum patchouli;En quête de senteurs boisées uniques, la recharge de diffuseur de parfum senteur patchouli vous fait traverser les continents… Pour une ambiance d’évasion ! ;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Love patchouli,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381765;1;Recharge de diffuseur de parfum 100ml tiaré sunshine;61,84,64,29,27;8,58;1;;0;;;;;2381765;;;;3023673817659;;0;;;;;20;1;;;;;;<p>Vous recherchez une fragrance qui vous fait penser à l’été ? La <strong>recharge de diffuseur de parfum tiaré sunshine</strong> saura vous combler ! <br/><br/>Voici un embarquement immédiat pour les îles de Tahiti ! Aux senteurs solaires, le <strong>parfum d’ambiance senteur tiaré</strong> vous envoie sous les cocotiers… Et si vous voulez découvrir la recette secrète de ce <strong>parfum d’intérieur</strong> ? Sachez qu’il mêle fleurs de tiaré, ylang ylang, fleurs d’oranger, vanille, miel et noix de coco… Pour diffuser une envoûtante senteur de monoï ! <br/><br/>Chacune de nos fragrances révèle une composition olfactive unique ! Rendez-vous dans notre collection de <a href="/62-recharges" >recharges de diffuseurs de parfum</a> et découvre toutes les senteurs !  <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Tiaré sunshine. </p>;;Recharge de diffuseur de parfum tiaré;Recharge de diffuseur de parfum tiaré;Aux senteurs solaires, la recharge de diffuseur de parfum senteur tiaré vous envoie sous les cocotiers… Pour diffuser une envoûtante senteur de monoï !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Tiaré sunshine,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381755;1;Recharge de diffuseur de parfum 100ml vanille addict;86,85,64,29,27;8,58;1;;0;;;;;2381755;;;;3023673817659;;0;;;;;20;1;;;;;;<p>Une petite touche de parfum en dit long sur votre tempérament ! Avec la <strong>recharge de diffuseur de parfum vanille addict</strong>, levez le voile sur le côté gourmand et passionné de votre personnalité…  <br/><br/>Intégré dans son <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a>, ce <strong>parfum d’ambiance senteur vanille</strong> dévoile votre goût pour les fragrances d’addiction ! <br/><br/>Déposez ce <strong>parfum d’intérieur à la vanille</strong> dans votre salon et invitez vos convives à partager tous vos caprices ! Une délicieuse <strong>senteur de vanille</strong> se propage dans votre pièce de vie… Qui mêlée à quelques notes de caramel vous promet un véritable plaisir olfactif !  <br/><br/>Vous êtes plutôt senteurs boisées, fruitées ou fleuries ? Découvrez dès à présent toutes nos <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Vanille addict. </p>;;Recharge de diffuseur de parfum vanille;Recharge de diffuseur de parfum vanille;La recharge de diffuseur de parfum vanille lève le voile sur le côté gourmand de votre personnalité… Une senteur de vanille qui vous promet un plaisir olfactif !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Vanille addict,Famille olfactive:Gourmande;0;;0;0;0;0;0;1
2381750;1;Recharge de diffuseur de parfum 100ml coton tout doux;61,87,64,29,27;8,58;1;;0;;;;;2381750;;;;3023673817505;;0;;;;;20;1;;;;;;<p>Comme une signature olfactive de votre personnalité, la <strong>recharge de diffuseur de parfum coton tout doux</strong> révèle une fragrance sensible et féminine… <br/><br/>Pour une ambiance correspondant à votre image, le <strong>parfum d’intérieur senteur coton</strong> vous dévoile un sillage fondé sur l’harmonie des fragrances. <br/><br/>Placez cette <strong>recharge de parfum</strong> au sein du flacon de votre <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a> et délivrez la beauté de sa fragrance. Aux facettes florales, vanillées et musquées, ce <strong>parfum d’ambiance au coton</strong> libère une réconfortante douceur… N’attendez plus pour cocooner votre intérieur ! <br/><br/>Vous préférez les senteurs sucrées, mystérieuses ou boisées ? Rendez-vous sur notre collection de <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Coton tout doux. </p>;;Recharge de diffuseur de parfum coton;Recharge de diffuseur de parfum coton;La recharge de diffuseur de parfum coton révèle une fragrance sensible et féminine… Pour une ambiance synonyme de cocooning.;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Coton tout doux,Famille olfactive:Florale;0;;0;0;0;0;0;1
2381780;1;Recharge de diffuseur de parfum 100ml thé enchanté;83,85,64,29,27;8,58;1;;0;;;;;2381780;;;;3023673817802;;0;;;;;20;1;;;;;;<p>Les <strong>parfums d’ambiance</strong> enveloppent votre intérieur et donnent du caractère à votre pièce ! Bien plus que de belles senteurs, les <strong>parfums d’intérieur</strong> s’expriment pour vous procurer un réel plaisir sensoriel… <br/><br/>Pour libérer la fragrance de la <strong>recharge de parfum thé</strong> disposez-la dans un <a href="/50-diffuseurs-parfumes" >diffuseur de parfum</a> et partez à la rencontre d’un univers enchanté !<br/><br/>Toute en fraîcheur et en légèreté, le <strong>parfum d’ambiance senteur thé enchanté</strong> dévoile de pétillantes notes d’agrumes. Le cœur de la fragrance révèle les notes de thé vert et de subtils accords boisés… Pour une maison parfumée de mystères et d’évasion… <br/><br/>Discrètes, féminines ou passionnées, découvrez toutes les senteurs de nos <a href="/62-recharges" >recharges de diffuseurs de parfum</a> ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Thé enchanté. </p>;;Recharge de diffuseur de parfum thé;Recharge de diffuseur de parfum thé;Toute en fraîcheur et en légèreté, la recharge de diffuseur de parfum senteur thé révèle une ambiance de mystères et d’évasion !;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Thé enchanté,Famille olfactive:Boisée;0;;0;0;0;0;0;1
2381785;1;Recharge de diffuseur de parfum 100ml rouge cerise;60,64,29,27;8,58;1;;0;;;;;2381785;;;;3023673817857;;0;;;;;20;1;;;;;;<p>Les <strong>parfums d’intérieur</strong> sont une image sensorielle de votre personnalité. Et si, pour redécorer votre maison, vous misiez sur les <strong>parfums d’ambiance</strong> ? Votre intérieur portera la signature olfactive si distinctive de votre caractère ! <br/><br/>Fraîche, pétillante et sucrée, la <strong>recharge de diffuseur de parfum rouge cerise</strong> offre des allures d’été à votre pièce. Intégrée dans son <a href="/50-diffuseurs-parfumes" >diffuseur parfumé</a>, cette <strong>recharge de diffuseur de parfum à la cerise</strong> libère de délicieuses notes de fruits rouges… Qui associées à de délicats accords lactés et vanillés, prolongent la fragrance sur une douceur inattendue…  <br/><br/>Qu’elles soient florales, orientales ou fruitées, trouvez le parfum d’ambiance qui vous ressemble… Découvrez toute notre collection de <a href="/62-recharges" >recharges de diffuseurs de parfum</a> et voyagez au gré de vos envies ! <br/><br/>Parfum d’ambiance fabriqué en France. Parfum de Grasse : Rouge cerise. </p>;;Recharge de diffuseur de parfum cerise;Recharge de diffuseur de parfum cerise;Fraîche, pétillante et sucrée, la recharge de diffuseur de parfum cerise libère de délicieuses notes de fruits rouges pour offrir des allures d’été à votre pièce.;;;;1;;2015-04-15;1;;0;Hauteur:92,Diamètre:46,Contenance:100,Durée de diffusion:4,Type de produit:Recharges de diffuseurs,Collection:Parfum et fantaisie,Parfum:Rouge cerise,Famille olfactive:Fruitée;0;;0;0;0;0;0;1
