Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;Texte "En stock";Texte "En commande" (si autorisé);Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2024291;0;Bougie ronde striée Ø6cm 7h cuivré;111,30,27,36,34,67,65;4,17;1;;0;;;;;2024291;;Bougies la Française;Bougies la Française;3023670242911;;0;;;;;20;1;;;;;;Idéale pour apporter du caractère à votre décoration, la tendance cuivrée habille nos <a href="/68-bougies-deco">bougies décoratives</a> ! <br /><br />La <strong>bougie ronde striée Ø6cm 7h cuivrée</strong> joue sur les effets de lumières pour donner de l’éclat à votre habitat. <br /><br />Pour rester chic en toute circonstance, la couleur cuivrée s’utilise avec parcimonie. Apposées en petites touches, les <strong>bougies rondes cuivrées</strong> sont parfaites pour sublimer toutes vos pièces ! </p>;;Bougie ronde striée 6cm 7h cuivré;Bougie ronde striée cuivré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, cuivre;La bougie ronde striée Ø6cm 7h cuivrée joue sur les effets de lumières pour donner de l’éclat à votre habitat.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-291-1.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:60,Diamètre:60,Poids:90,Type de produit:Bougies rondes,Durée de combustion: +/-7,Tranche de combustion:1 à 15 heures, Collection:Soie;0;;0;0;0;0;0;1
2024391;0;Bougie ronde striée Ø8cm 15h cuivré;111,30,27,36,34,67,65;5,83;1;;0;;;;;2024391;;Bougies la Française;Bougies la Française;3023670243918;;0;;;;;20;1;;;;;;Tendance incontournable des passionnés de déco, les objets cuivrés deviennent les must-have de la saison ! <br /><br /> Vêtue d’une robe cuivrée, cette <a href="/68-bougies-deco">bougie décorative</a> attire le regard et marque les esprits par sa singularité. <br /><br /> D’une finition striée, la <strong>bougie ronde cuivrée</strong> joue sur les reflets et les effets de lumière pour illuminer toute votre pièce ! </p>;;Bougie ronde striée 8cm 15h cuivré;Bougie ronde striée cuivré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, cuivre;Vêtue d’une robe cuivrée, cette bougie ronde striée attire le regard et marque les esprits par sa singularité.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-391-1.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:80,Diamètre:80,Poids:210,Type de produit:Bougies rondes,Durée de combustion: +/-15,Tranche de combustion:15 à 25 heures, Collection:Soie;0;;0;0;0;0;0;1
2024491;0;Bougie ronde striée Ø9,5cm 20h cuivré;111,30,27,36,34,67,65;8,25;1;;0;;;;;2024491;;Bougies la Française;Bougies la Française;3023670244915;;0;;;;;20;1;;;;;;Aux couleurs brillantes et chatoyantes, les objets cuivrés embrasent l’atmosphère pour devenir « la » tendance de l’année ! <br /><br /> Vous voulez une décoration singulière ? Optez pour les <strong>bougies rondes cuivrées</strong> ! Idéales pour illuminer votre pièce de leurs plus beaux reflets, ces <a href="/68-bougies-deco">bougies décoratives</a> parachèvent votre déco intérieure avec caractère. <br /><br /> Utilisées avec parcimonie, ces <strong>bougies rondes cuivrées</strong> s’exposent en été comme en hiver ! </p>;;Bougie ronde striée 9,5cm 20h cuivré;Bougie ronde striée cuivré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, cuivre;Idéales pour illuminer votre pièce de leurs plus beaux reflets, les bougies rondes striées cuivrées parachèvent votre déco avec caractère.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-491-1.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:95,Diamètre:95,Poids:410,Type de produit:Bougies rondes,Durée de combustion: +/-20,Tranche de combustion:15 à 25 heures, Collection:Soie;0;;0;0;0;0;0;1
2024591;0;Bougie cylindrique striée 15cm 25h cuivré;111,30,27,36,34,67,65;10;1;;0;;;;;2024591;;Bougies la Française;Bougies la Française;3023670245912;;0;;;;;20;1;;;;;;Impossible de passer à côté de la tendance cuivrée ! En meubles, luminaires et objets déco, le cuivre s’affiche avec style. Pour encore plus d’originalité, avez-vous pensé aux <strong>bougies cylindriques cuivrées</strong> ?  <br /><br /> D’une finition striée, cette <a href="/68-bougies-deco">bougie décorative</a> joue sur les effets de lumière pour apporter une belle luminosité à votre pièce. Une décoration vibrante ultra tendance qui ne passera pas inaperçue chez les Déco addicts ! </p>;;Bougie cylindrique striée 15cm 25h cuivré;bougie cylindrique striée, bougie cylindrique, bougies cylindriques, bougies déco, bougies décoratives, bougies Noël, cuivre;D’une finition striée, cette bougie cylindrique joue sur les effets de lumière pour apporter une belle luminosité à votre pièce.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-591-1.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:150,Diamètre:70,Poids:490,Type de produit:Bougies cylindriques,Durée de combustion: +/-25,Tranche de combustion:25 à 35 heures, Collection:Soie;0;;0;0;0;0;0;1
2024691;0;Bougie cylindrique striée 25cm 40h cuivré;111,30,27,36,34,67,65;16,58;1;;0;;;;;2024691;;Bougies la Française;Bougies la Française;3023670246919;;0;;;;;20;1;;;;;;Rien de tel que de jolies notes cuivrées pour apporter une touche chic et glamour à votre décoration… <br /><br /> Ultra tendance, la <strong>bougie cylindrique cuivrée</strong> se pare d’une teinte vibrante et chatoyante. Idéale pour embraser l’atmosphère, cette <a href="/68-bougies-deco">bougie décorative</a> produit une belle luminosité dans votre pièce… Un éclat accentué par les stries, qui font de cette <strong>bougie cylindrique cuivrée</strong> la pièce maitresse de votre décor ! </p>;;Bougie cylindrique striée 25cm 40h cuivré;bougie cylindrique striée, bougie cylindrique, bougies cylindriques, bougies déco, bougies décoratives, bougies Noël, cuivre;Idéale pour embraser l’atmosphère, la bougie cylindrique striée cuivrée produit une belle luminosité dans votre pièce…;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-691-1.jpg,../import/noel-colorama/2-024-591-691-5.jpg;0;Hauteur:250,Diamètre:80,Poids:950,Type de produit:Bougies cylindriques,Durée de combustion: +/-40,Tranche de combustion:35 à 45 heures, Collection:Soie;0;;0;0;0;0;0;1
2024290;0;Bougie ronde striée Ø6cm 7h blanc nacré;111,30,27,36,34,67,65;4,17;1;;0;;;;;2024290;;Bougies la Française;Bougies la Française;3023670242904;;0;;;;;20;1;;;;;;Véritable « perle » de la décoration, la <strong>bougie ronde striée blanc nacré</strong> apporte à votre pièce un charme suranné. Parfaite pour décorer votre intérieur de manière épurée, cette <a href="/68-bougies-deco">bougie décorative</a> s’accumule sur vos meubles de salon et de salle à manger ! Baigné de lumière, votre lieu de vie prend une nouvelle dimension…  </p>;;Bougie ronde striée 6cm 7h blanc nacré;Bougie ronde striée blanc nacré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, blanc, nacré;Véritable « perle » de la décoration, la bougie ronde striée blanc nacré apporte à votre pièce un charme suranné.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-290-1.jpg;0;Hauteur:60,Diamètre:60,Poids:90,Type de produit:Bougies rondes,Durée de combustion: +/-7,Tranche de combustion:1 à 15 heures, Collection:Soie;0;;0;0;0;0;0;1
2024390;0;Bougie ronde striée Ø8cm 15h blanc nacré;111,30,27,36,34,67,65;5,83;1;;0;;;;;2024390;;Bougies la Française;Bougies la Française;3023670243901;;0;;;;;20;1;;;;;;Lumineux, reposant ou minimaliste… Laissez le blanc régner en maître sur votre déco. D’une finition striée, cette « petite perle » s’expose à la lumière pour draper votre intérieur de reflets nacrés. Un aspect « fil de soie » qui confère charme et élégance à cette jolie <a href="/68-bougies-deco">bougie décorative</a> ! </p>;;Bougie ronde striée 8cm 15h blanc nacré;Bougie ronde striée blanc nacré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, blanc, nacré;D’une finition striée, cette bougie ronde blanche s’expose à la lumière pour draper votre intérieur de reflets nacrés. ;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-390-1.jpg;0;Hauteur:80,Diamètre:80,Poids:210,Type de produit:Bougies rondes,Durée de combustion: +/-15,Tranche de combustion:15 à 25 heures, Collection:Soie;0;;0;0;0;0;0;1
2024490;0;Bougie ronde striée Ø9,5cm 20h blanc nacré;111,30,27,36,34,67,65;8,25;1;;0;;;;;2024490;;Bougies la Française;Bougies la Française;3023670244908;;0;;;;;20;1;;;;;;Vous souhaitez aménager un petit coin détente dans votre maison ? Tout en rondeur, la <strong>bougie ronde striée blanc nacré</strong> se glissera parmi les accessoires indispensables de votre déco ! Sobre et élégante, cette <a href="/68-bougies-deco">bougie décorative</a> se dépose en accumulation dans votre pièce pour vous inviter au repos. Il ne vous reste plus qu’à allumer vos <strong>bougies rondes blanc nacré</strong> pour trouver votre moment de tranquillité… </p>;;Bougie ronde striée 9,5cm 20h blanc nacré;Bougie ronde striée blanc nacré, bougie ronde, bougie cuivrée, bougies rondes, bougies déco, bougies décoratives, bougies Noël, blanc, nacré;Tout en rondeur, la bougie ronde striée blanc nacré se glissera parmi les accessoires indispensables de votre déco !;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-490-1.jpg;0;Hauteur:95,Diamètre:95,Poids:410,Type de produit:Bougies rondes,Durée de combustion: +/-20,Tranche de combustion:15 à 25 heures, Collection:Soie;0;;0;0;0;0;0;1
2024590;0;Bougie cylindrique striée 15cm 25h blanc nacré;111,30,27,36,34,67,65;10;1;;0;;;;;2024590;;Bougies la Française;Bougies la Française;3023670245905;;0;;;;;20;1;;;;;;Avec cette <strong>bougie cylindrique striée blanc nacré</strong>, composez une atmosphère douce et harmonieuse en toute simplicité. Pour une ambiance zen, préférez une palette de couleurs beige, blanc et gris, avec quelques touches de vert ici et là. Les <a href="/111-bougies-d-ambiance-soie">bougies striées</a> reflètent la lumière pour apporter une belle intensité à votre décor. Disposez quelques <strong>bougies cylindriques</strong> et <a href="/2024490-bougie-ronde-striee-o9-5cm-20h-blanc-nacre.html">bougies rondes striées blanc nacré</a>… En un instant votre espace est illuminé ! </p>;;Bougie cylindrique striée 15cm 25h blanc nacré;bougie cylindrique striée, bougie cylindrique, bougies cylindriques, bougies déco, bougies décoratives, bougies Noël, blanc, nacré;Avec cette bougie cylindrique striée blanc nacré, composez une atmosphère douce et harmonieuse en toute simplicité.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-590-1.jpg;0;Hauteur:150,Diamètre:70,Poids:490,Type de produit:Bougies cylindriques,Durée de combustion: +/-25,Tranche de combustion:25 à 35 heures, Collection:Soie;0;;0;0;0;0;0;1
2024690;0;Bougie cylindrique striée 25cm 40h blanc nacré;111,30,27,36,34,67,65;16,58;1;;0;;;;;2024690;;Bougies la Française;Bougies la Française;3023670246902;;0;;;;;20;1;;;;;;La <strong>bougie cylindrique striée blanc nacré</strong> deviendra très vite votre touche de déco préférée ! Adoptant un design minimaliste, cette <a href="/68-bougies-deco">bougie décorative</a> libère ses stries pour exprimer sa beauté. Tandis que le blanc laisse entrer la lumière, son effet « fil de soie » aux reflets nacrés apportent la note chic et glamour pour composer un univers de charme… </p>;;Bougie cylindrique striée 25cm 40h blanc nacré;bougie cylindrique striée, bougie cylindrique, bougies cylindriques, bougies déco, bougies décoratives, bougies Noël, blanc, nacré;Au design minimaliste, cette bougie cylindrique blanc nacré libère ses stries pour exprimer sa beauté.;;;;1;;01/10/2015;1;../import/noel-colorama/2-024-690-1.jpg;0;Hauteur:250,Diamètre:80,Poids:950,Type de produit:Bougies cylindriques,Durée de combustion: +/-40,Tranche de combustion:35 à 45 heures, Collection:Soie;0;;0;0;0;0;0;1
