Identifiant;Active (0/1);Nom;Categories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;"Texte ""En stock""";"Texte ""En commande"" (si autorisé)";Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2390015;1;Coffret bougie parfumée 50h pivoine céleste;12,11,3;24,92;1;;0;;;;;2390015;;;;3023673900153;;0;;;;;10;1;;;;;;<p>Avec le coffret bougie parfumée pivoine céleste, saisissez l’intensité du parfum d’un vaporeux cœur de pétales. Véritable interprétation printanière, les effluves de cette bougie florale créeront une ambiance empreinte de féminité. Présentée dans un ravissant coffret, l’élégance intemporelle de cette bougie senteur pivoine en fera un cadeau prêt à offrir.<br>Dans une composition unique, cette bougie parfumée sublime la « Fleur aux mille pétales ». Les arômes fruités délicieusement rafraîchissants s’enveloppent peu à peu dans la douceur d’un généreux cœur floral. Délicieusement miellé et épicé, le sillage de cette bougie en verre s’adoucit sur de confortables notes boisées aux intonations orientales.<br>Découvrez également d’autres idées cadeaux pour elle parmi notre sélection de coffrets.<br>Bougie fabriquée en France. Parfum de Grasse : Pivoine céleste.</p>;;Coffret bougie parfumée 50h pivoine Quintessence;;Avec le coffret bougie parfumée pivoine céleste, saisissez l’intensité du parfum d’un cœur de pétales. Dans son coffret, cette bougie florale devient un cadeau original.;coffret-bougie-parfumee-50h-pivoine-celeste;;;1;;2016-04-12;1;;0;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Pivoine Céleste;0;;0;0;0;0;0;1
2390025;1;Coffret bougie parfumée 50h ambre rare;12,11,3;24,92;1;;0;;;;;2390025;;;;3023673900252;;0;;;;;10;1;;;;;;<p>Dans la signature d’un parfum floriental, le sillage du coffret bougie parfumée ambre rare vous offrira un voyage olfactif à travers les continents. Révélant les secrets d’une fragrance envoûtante, cette bougie parfumée vous dévoilera les effluves dorés d’un bijou millénaire. Présentée dans un coffret aux motifs floraux raffinés, cette bougie senteur ambre est un cadeau parfumé intemporel prêt à offrir.<br>Porté par des notes de tête aromatiques, la fragrance de cette bougie en verre s’approfondit dans une harmonieuse alliance aux accents floraux et boisés. Dans un fond ambré, la senteur de cette bougie florientale se fait chaude, précieuse et sensuelle et confère à votre pièce une ambiance voluptueuse et captivante.<br>Plongez votre intérieur dans des accords ambrés, chauds et sensuels avec toute notre collection de bougies parfumées orientales.<br>Bougie fabriquée en France. Parfum de Grasse : Ambre rare.</p>;;Coffret bougie parfumée 50h ambre Quintessence;;Dans une composition envoûtante, le coffret bougie parfumée ambre sublime un bijou millénaire. Lovée dans son coffret, cette bougie senteur est un cadeau parfumé intemporel.;coffret-bougie-parfumee-50h-ambre-rare;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Ambre rare;0;;0;0;0;0;0;1
2390035;1;Coffret bougie parfumée 50h cèdre divin;12,11,3;24,92;1;;0;;;;;2390035;;;;3023673900351;;0;;;;;10;1;;;;;;<p>Evoquant la prestance d’un arbre majestueux, le coffret bougie parfumée cèdre divin vous dévoilera les précieux effluves de son écorce craquelée au fil des siècles. Présentée dans un ravissant coffret au charme intemporel, cette bougie en verre sera le cadeau idéal à offrir, ou pour se faire plaisir.<br>La fragrance de cette bougie boisée s’ouvre sur la tonicité de notes d’agrumes. Les effluves de cette bougie parfumée se réchauffent doucement en cœur sur un accord épicé renforçant l’intensité des senteurs racées du bois de cèdre. Entre force, douceur et profondeur, cette union boisée pétillante façonne un enivrant sillage empreint d’élégance.<br>Découvrez toute notre sélection de bougies parfumées boisées.<br>Bougie fabriquée en France. Parfum de Grasse : Cèdre divin.</p>;;Coffret bougie parfumée 50h cèdre Quintessence;;Le coffret bougie parfumée cèdre divin dévoile des senteurs empreintes d’élégance. Dans son coffret au charme intemporel, cette bougie boisée devient le cadeau idéal.;coffret-bougie-parfumee-50h-cedre-divin;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Cèdre divin;0;;0;0;0;0;0;1
2389945;1;Coffret bougie parfumée 50h santal troublant;12,11,3;24,92;1;;0;;;;;2389945;;;;3023673899457;;0;;;;;10;1;;;;;;<p>Evoquant les précieux effluves d’un bois du bout du monde, le coffret bougie parfumée santal troublant apaise l’esprit et invite à la méditation. Cette bougie en verre se présente dans un coffret aux motifs raffinés pour devenir le cadeau idéal à offrir… Ou pour se faire plaisir.<br>Porté par le parfum zesté de la cardamone, le sillage de cette bougie boisée s’enrichit sur l’alliance d’un cœur floral et du caractère du patchouli. Délicats et voluptueux, les pétales rosés s’enveloppent peu à peu dans le confort du santal. S’inspirant de l’intensité d’un « bois sacré », cette bougie santal exhale un sillage précieux d’une incroyable sensualité.<br>Découvrez également notre sélection de bougies parfumées boisées.<br>Bougie fabriquée en France. Parfum de Grasse : Santal troublant.</p>;;Coffret bougie parfumée 50h santal Quintessence;;S’inspirant d’un bois sacré, la bougie santal libère une senteur d’une incroyable sensualité. Cette bougie parfumée se présente dans un coffret raffiné pour devenir le cadeau parfait.;coffret-bougie-parfumee-50h-santal-troublant;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Santal troublant;0;;0;0;0;0;0;1
2389955;1;Coffret bougie parfumée 50h mimosa solaire;12,11,3;24,92;1;;0;;;;;2389955;;;;3023673899556;;0;;;;;10;1;;;;;;<p>Symbole de sensibilité et de délicatesse, le coffret bougie parfumée mimosa solaire embaumera votre intérieur d’une extrême douceur. Véritable invitation à la tendresse, le parfum de cette bougie florale se pare d’accents de lumière. Idée cadeau raffinée au parfum intemporel, cette bougie en verre s’habille d’un élégant coffret aux motifs floraux.<br>Petite fleur jaune aux reflets dorés, le « Soleil d’hiver » libère ses effluves en toute discrétion. La fraîcheur anisée des premiers accords se mêle harmonieusement à la subtilité des notes florales. Rehaussée par l’éclat olfactif des pétales de mimosa, la senteur de cette bougie parfumée glisse doucement vers de somptueuses tonalités poudrées, chaudes et solaires…<br>Découvrez également toute la collection de bougies parfumée et parfums d’ambiance Quintessence.<br>Bougie fabriquée en France. Parfum de Grasse : Mimosa solaire.</p>;;Coffret bougie parfumée 50h mimosa Quintessence;;Le coffret bougie parfumée mimosa solaire embaume votre intérieur d’une extrême douceur. Idée cadeau raffinée, cette bougie florale s’habille d’un élégant coffret.;coffret-bougie-parfumee-50h-mimosa-solaire;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Mimosa solaire;0;;0;0;0;0;0;1
2389985;1;Coffret bougie parfumée 50h rhubarbe sauvage;12,11,3;24,92;1;;0;;;;;2389985;;;;3023673899853;;0;;;;;10;1;;;;;;<p>Succombez aux arômes d’un trésor acidulé. Pour craquer sans croquer, le coffret bougie parfumée rhubarbe sauvage diffusera les effluves un brin espiègles de ce délice fruité. Présentée dans un coffret imprimé, le charme intemporel de cette bougie en verre en fera l’idée cadeau idéale à offrir ou pour se faire plaisir.<br>Dans une envolée gourmande, cette bougie parfumée délivre dans ses premières notes de pétillantes saveurs fruitées. Interpelant les papilles, la rhubarbe s’adoucit sur le cœur vert d’un lit d’iris. La senteur de cette bougie rhubarbe s’habille enfin d’une robe poudrée pour dévoiler une féminité assumée.<br>Découvrez également toutes nos idées cadeaux pour elle.<br>Bougie fabriquée en France. Parfum de Grasse : Rhubarbe sauvage.</p>;;Coffret bougie parfumée 50h rhubarbe Quintessence;;Le coffret bougie parfumée rhubarbe sauvage diffuse les senteurs d’un petit délice fruité. Dans son coffret, cette bougie fruitée devient l’idée cadeau idéale.;coffret-bougie-parfumee-50h-rhubarbe-sauvage;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Rhubarbe sauvage;0;;0;0;0;0;0;1
2389995;1;Coffret bougie parfumée 50h lys royal;12,11,3;24,92;1;;0;;;;;2389995;;;;3023673899952;;0;;;;;10;1;;;;;;<p>Grand classique dédié à la splendeur du lys, le coffret bougie parfumée lys royal délivrera des senteurs précieuses et enivrantes. Symbole de pureté, cette bougie florale vous offrira une caresse olfactive empreinte de délicatesse et de raffinement.<br>Composé autour du lys, les premières notes de cette bougie parfuméedévoilent des accords verts et fruités. Une somptueuse mélodie florale se dégage peu à peu de cette bougie senteur lys. L’harmonie de ces accords s’achève en une facette chyprée.<br>Prête à offrir, cette bougie en verre se présente dans un élégant coffret au charme intemporel.<br>Cette bougie vous plaît ? Découvrez également notre sélection de bougies parfumées florales.<br>Bougie fabriquée en France. Parfum de Grasse : Lys royal.</p>;;Coffret bougie parfumée 50h lys Quintessence;;Grand classique dédié au lys, le coffret bougie parfumée lys royal délivre des senteurs enivrantes. Prête à offrir, cette bougie florale vous offre un parfum délicat.;coffret-bougie-parfumee-50h-lys-royal;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Lys royal;0;;0;0;0;0;0;1
2390005;1;Coffret bougie parfumée 50h patchouli mystique;12,11,3;24,92;1;;0;;;;;2390005;;;;3023673900054;;0;;;;;10;1;;;;;;<p>Imprégnant le sillage des plus grands parfums, le patchouli libère toute sa splendeur dans le coffret bougie parfumée patchouli mystique. Fragrance de liberté, le sillage de cette bougie en verre ensorcèlera vos sens. Présentée dans un ravissant coffret, cette bougie boisée, au parfum intemporel, sera le cadeau idéal à offrir.<br>S’ouvrant sur la tonicité de la touche herbacée d’une sauge, cette bougie patchouli dévoile les effluves d’un cœur boisé. La chaleur envoûtante du patchouli se révèle à travers la complexité de ses facettes olfactives. Les dernières notes ambrées, subtilement vanillées, viennent illuminer cette bougie parfumée d’une incroyable volupté.<br>Ce parfum vous plaît ? Découvrez également toute notre sélection de bougies parfumées orientales.<br>Bougie fabriquée en France. Parfum de Grasse : Patchouli mystique.</p>;;Coffret bougie parfumée 50h patchouli Quintessence;;Fragrance de liberté, la senteur de cette bougie en verre ensorcèlera vos sens. Présentée dans un ravissant coffret, cette bougie orientale-boisée sera le cadeau idéal à offrir.;coffret-bougie-parfumee-50h-patchouli-mystique;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Patchouli mystique;0;;0;0;0;0;0;1
2390055;1;Coffret bougie parfumée 50h vanille authentique;12,11,3;24,92;1;;0;;;;;2390055;;;;3023673900559;;0;;;;;10;1;;;;;;<p>Véritable ode à la gourmandise, le coffret bougie parfumée vanille authentique enveloppera votre pièce d’une senteur irrésistible. Chaude, douce et sucrée, la fragrance de cette bougie gourmande vous emportera vers des horizons lointains. Idée cadeau intemporelle, cette bougie vanille est présentée dans un ravissant coffret aux motifs floraux.<br>D’abord discrète en tête, cette bougie en verre s’enivre d’accords épicés. Les effluves de cette bougie parfumée dévoilent toute leur volupté dans un cœur floral délicieusement vanillé. En fond, le mariage d’une touche vibrante de caramel et de l’absolue de vanille dessine le sillage suave de la « Fleur noire ».<br>Pour offrir ou simplement se faire plaisir, découvrez aussi toutes nos idées cadeaux parfumées.<br>Bougie fabriquée en France. Parfum de Grasse : Vanille authentique.</p>;;Coffret bougie parfumée 50h vanille Quintessence;;Le coffret bougie parfumée vanille authentique vous offre une senteur irrésistible. Idée cadeau intemporelle, cette bougie vanille se présente dans un ravissant coffret.;coffret-bougie-parfumee-50h-vanille-authentique;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Vanille authentique;0;;0;0;0;0;0;1
2390065;1;Coffret bougie parfumée 50h mûre gourmande;12,11,3;24,92;1;;0;;;;;2390065;;;;3023673900658;;0;;;;;10;1;;;;;;<p>Senteur de souvenirs d’enfance, le coffret bougie parfumée mûre gourmande diffuse une fragrance aux saveurs intenses et délicates. Cette bougie parfumée, présentée dans son élégant coffret, sera le cadeau idéal pour partager vos moments de plaisirs olfactifs.<br>Dans une mélodie de fragrances mêlant notes tendres et émotions gourmandes, cette bougie senteur mûre laisse échapper la savoureuse odeur d’un panier de fruits juteux à souhait. Le cœur de cette bougie gourmande, aromatisé de fruits rouges, offre le sillage irrésistible de mûres fraîchement cueillies. En fond, la violette se dévoile, plus étonnante que jamais.<br>Pour le plaisir d’offrir, découvrez toutes nos idées cadeaux.<br>Bougie fabriquée en France. Parfum de Grasse : Mûre gourmande.</p>;;Coffret bougie parfumée 50h mûre Quintessence;;Le coffret bougie parfumée mûre gourmande diffuse une senteur aux saveurs intenses. Dans son élégant coffret, cette bougie parfumée devient le cadeau idéal.;coffret-bougie-parfumee-50h-mure-gourmande;;;1;;2016-04-12;1;;;Hauteur:100,Diamètre:90,Poids:220,Durée de combustion:+/- 50,Collection:Quintessence,Parfum:Mûre gourmande;0;;0;0;0;0;0;1
