IdentifiaActive (0/Nom                                                   Categories (x,y,zPrix HTID règles de taxPrix d'achaEn soldes (0/Montant de réductiPourcentage de réductiRéduction de (aaaa-mm-Réduction à (aaaa-mm-RéférenceRéférence fournisseFournisseurFabricantEAN13         UPC  Eco taxeLargeur (cmHauteur (cm)Profondeur (cmPoids (kgQuantitéQuantité minimalVisibiliFrais de port supplémentUnitéRatio de prix unitDescription courte (hDescription (html)                                         Tags (x,y,z.Balise de titre       Méta mots-clés        Méta description      URL simplifiée                          Texte "En stocTexte "En commande" (si autorDisponible à la commande (0 = Non, 1 Date de disponibilité du pDate d'ajout d'un proAfficher le prix (0 = Non, URLs des images (x,y,z..Supprimer les images existantes (0 = non,Caractéristique(Nom:Valeur)                                                                                                 Disponible en ligne uniquement (0 = Non, EtatPersonnalisable (0 = Non, 1 =Fichiers téléchargeables (0 = Non, 1Champs text (0 = Non, 1 = Si rupture de stGestion des stocks avancID ou nom de la bouti
  2600655         1Bougie Pot de fleur XL turquoise, 40h, parfum citronne146,143,142         55,2               1                       0                                                                                     2600655                                       3023676006555             0                                                    10               1                                                                            <p>Dans cette bougie pot de fleur XL turquoise, au parfum dbougie parfuBougie parfumée XL cit                      Découvrez la bougie pobougie-parfumee-xl-citronnelle-turquoise                                                                               1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:180,Diamètre:200,Poids:2560,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
  2600654         1Bougie Pot de fleur XL rose 40h, parfum citronnelle   146,143,142         55,2               1                       0                                                                                     2600654                                       3023676006548             0                                                    10               1                                                                            <p>Comme un clin d'oeil à l'indémodable pot en terre cuite bougie parfuBougie parfumée XL cit                      Découvrez la bougie pobougie-parfumee-xl-citronnelle-rose                                                                                    1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:180,Diamètre:200,Poids:2560,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
  2600653         1Bougie Pot de fleur turquoise, 40h, parfum citronnelle146,143,142           20               1                       0                                                                                     2600653                                       3023676006531             0                                                    20               1                                                                            <p>En souvenir des petits pots d'antan qui ont vu germer nobougie parfuBougie parfumée citron                      Découvrez la bougie pobougie-parfumee-citronnelle-turquoise                                                                                  1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printem                                        0                                0                                   0                         0               0                       0                    1
  2600651         1Bougie Pot de fleur vert, 40h, parfum citronnelle     146,143,142           20               1                       0                                                                                     2600651                                       3023676006517             0                                                    20               1                                                                            <p>Par sa teinte très Bio, très nature, la bougie pot de flbougie parfuBougie parfumée citron                      Découvrez la bougie pobougie-parfumee-citronnelle-vert                                                                                       1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printem                                        0                                0                                   0                         0               0                       0                    1
  2600650         1Bougie Pot de fleur rose, 40h, parfum citronnelle     146,143,142           20               1                       0                                                                                     2600650                                       3023676006500             0                                                    20               1                                                                            <p>On pense aux petits pots de notre enfance où l'on faisaibougie parfuBougie parfumée citron                      Découvrez la bougie enbougie-parfumee-citronnelle-rose                                                                                       1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printem                                        0                                0                                   0                         0               0                       0                    1
  2600652         1Bougie Pot de fleur orange 40h, parfum citronnelle    146,143,142           20               1                       0                                                                                     2600652                                       3023676006524             0                                                    20               1                                                                            <p>Imaginez un jardin urbain, aux couleurs des pots de terrbougie parfuBougie parfumée citron                      Découvrez la bougie enbougie-parfumee-citronnelle-orange                                                                                     1                          2016-04-18                                     1../import/escale-tropica                                        0Hauteur:105,Diamètre:115,Poids:55,Durée de combustion:40 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printem                                        0                                0                                   0                         0               0                       0                    1
  2600665         1Bougie coupe piscine turquoise, 8h, bougie flottante  146,143,142        23,92               1                       0                                                                                     2600665                                       3023676006654             0                                                    10               1                                                                            <p>Avec sa forme de petit bassin tout droit sorti d'une fonbougie décorBougie coupe piscine t                      En forme de petit bassbougie-coupe-piscine-turquoise                                                                                         1                          2016-04-18                                     1../import/escale-tropica                                        0Diamètre:22,Poids:77,Durée de combustion:8 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                              0                                0                                   0                         0               0                       0                    1
  2600664         1Bougie coupe piscine rose, 8h, bougie flottante       146,143,142        23,92               1                       0                                                                                     2600664                                       3023676006647             0                                                    10               1                                                                            <p>Qui n'a pas rêvé d'un bain aux pétales de rose ? Offrez-bougie décorBougie coupe piscine r                      Offrez-vous une bougiebougie-coupe-piscine-rose                                                                                              1                          2016-04-18                                     1../import/escale-tropica                                        0Diamètre:22,Poids:77,Durée de combustion:8 heures,Collection:Escale Tropicale,Thème:Printemps/Eté 2016                                                              0                                0                                   0                         0               0                       0                    1
  2600715         1Assortiment 3 bougies, pots céramique XL, 75h, parfum 146,143,142         69,6               1                       0                                                                                     2600715                                        3023676007156            0                                                    45               1                                                                            <p>Finesse du décor exotique, ton pastel, motif tapisserie bougie parfu3 bougies parfumées ci                      Découvrez l'assortimenassortiment-bougies-parfumees-xl-citronn                                                                               1                          2016-04-18                                     1                                                                0Hauteur:125,Diamètre:105,Poids:915,Durée de combustion:75 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Printe                                        0                                0                                   0                         0               0                       0                    1
  2600710         1Bougie Pot céramique carré XL, 75h, parfum citronnelle146,143,142        39,92               1                       0                                                                                     2600710                                        3023676007101            0                                                    40               1                                                                            <p>Comme un grand cache-pot décoré de feuilles de palmes, qbougie parfuBougie pot céramique X                      Offrez-vous une bougiebougie-parfumee-xl-citronnelle-pot-ceram                                                                               1                          2016-04-18                                     1                                                                0Hauteur:160,Diamètre:140,Poids:2400,Durée de combustion:75 heures,Collection:Escale Tropicale,Parfum:Citronnelle,Thème:Print                                        0                                0                                   0                         0               0                       0                    1
