Identifiant;Active (0/1);Nom;Catï¿_gories (x,y,z...);Prix HT;ID rï¿_gles de taxes;Prix d'achat;En soldes (0/1);Montant de rï¿_duction;Pourcentage de rï¿_duction;Rï¿_duction de (aaaa-mm-jj);Rï¿_duction ï¿_ï¿_ (aaaa-mm-jj);Rï¿_fï¿_rence;Rï¿_fï¿_rence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantitï¿_;Quantitï¿_ minimale;Visibilitï¿_;Frais de port supplï¿_mentaire;Unitï¿_;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Mï¿_ta mots-clï¿_s;Mï¿_ta description;URL simplifiï¿_e;"Texte ""En stock""";"Texte ""En commande"" (si autorisï¿_)";Disponible ï¿_ la commande (0 = Non, 1 = Oui);Date de disponibilitï¿_ du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractï¿_ristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers tï¿_lï¿_chargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancï¿_e;ID ou nom de la boutique
2429905;0;Diffuseur de parfum ï¿_ tiges150ml, rhum tabac;15,14,3;21;1;;0;;;;;2429905;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-rhum-tabac ;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Rhum tabac;0;;0;0;0;0;0;1
2429910;0;Diffuseur de parfum ï¿_ tiges150ml, vanille ï¿_picï¿_e;15,14,3;21;1;;0;;;;;2429910;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-vanille-epicee;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Vanille ï¿_picï¿_e;0;;0;0;0;0;0;1
2429915;0;Diffuseur de parfum ï¿_ tiges150ml, moka tonka;15,14,3;21;1;;0;;;;;2429915;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-moka-tonka;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Moka tonka;0;;0;0;0;0;0;1
2429920;0;Diffuseur de parfum ï¿_ tiges150ml, cï¿_dre cachemire;15,14,3;21;1;;0;;;;;2429920;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-cedre-cachemire;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cï¿_dre cachemire;0;;0;0;0;0;0;1
2429925;0;Diffuseur de parfum ï¿_ tiges150ml, teck tanaka;15,14,3;21;1;;0;;;;;2429925;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-teck-tanaka;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Teck tanaka;0;;0;0;0;0;0;1
2429930;0;Diffuseur de parfum ï¿_ tiges150ml, cuir wengï¿_;15,14,3;21;1;;0;;;;;2429930;;;;;;0;;;;;10;1;;;;;;;;;;;diffuseur-de-parfum-a-tiges-150ml-cuir-wenge;;;1;;31/05/2016;1;;;Hauteur:130,Diamï¿_tre:70,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cuir wengï¿_;0;;0;0;0;0;0;1
2429931;0;Recharge diffuseur de parfum 150ml, rhum tabac;15,14,3;5;1;;0;;;;;2429931;;;;;;0;;;;;10;1;;;;;;;;;;;recharge-diffuseur-de-parfum-150ml-rhum-tabac;;;1;;31/05/2016;1;;;Hauteur:138,Diamï¿_tre:43,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Rhum tabac;0;;0;0;0;0;0;1
2429932;0;Recharge diffuseur de parfum 150ml, vanille ï¿_picï¿_e;15,14,3;5;1;;0;;;;;2429932;;;;;;0;;;;;10;1;;;;;;;;;;;recharge-diffuseur-de-parfum-150ml-vanille-epicee;;;1;;31/05/2016;1;;;Hauteur:138,Diamï¿_tre:43,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Vanille ï¿_picï¿_e;0;;0;0;0;0;0;1
2429933;0;Recharge diffuseur de parfum 150ml, moka tonka;15,14,3;5;1;;0;;;;;2429933;;;;;;0;;;;;10;1;;;;;;;;;;;recharge-diffuseur-de-parfum-150ml-moka-tonka;;;1;;31/05/2016;1;;;Hauteur:138,Diamï¿_tre:43,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Moka tonka;0;;0;0;0;0;0;1
2429934;0;Recharge diffuseur de parfum 150ml, cï¿_dre cachemire;15,14,3;5;1;;0;;;;;2429934;;;;;;0;;;;;10;1;;;;;;;;;;;recharge-diffuseur-de-parfum-150ml-cedre-cachemire;;;1;;31/05/2016;1;;;Hauteur:138,Diamï¿_tre:43,Durï¿_e de combustion:6 semaines,Collection:Lounge Spirit,Parfum:Cï¿_dre cachemire;0;;0;0;0;0;0;1
