Identifiant;Active (0/1);Nom;Catégories (x,y,z...);Prix HT;ID règles de taxes;Prix d'achat;En soldes (0/1);Montant de réduction;Pourcentage de réduction;Réduction de (aaaa-mm-jj);Réduction à  (aaaa-mm-jj);Référence;Référence fournisseur;Fournisseur;Fabricant;EAN13;UPC;Eco taxe;Largeur (cm);Hauteur (cm);Profondeur (cm);Poids (kg);Quantité;Quantité minimale;Visibilité;Frais de port supplémentaire;Unité;Ratio de prix unitaire;Description courte (html);Description (html);Tags (x,y,z...);Balise de titre;Méta mots-clés;Méta description;URL simplifiée;"Texte ""En stock""";"Texte ""En commande"" (si autorisé)";Disponible à la commande (0 = Non, 1 = Oui);Date de disponibilité du produit;Date d'ajout d'un produit;Afficher le prix (0 = Non, 1 = Oui);URLs des images (x,y,z...);Supprimer les images existantes (0 = non, 1 = oui);Caractéristique(Nom:Valeur);Disponible en ligne uniquement (0 = Non, 1 = Oui);Etat;Personnalisable (0 = Non, 1 = Oui);Fichiers téléchargeables (0 = Non, 1 = Oui);Champs text (0 = Non, 1 = Oui);Si rupture de stock;Gestion des stocks avancée;ID ou nom de la boutique
2392001;0;Bougie naturelle parfumée 30h, vétiver néroli;21,20,3;12,46;1;;0;;;;;2392001;;;;3023673920014;;0;;;;;30;1;;;;;;<p>Dans une conception toujours plus proche de la nature, la bougie naturelle parfumée vétiver néroli allie la qualité du savoir-faire français et le respect de l'environnement. Formulée à base de cire végétale, sans paraffine, cette bougie écologique se dissimule dans un joli verre laqué emballé d'un papier recyclé.<br>Aux senteurs de néroli, issus de la distillation de la fleur d'oranger et de vétiver, plante aromatique tropicale venue tout droit d'Inde, la bougie exhale des odeurs à la fois suaves, orangées, hespéridées et herbacées. Sublimée par des notes de pamplemousse, cèdre blanc et petit grain, cette bougie verre laqué blanc capture vos sens dans une pause olfactive d'une extrême douceur.<br>Parfumez votre intérieur de senteurs naturelles avec toute notre collection de bougies parfumées et parfums d'intérieur La Nature.<br>Bougie fabriquée en France. Parfum de grasse : Vétiver néroli.</p>;;Bougie naturelle parfumée 30h vétiver néroli – Bougies La Française;;Laissez-vous envoûter par le parfum de la bougie naturelle parfumée vétiver néroli qui révèle des senteurs de pamplemousse, cèdre blanc et petit grain.;bougie-naturelle-parfumee-30h-vetiver-neroli;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Vétiver néroli;0;;0;0;0;0;0;1
2392002;0;Bougie naturelle parfumée 30h, patchouli gingembre;21,20,3;12,46;1;;0;;;;;2392002;;;;3023673920021;;0;;;;;30;1;;;;;;<p>Chargée des bienfaits de la nature, la bougie naturelle parfumée patchouli gingembre puise dans les ingrédients de la terre. A base de cire végétale, sans paraffine ni colorant, et enrichie en huiles essentielles aux bénéfices reconnus, cette bougie artisanale implique la qualité du savoir-faire français et le respect de l’environnement. Présentée dans un emballage en papier recyclé, cette bougie écologique fera le plus grand plaisir des amoureux des produits naturels.<br>D’une profonde tonicité, les effluves de cette bougie en verre laqué blanc patchouli gingembre subjugueront vos sens. Avec des notes de coriandre, cèdre, vanille et clous de girofle, cette bougie naturelle révèle une fragrance complexe.<br>Des teintes et parfums naturels… Découvrez toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Patchouli gingembre.</p>;;Bougie naturelle parfumée 30h patchouli gingembre – Bougies La Française;;Cette bougie naturelle parfumée patchouli gingembre laisse échapper une senteur à la fois épicé et boisé : coriandre, cèdre, vanille et clous de girofle ensorcelleront vos sens.;bougie-naturelle-parfumee-30h-patchouli-gingembre;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Patchouli gingembre;0;;0;0;0;0;0;1
2392003;0;Bougie naturelle parfumée 30h, vanille ylang ylang;21,20,3;12,46;1;;0;;;;;2392003;;;;3023673920038;;0;;;;;30;1;;;;;;<p>La bougie naturelle parfumée vanille ylang ylang est conçue à partir de matières premières d’origine végétale. A base de cire végétale, sans paraffine ni colorant, et enrichie en huiles essentielles naturelles, cette bougie végétale embaume votre intérieur d’un parfum sans artifice. Cette bougie artisanale allie la qualité du savoir-faire français et le respect de l’environnement. Au design épuré, cette bougie en verre laqué blanc se dissimule dans un emballage en papier recyclé.<br>Signifié « fleur des fleurs », le ylang ylang a une odeur à la fois suave, chaude, sucrée et dispose de nombreuses vertues : combat la fatigue, réduit l'anxiété et soigne les insomnies. Associé aux arômes de vanille,il forme une fragrance florale, boisée et musquée. La bougie écologique se fait alors solaire, lumineuse et enivrante.<br>Mettez la nature à l'honneur avec toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Vanille ylang ylang.</p>;;Bougie naturelle parfumée 30h vanille ylang ylang – Bougies La Française;;La bougie naturelle parfumée vanille ylang ylang embaumera votre pièce de gourmandise grâce à ses irrésistibles senteurs de jasmin, cèdre, freesia blanc et poivre blanc.;bougie-naturelle-parfumee-30h-vanille-ylang-ylang;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Vanille ylang ylang;0;;0;0;0;0;0;1
2392004;0;Bougie naturelle parfumée 30h, lavande menthe poivrée;21,20,3;12,46;1;;0;;;;;2392004;;;;3023673920045;;0;;;;;30;1;;;;;;<p>Au design épuré, la bougie naturelle parfumée lavande menthe poivrée s’inspire de l’authenticité de la nature. Dans le respect de l’environnement, cette bougie artisanale se compose d’ingrédients d’origine naturelle. A base de cire végétale, sans paraffine ni colorant, et enrichie en huiles essentielles, elle s’appuie sur la qualité du savoir-faire français pour vous offrir une expérience olfactive unique. Cette bougie écologique se présente dans un emballage en papier recyclé.<br>Dissimulée dans un joli verre laqué blanc, cette bougie parfumée lavande menthe poivrée exhale ses senteurs florales relevées de la fraîcheur de la menthe. Vous y retrouverez quelques notes de rose, géranium et pamplemousse.<br>Pour une déco au naturel, découvrez toute notre collection de bougies parfumées et parfums d’intérieurs La nature.<br>Bougie fabriquée en France. Parfum de Grasse : Lavande menthe poivrée.</p>;;Bougie naturelle parfumée 30h lavande menthe poivrée – Bougies La Française;;Laissez-vous séduire par la senteur de la bougie naturelle parfumée lavande menthe poivrée. Issu d'huiles essentielles naturelles et de cire végétale, ce bouquet parfumé exhale une incroyable fraîcheur florale.;bougie-naturelle-parfumee-30h-lavande-menthe-poivree;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Lavande menthe poivrée;0;;0;0;0;0;0;1
2392005;0;Bougie naturelle parfumée 30h, angélique fleur d'oranger ;21,20,3;12,46;1;;0;;;;;2392005;;;;3023673920052;;0;;;;;30;1;;;;;;<p>Formulée à partir de matières premières d’origine végétale, la bougie naturelle parfumée angélique fleur d’oranger s’inspire des bienfaits de la nature. A base de cire végétale, sans paraffine ni colorant, et enrichie en huiles essentielles aux bénéfices reconnus, cette bougie végétale allie la qualité du savoir-faire français et le respect de l’environnement. Au design épuré, ce verre laqué blanc se présente dans un emballage en papier recyclé.<br>Cette bougie parfumée s’épanouit dans la douceur de ses notes florales. Des subtiles touches d'orange, de bergamote et de rose illuminent les effluves de cette bougie écologique pour vous entraîner dans une ballade bucolique des plus exquises.<br>Pour inviter la nature dans votre intérieur, découvrez toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Angélique fleur d’oranger.</p>;;Bougie naturelle parfumée 30h angélique fleur d'oranger – Bougies La Française;;Dans un parfum porté par la tonicité de notes florales, la bougie naturelle parfumée angélique fleur d'oranger exaltera vos sens.;bougie-naturelle-parfumee-30h-angelique-fleur-d-oranger;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Angélique fleur d'oranger;0;;0;0;0;0;0;1
2392006;0;Bougie naturelle parfumée 30h, romarin pamplemousse;21,20,3;12,46;1;;0;;;;;2392006;;;;3023673920069;;0;;;;;30;1;;;;;;<p>La bougie naturelle parfumée romarin pamplemousse est conçue à partir de matières premières d'origine végétale. A base de cire végétale et enrichie d'huiles essentielles aux actifs naturels, cette bougie écologique se dissimule à l'intérieur d'un joli verre laqué blanc, lui-même recouvert d'un emballage en papier recyclé.<bt>Faîtes le plein de vitalité avec cette bougie aux douces et fraîches senteurs de romarin et pamplemousse qui laisse derrière elle quelques notes de basilic, lavande, patchouli et vétiver.<br>Rapprochez-vous davantage de la nature avec toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Romarin pamplemousse.</p>;;Bougie naturelle parfumée 30h romarin pamplemousse – Bougies La Française;;Laissez-vous séduire par les notes hespéridées, herbacées et boisées de la bougie naturelle parfumée romarin pamplemousse. Ces senteurs uniques embaumeront votre intérieur.;bougie-naturelle-parfumee-30h-romarin-pamplemousse;;;1;;2016-04-29;1;;;Hauteur:65,Diamètre:79,Poids:370,Durée de combustion:30,Tranche de combustion:25 à 35 heures,Collection:La Nature,Parfum:Romarin pamplemousse;0;;0;0;0;0;0;1
2392011;0;Bougie naturelle parfumée 3 mèches 20h, vétiver néroli;21,20,3;17,42;1;;0;;;;;2392011;;;;3023673920113;;0;;;;;30;1;;;;;;<p>La bougie naturelle parfumée 3 mèches vétiver néroli naît au cœur de la nature. Assurant la qualité du savoir-faire français et du respect de l’environnement, cette bougie artisanale est élaborée à partir de composants d’origine végétale et est recouverte d'un emballage en papier recyclé. A base de cire sans paraffine ni colorant, et enrichie en huiles essentielles de vétiver néroli, cette bougie embaume votre intérieur d’un parfum naturel.<br>Dotée de 3 mèches et dissimulée dans un joli verre laqué blanc, cette bougie écologique vous invite à passer une soirée avec le doux parfum orangé issus de la distillation de la fleur d'oranger et accompagné d'une touche de senteur herbacée qu'apporte le vétiver, plante aromatique indienne. Vivez un grand moment de sérénité en laissant brûler cette bougie parfumée.<br>Restez toujours plus proche de la nature avec toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Vétiver néroli.</p>;;Bougie naturelle parfumée 3 mèches 20h vétiver néroli – Bougies La Française;;Craquez pour cette bougie naturelle parfumée en verre laqué blanc. Sa senteur vétiver néroli à base d'huiles essentielles naturelles et de cire végétale embaumera merveilleusement bien votre intérieur grâce à ses 3 mèches.;bougie-naturelle-parfumee-3-meches-20h-vetiver-neroli;;;1;;2016-04-29;1;;;Hauteur:60,Diamètre:115,Poids:685,Durée de combustion:20,Tranche de combustion:15 à 25 heures,Collection:La Nature,Parfum:Vétiver néroli;0;;0;0;0;0;0;1
2392012;0;Bougie naturelle parfumée 3 mèches 20h, patchouli gingembre;21,20,3;17,42;1;;0;;;;;2392012;;;;3023673920120;;0;;;;;30;1;;;;;;<p>Puisant dans la générosité de la nature, la bougie naturelle parfumée 3 mèches patchouli gingembre s’inspire des composants de la terre pour insuffler un parfum sans artifice dans votre pièce. A base de cire végétale et enrichie en huiles essentielles, cette bougie écologique marie la qualité du savoir-faire français au respect de l’environnement. Son emballage en papier recyclé de vous laissera pas indifférent.<br>Dotée de 3 mèches, cette bougie en verre laqué blanc vous plongera dans une ambiance à la fois sereine et tonique grâce à sa senteur patchouli gingembre. Ses notes épicées, hespéridées et boisées qu'apportent la vanille, la coriandre et le cèdre font de cette bougie une fragrance complexe.<br>La nature inspire votre habitat… Découvrez toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Patchouli gingembre.</p>;;Bougie naturelle parfumée 3 mèches 20h patchouli gingembre – Bougies La Française;;Grâce à ses 3 mèches, la bougie naturelle parfumée patchouli gingembre laisse échapper des senteurs pleines de tonicité : vanille, coriandre, cèdre et clous de girofle.;bougie-naturelle-parfumee-3-meches-20h-patchouli-gingembre;;;1;;2016-04-29;1;;;Hauteur:60,Diamètre:115,Poids:685,Durée de combustion:20,Tranche de combustion:15 à 25 heures,Collection:La Nature,Parfum:Patchouli gingembre;0;;0;0;0;0;0;1
2392013;0;Bougie naturelle parfumée 3 mèches 20h, vanille ylang ylang;21,20,3;17,42;1;;0;;;;;2392013;;;;3023673920137;;0;;;;;30;1;;;;;;<p>La bougie naturelle parfumée 3 mèches vanille ylang ylang est élaborée à partir de matières premières d’origine végétale. A base de cire végétale, sans paraffine ni colorant, et enrichie en huiles essentielles naturelles, cette bougie artisanale défend la qualité du savoir-faire français et le respect de l’environnement. Au design épuré, cette bougie écologique se dote de 3 mèches dissimulées dans un joli verre laqué blanc, lui-même recouvert d'un emballage en papier recyclé.<br>Comme une incitation à l’évasion et à la tranquillité, cette bougie végétale laisse échapper la douceur d’un parfum des îles. Signifié « fleur des fleurs », le ylang ylang a une odeur à la fois suave, chaude, sucrée et dispose de nombreuses vertues : combat la fatigue, réduit l'anxiété et soigne les insomnies. Il se marie parfaitement avec la vanille pour former une fragrance florale, boisée et musquée qui rappellera la caresse d’un doux rayon de soleil.<br>Pour un intérieur placé sous la signe de la nature, découvrez toute notre collection de bougies parfumées et parfums d’intérieurs naturels.<br>Bougie fabriquée en France. Parfum de Grasse : Vanille ylang ylang.</p>;;Bougie naturelle parfumée 3 mèches 20h vanille ylang ylang – Bougies La Française;;Laissez-vous séduire par le verre laqué blanc 3 mèches aux senteurs de vanille ylang ylang. Cette bougie naturelle à base de cire végétale vous apportera confort et tranquillité;bougie-naturelle-parfumee-3-meches-20h-vanille-ylang-ylang;;;1;;2016-04-29;1;;;Hauteur:60,Diamètre:115,Poids:685,Durée de combustion:20,Tranche de combustion:15 à 25 heures,Collection:La Nature,Parfum:Vanille ylang ylang;0;;0;0;0;0;0;1
2392014;0;Bougie naturelle parfumée 3 mèches 20h, lavande menthe poivrée;21,20,3;17,42;1;;0;;;;;2392014;;;;3023673920144;;0;;;;;30;1;;;;;;<p>Élaborée à partir de matières premières d’origine végétale, la bougie naturelle parfumée 3 mèches lavande menthe poivrée répond à la qualité du savoir-faire français et au respect de l’environnement. A base de cire végétale, sans paraffine, et enrichie en huiles essentielles de lavande, cette bougie écologique se dote de 3 mèches et d'un joli verre laqué blanc recouvert d'un emballage en papier recyclé.<br>Dans un sillage empreint de féminité, cette bougie parfumée dévoile de douces senteurs florales relevées par la fraîcheur de la menthe. Vous y retrouvez aussi quelques notes de rose, pamplemousse et géranium.<br>Vous êtes adeptes de produits naturels ? Découvrez également toute notre collection de bougies parfumées et parfums d’intérieurs La nature.<br>Bougie fabriquée en France. Parfum de Grasse : Lavande menthe poivrée.</p>;;Bougie naturelle parfumée 3 mèches 20h lavande menthe poivrée – Bougies La Française;;La bougie naturelle parfumée lavande menthe poivrée dévoile une certaine fraîcheur florale qui ravivera vos sens et embaumera votre intérieur.;bougie-naturelle-parfumee-3-meches-20h-lavande-menthe-poivree;;;1;;2016-04-29;1;;;Hauteur:60,Diamètre:115,Poids:685,Durée de combustion:20,Tranche de combustion:15 à 25 heures,Collection:La Nature,Parfum:Lavande menthe poivrée;0;;0;0;0;0;0;1
