"ID";"Active";"Quantity"
"2510135";"0";"0"
"2510140";"0";"0"
"2510145";"0";"0"
"2510165";"0";"0"
"2797702";"0";"0"
"2454050";"0";"0"
"2424150";"0";"0"
"2423900";"0";"0"
"2424050";"0";"0"
"2628050";"1";"27"
"2423850";"0";"0"
"2630250";"1";"34"
"2636350";"1";"25"
"2634350";"0";"0"
"2629350";"1";"9"
"2399010";"1";"3"
"2399020";"0";"0"
"2399040";"0";"37"
"2611100";"0";"0"
"2419300";"0";"0"
"2418800";"0";"0"
"2629250";"1";"43"
"2157800";"1";"1"
"2157300";"0";"0"
"2361010";"1";"23"
"2361005";"1";"30"
"2237300";"1";"30"
"2361015";"1";"20"
"2361020";"1";"25"
"2361000";"1";"28"
"2237602";"1";"22"
"2237702";"1";"25"
"2237402";"1";"42"
"2237302";"1";"16"
"2237502";"1";"20"
"2600327";"0";"0"
"2600326";"0";"0"
"2600325";"0";"0"
"2600328";"0";"0"
"2600317";"1";"73"
"2600318";"1";"63"
"2600315";"1";"71"
"2600316";"1";"74"
"2600307";"1";"65"
"2600308";"1";"22"
"2600306";"1";"118"
"2600305";"1";"109"
"2600410";"0";"0"
"2600420";"0";"0"
"2600415";"0";"0"
"2600455";"0";"0"
"2600465";"0";"0"
"2600470";"0";"0"
"2600435";"0";"0"
"2600430";"0";"0"
"2600425";"0";"0"
"2600520";"0";"0"
"2600515";"0";"0"
"2600510";"0";"0"
"2600525";"0";"0"
"2700705";"0";"0"
"2600480";"0";"0"
"2600485";"0";"0"
"2600210";"0";"0"
"2600215";"0";"0"
"2600205";"0";"0"
"2600245";"0";"0"
"2600235";"0";"0"
"2600240";"0";"0"
"2627830";"0";"0"
"2627860";"0";"0"
"2627810";"0";"0"
"2627800";"0";"0"
"2635450";"0";"0"
"2586731";"1";"34"
"2586756";"1";"12"
"2586726";"0";"0"
"2586784";"1";"20"
"2381495";"1";"48"
"2381460";"1";"45"
"2381490";"1";"43"
"2381475";"1";"46"
"2381470";"1";"25"
"2381465";"1";"48"
"2381455";"1";"44"
"2381450";"1";"14"
"2381480";"1";"29"
"2381485";"1";"23"
"2381695";"1";"29"
"2381660";"1";"23"
"2381690";"1";"30"
"2381675";"1";"30"
"2381670";"1";"29"
"2381665";"1";"26"
"2381655";"1";"26"
"2381650";"1";"29"
"2381680";"1";"31"
"2381685";"1";"29"
"2381645";"1";"19"
"2381610";"1";"19"
