"ID";"Quantité"
"2797708";"0"
"2204008";"4"
"2386840";"0"
"2392045";"28"
"2510501";"0"
"2640650";"0"
"2100549";"5"
"2381490";"42"
"2391725";"0"
"2510150";"0"
"2600625";"8"
"2024390";"50"
"2230784";"28"
"2390080";"0"
"2437600";"14"
"2586526";"22"
"2204052";"15"
"2386960";"49"
"2392056";"29"
"2510536";"10"
"2700230";"0"
"2122310";"97"
"2381630";"20"
"2391860";"0"
"2510215";"0"
"2600640";"37"
"2024437";"50"
"2240201";"28"
"2390160";"21"
"2439120";"0"
"2588600";"0"
"2230302";"46"
"2386972";"28"
"2423020";"38"
"2510571";"20"
"2700305";"0"
"2202001";"5"
"2381670";"29"
"2391910";"0"
"2510260";"0"
"2600654";"4"
"2202005";"15"
"2381685";"29"
"2391925";"30"
"2510275";"0"
"2024511";"21"
"2459210";"38"
"2600308";"17"
"2230387";"24"
"2425630";"49"
"2510583";"31"
"2700354";"50"
"2202027";"20"
"2381725";"33"
"2391985";"30"
"2510325";"50"
"2600705";"20"
"2024587";"34"
"2391270";"41"
"2476210";"47"
"2600328";"0"
"2230549";"24"
"2388945";"29"
"2429820";"47"
"2510702";"50"
"2700367";"30"
"2202050";"17"
"2381765";"18"
"2392012";"28"
"2510401";"41"
"2627810";"0"
"2024635";"20"
"2361010";"23"
"2391375";"7"
"2510010";"0"
"2600465";"0"
"2024235";"19"
"2230614";"29"
"2388995";"24"
"2429905";"30"
"2511230";"0"
"2700375";"30"
"2202084";"18"
"2381805";"14"
"2392024";"12"
"2510440";"50"
"2630550";"0"
"2024691";"30"
"2381425";"18"
"2391515";"10"
"2510050";"0"
"2600610";"3"
"2024291";"50"
"2230684";"30"
"2389980";"10"
"2429933";"30"
"2797300";"41"
"2202093";"18"
"2381845";"11"
"2392036";"29"
